lon,lat,riqueza_potencial,adequabilidade_atual,adequabilidade_futura,arvores_gigantes,especies_ameacadas,biomassa_potencial,incerteza,custo,protecao_atual
-79.83333333333333,9.8,0.22973263892679405,0.0568233729973111,0.0898452289000854,0.03858532211888296,0.005890180150628464,0.09157928615425891,0.5276073727775926,0.7760178097998118,0
-79.5,9.8,0.22095122620818794,0.0602505184185817,0.09466471778322005,0.04348722452677669,0.006314488796256143,0.1022043783070079,0.5001622732484746,0.7878788907172692,0
-79.16666666666667,9.8,0.21208743786235024,0.06377967439956603,0.09964227137499974,0.04866119957529293,0.0067586172818542185,0.16369866026716956,0.5487845698257142,0.6083038836972868,0
-78.83333333333333,9.8,0.20318932701231449,0.06740991491337862,0.1047780132151702,0.054104680224629144,0.007222898505307636,0.11130812325565535,0.48007605024506655,0.7099318807387529,0
-78.5,9.8,0.19430514576448596,0.07114002456514212,0.1100717130211169,0.05981488748226357,0.007707691681103475,0.11289905663859363,0.3846892744779809,0.6813538343126967,0
-78.16666666666667,9.8,0.18548311966970407,0.07496848914917345,0.11552277048718873,0.0657888296243534,0.00821339845060395,0.16779447891956864,0.4139551327371063,0.8039023294613261,0
-77.83333333333333,9.8,0.17677122209581722,0.07889348698510391,0.12113019971831052,0.07202330004442738,0.008740481622784776,0.12407020934163661,0.4353253956403691,0.5937386038810153,0
-77.5,9.8,0.168216949553742,0.08291288111047068,0.12689261439842403,0.07851487365194762,0.009289486662423227,0.06413923212595941,0.3723728522135724,0.6703255012006462,0
-77.16666666666667,9.8,0.1598670990157508,0.08702421240594804,0.1328082137950876,0.08525990175526763,0.009861066015867281,0.08460713300826898,0.37127020785564485,0.6087030522653216,0
-76.83333333333333,9.8,0.151767548256639,0.09122469372745755,0.1388747697017694,0.09225450537708466,0.010456006332547162,0.09359299239995696,0.3670728143493393,0.7778017104390407,0
-76.5,9.8,0.14396304023543843,0.09551120511691058,0.14508961441898297,0.09949456696566712,0.011075258603147477,0.15254401791227534,0.36382741130451296,0.6808357052633703,0
-76.16666666666667,9.8,0.13649697251755274,0.09988029016027639,0.15144962987439184,0.10697572048186972,0.011719971192750433,0.12360271132074477,0.27547786281741576,0.7136511036095161,0
-75.83333333333333,9.8,0.1294111927146651,0.10432815355802738,0.15795123798032973,0.11469333986015542,0.01239152569927518,0.12644815428361866,0.17367067300873945,0.608412419339481,0
-75.5,9.8,0.1227458008925734,0.10885065996881334,0.16459039232484932,0.12264252586145394,0.013091575514254916,0.11807946973036054,0.28126885466950635,0.5496237307421991,0
