lon,lat,adequabilidade,incerteza_integrada,adequabilidade_binaria,incerteza_binaria,classe,classe_nome
-60.41666666666667,5.083333333333336,0.035104405134916306,0.31302860379219055,0,0,0,Baixa adequabilidade / baixa incerteza
-60.25,5.083333333333336,0.0986267626285553,0.42457589507102966,0,0,0,Baixa adequabilidade / baixa incerteza
-60.41666666666667,4.916666666666669,0.02146729826927185,0.2908535897731781,0,0,0,Baixa adequabilidade / baixa incerteza
-60.25,4.916666666666669,0.025896724313497543,0.3054713308811188,0,0,0,Baixa adequabilidade / baixa incerteza
-60.583333333333336,4.750000000000003,0.028751254081726074,0.3042803108692169,0,0,0,Baixa adequabilidade / baixa incerteza
-60.41666666666667,4.750000000000003,0.021319685503840446,0.2838684916496277,0,0,0,Baixa adequabilidade / baixa incerteza
-60.25,4.750000000000003,0.024542730301618576,0.2855844795703888,0,0,0,Baixa adequabilidade / baixa incerteza
-60.75,4.583333333333336,0.04522084817290306,0.3177872896194458,0,0,0,Baixa adequabilidade / baixa incerteza
-60.583333333333336,4.583333333333336,0.04051440581679344,0.3055707514286041,0,0,0,Baixa adequabilidade / baixa incerteza
-60.41666666666667,4.583333333333336,0.03141196072101593,0.30723845958709717,0,0,0,Baixa adequabilidade / baixa incerteza
-60.25,4.583333333333336,0.02863394282758236,0.344607949256897,0,0,0,Baixa adequabilidade / baixa incerteza
-61.083333333333336,4.416666666666669,0.05011963099241257,0.3068963289260864,0,0,0,Baixa adequabilidade / baixa incerteza
-60.91666666666667,4.416666666666669,0.08383025228977203,0.3798464834690094,0,0,0,Baixa adequabilidade / baixa incerteza
-60.75,4.416666666666669,0.061485711485147476,0.3286069333553314,0,0,0,Baixa adequabilidade / baixa incerteza
-60.583333333333336,4.416666666666669,0.07636500895023346,0.3596789240837097,0,0,0,Baixa adequabilidade / baixa incerteza
-60.41666666666667,4.416666666666669,0.04384767636656761,0.38465678691864014,0,0,0,Baixa adequabilidade / baixa incerteza
-60.25,4.416666666666669,0.031351037323474884,0.38068825006484985,0,0,0,Baixa adequabilidade / baixa incerteza
-60.083333333333336,4.416666666666669,0.025347979739308357,0.3322940766811371,0,0,0,Baixa adequabilidade / baixa incerteza
-61.41666666666667,4.250000000000003,0.12146953493356705,0.5015466213226318,0,1,2,Baixa adequabilidade / alta incerteza
-61.25,4.250000000000003,0.16132308542728424,0.5773403644561768,0,1,2,Baixa adequabilidade / alta incerteza
-61.083333333333336,4.250000000000003,0.18864461779594421,0.5878154635429382,0,1,2,Baixa adequabilidade / alta incerteza
-60.91666666666667,4.250000000000003,0.19342640042304993,0.5794981122016907,0,1,2,Baixa adequabilidade / alta incerteza
-60.75,4.250000000000003,0.14481347799301147,0.5241210460662842,0,1,2,Baixa adequabilidade / alta incerteza
