lon,lat,adequabilidade,incerteza_integrada,adequabilidade_binaria,incerteza_binaria,classe,classe_nome,area_km2
-60.41666666666667,5.083333333333336,0.0351044051349163,0.31302860379219055,0,0,0,Baixa adequabilidade / baixa incerteza,340.60978262789536
-60.25,5.083333333333336,0.0986267626285553,0.42457589507102966,0,0,0,Baixa adequabilidade / baixa incerteza,340.60978262789536
-60.41666666666667,4.916666666666669,0.02146729826927185,0.2908535897731781,0,0,0,Baixa adequabilidade / baixa incerteza,340.6941730867405
-60.25,4.916666666666669,0.02589672431349754,0.3054713308811188,0,0,0,Baixa adequabilidade / baixa incerteza,340.6941730867405
-60.583333333333336,4.750000000000003,0.02875125408172607,0.3042803108692169,0,0,0,Baixa adequabilidade / baixa incerteza,340.77575567166707
-60.41666666666667,4.750000000000003,0.02131968550384044,0.2838684916496277,0,0,0,Baixa adequabilidade / baixa incerteza,340.77575567166707
-60.25,4.750000000000003,0.02454273030161857,0.2855844795703888,0,0,0,Baixa adequabilidade / baixa incerteza,340.77575567166707
-60.75,4.583333333333336,0.04522084817290306,0.3177872896194458,0,0,0,Baixa adequabilidade / baixa incerteza,340.85452985940935
-60.583333333333336,4.583333333333336,0.04051440581679344,0.3055707514286041,0,0,0,Baixa adequabilidade / baixa incerteza,340.85452985940935
-60.41666666666667,4.583333333333336,0.03141196072101593,0.30723845958709717,0,0,0,Baixa adequabilidade / baixa incerteza,340.85452985940935
-60.25,4.583333333333336,0.02863394282758236,0.344607949256897,0,0,0,Baixa adequabilidade / baixa incerteza,340.85452985940935
-61.083333333333336,4.416666666666669,0.05011963099241257,0.3068963289260864,0,0,0,Baixa adequabilidade / baixa incerteza,340.93049514479446
-60.91666666666667,4.416666666666669,0.08383025228977203,0.3798464834690094,0,0,0,Baixa adequabilidade / baixa incerteza,340.93049514479446
-60.75,4.416666666666669,0.06148571148514747,0.3286069333553314,0,0,0,Baixa adequabilidade / baixa incerteza,340.93049514479446
-60.583333333333336,4.416666666666669,0.07636500895023346,0.3596789240837097,0,0,0,Baixa adequabilidade / baixa incerteza,340.93049514479446
-60.41666666666667,4.416666666666669,0.04384767636656761,0.38465678691864014,0,0,0,Baixa adequabilidade / baixa incerteza,340.93049514479446
-60.25,4.416666666666669,0.03135103732347488,0.38068825006484985,0,0,0,Baixa adequabilidade / baixa incerteza,340.93049514479446
-60.083333333333336,4.416666666666669,0.02534797973930835,0.3322940766811371,0,0,0,Baixa adequabilidade / baixa incerteza,340.93049514479446
-61.41666666666667,4.250000000000003,0.12146953493356703,0.5015466213226318,0,1,2,Baixa adequabilidade / alta incerteza,341.0036510407877
-61.25,4.250000000000003,0.16132308542728424,0.5773403644561768,0,1,2,Baixa adequabilidade / alta incerteza,341.0036510407877
-61.083333333333336,4.250000000000003,0.18864461779594421,0.5878154635429382,0,1,2,Baixa adequabilidade / alta incerteza,341.0036510407877
-60.91666666666667,4.250000000000003,0.19342640042304993,0.5794981122016907,0,1,2,Baixa adequabilidade / alta incerteza,341.0036510407877
-60.75,4.250000000000003,0.14481347799301147,0.5241210460662842,0,1,2,Baixa adequabilidade / alta incerteza,341.0036510407877
