especie,lon,lat
Bradypus variegatus,-66.4838051724177,-7.176473820299119
Bradypus variegatus,-63.84141991586624,-14.632322299293616
Bradypus variegatus,-49.53033348680701,-11.433902105904679
Bradypus variegatus,-61.435932868603395,-9.792645345387731
Bradypus variegatus,-60.96569811871243,4.907034036625452
Bradypus variegatus,-48.279480104933754,-12.56364931186821
Bradypus variegatus,-58.31267035208638,-6.3522939940060015
Bradypus variegatus,-72.12048987685228,-7.454274053054025
Bradypus variegatus,-67.49482281514821,-14.732996438910899
Bradypus variegatus,-65.56529576079967,-8.49915660286519
Bradypus variegatus,-52.207345620484304,2.111856008963443
Bradypus variegatus,-59.12148938354109,-4.839471628445498
Bradypus variegatus,-58.79382839524758,-7.71136954604942
Bradypus variegatus,-61.11453827243904,-10.957477826377374
Bradypus variegatus,-66.4467290780326,-22.372730550783608
Bradypus variegatus,-47.70469490557537,-0.08063950610077164
Bradypus variegatus,-58.01719617416609,-18.224480496473753
Bradypus variegatus,-77.73293725303711,-2.8203674238586585
Bradypus variegatus,-56.38915278749052,5.363724984522383
Bradypus variegatus,-65.78233126182347,-18.107252126802596
Bradypus variegatus,-70.54258964789476,-3.0875096523770242
Bradypus variegatus,-63.74379931726636,-9.835382425817276
Bradypus variegatus,-70.20803558645792,-19.005009114018414
Bradypus variegatus,-67.83112983432912,-18.60267357647226
Bradypus variegatus,-67.00031414279405,-19.21075321502215
Bradypus variegatus,-75.4935464859393,-11.716345655192121
Bradypus variegatus,-55.2977036440438,-18.2322890949713
Bradypus variegatus,-60.77301505730788,-3.1845825891692074
Bradypus variegatus,-71.10509549609559,6.700762583679701
Bradypus variegatus,-51.96948063144059,-17.009213332246254
Bradypus variegatus,-58.58828622818549,-2.4858280676737534
Bradypus variegatus,-64.36057186393816,-2.6167043129936305
Bradypus variegatus,-54.83899471163982,-5.674581947349177
Bradypus variegatus,-54.97493209973566,-15.058636257939055
Bradypus variegatus,-55.4273513469001,-8.83616824641461
Bradypus variegatus,-56.490877967199275,-9.962767346191727
Bradypus variegatus,-57.56865877169929,-4.059073267456641
Bradypus variegatus,-62.49529368461377,-10.607071292726804
Bradypus variegatus,-64.44770130991934,-1.1611862932006547
Bradypus variegatus,-65.04376800809906,-10.622066004369097
Bradypus variegatus,-67.5576558313641,-0.6310197409446765
Bradypus variegatus,-63.66333822415679,-15.34423904666246
Bradypus variegatus,-72.12317081254612,-16.821086713306787
Bradypus variegatus,-44.6483522772919,14.687279544596834
Bradypus variegatus,-52.336304013560074,-10.918003117123023
