lon,lat,pa,tipo,pred_maxent,pred_bin_maxent
-59.162667,-8.999722,1,presenca,0.31414589216332833,0
-46.799722,-3.6225,1,presenca,0.2667378995622771,0
-52.514444,-0.295278,1,presenca,0.9634368593744677,1
-62,-9.116111,1,presenca,0.7577560625112061,1
-63.94,-8.854167,1,presenca,0.5758346896130719,1
-52.380833,-1.599167,1,presenca,0.528696454511923,1
-52.946266,1.963061,1,presenca,0.8001672970133857,1
-51.972222,0.973889,1,presenca,0.8351265151873537,1
-64.048056,-9.081667,1,presenca,0.6785385786758846,1
-59.860682,-2.442484,1,presenca,0.47704298253527266,0
-59.685556,-2.315278,1,presenca,0.5703370053132629,1
-60.535278,-3.603056,1,presenca,0.6226228968939579,1
-57.846944,-9.122222,1,presenca,0.11907431224793974,0
-51.658889,0.9675,1,presenca,0.878979937715527,1
-56.306111,-1.655278,1,presenca,0.7795985232642405,1
-61.595136,-7.948514,1,presenca,0.7039621061527912,1
-63.591667,-8.581667,1,presenca,0.7406764064956829,1
-60.285058,-2.439172,1,presenca,0.5736680645361343,1
-51.972222,-0.973889,1,presenca,0.9502996174838918,1
-64.736111,-9.744722,1,presenca,0.4519542233219034,0
-64.95,-9.646944,1,presenca,0.3494011871374042,0
-48.798889,-2.797222,1,presenca,0.5960379011564547,1
-51.986389,-2.301667,1,presenca,0.8635348163201662,1
-49.16,-3.035278,1,presenca,0.5458133806655932,1
-63,-11,1,presenca,0.2178879937805719,0
-53,-4,1,presenca,0.23944675438787122,0
-52.63,0.57,1,presenca,0.40583192923695055,0
-51.61687,-0.012935833,1,presenca,0.9717591993845702,1
-52.45,0.9,1,presenca,0.8611760210121465,1
-51.4,2.39,1,presenca,0.9893157749155587,1
-51.18,3.43,1,presenca,0.914425205579247,1
-51.53,2.03,1,presenca,0.9196159050958771,1
-52.22,0.81,1,presenca,0.8433134166990719,1
-51.93,2.93,1,presenca,0.9343635774837196,1
-52.95556944,1.018297222,1,presenca,0.5742021986768089,1
-52.08,0.9,1,presenca,0.8445016200716058,1
-53.225626,0.77088,1,presenca,0.7146638240060574,1
-60.17,-2.63,1,presenca,0.637379080708991,1
-66.08333333333333,-9.08333333333333,0,background,0.4514574919706551,0
-63.75,0.4166666666666696,0,background,0.2845490083393699,0
-65.75,-4.416666666666664,0,background,0.25696138850854355,0
-72.91666666666667,-7.416666666666664,0,background,0.18002423703657533,0
-63.75,-11.083333333333329,0,background,0.29940104412375546,0
-53.25,2.0833333333333357,0,background,0.4759234738744941,0
-57.91666666666667,-10.916666666666664,0,background,0.22180541039956092,0
-67.91666666666667,-6.916666666666664,0,background,0.6602894392294598,1
-51.083333333333336,-7.2499999999999964,0,background,0.0635317044332957,0
-71.08333333333333,-6.2499999999999964,0,background,0.10385323109936162,0
-67.41666666666667,-1.2499999999999971,0,background,0.029378695299898783,0
-56.91666666666667,-12.916666666666664,0,background,0.01783093639718858,0
-50.583333333333336,0.25000000000000266,0,background,0.2807779215263507,0
-55.75,1.9166666666666692,0,background,0.1896180156524666,0
-60.583333333333336,1.9166666666666692,0,background,0.40324689837213457,0
-61.75,-1.7499999999999971,0,background,0.18367132069494307,0
-63.583333333333336,-1.0833333333333304,0,background,0.16020058941929594,0
-60.583333333333336,3.5833333333333357,0,background,0.35304213357375047,0
-67.08333333333333,-0.7499999999999973,0,background,0.09741600354540503,0
-67.41666666666667,-2.4166666666666643,0,background,0.027321331345214084,0
-52.083333333333336,-9.58333333333333,0,background,0.11927722247871952,0
-67.75,-7.916666666666664,0,background,0.7046040145237588,1
-56.75,-3.2499999999999964,0,background,0.8399424136455872,1
-51.41666666666667,4.083333333333336,0,background,0.9013803374039071,1
-51.083333333333336,-7.08333333333333,0,background,0.04972589995439225,0
-68.25,-2.9166666666666643,0,background,0.022019753126015673,0
-52.91666666666667,-1.5833333333333304,0,background,0.5292785482848552,1
-45.91666666666667,-1.2499999999999971,0,background,0.09890331673460306,0
-61.25,2.7500000000000027,0,background,0.3831672742799659,0
-66.08333333333333,-8.08333333333333,0,background,0.6102947178820896,1
-53.25,-6.2499999999999964,0,background,0.06267992219150398,0
-65.08333333333333,-7.416666666666664,0,background,0.3501570397708481,0
-61.75,-9.08333333333333,0,background,0.7253750876989431,1
-64.91666666666667,-2.7499999999999964,0,background,0.015666570283354275,0
-52.91666666666667,-3.916666666666664,0,background,0.31897987215792334,0
-55.75,-0.08333333333333037,0,background,0.33633618608530047,0
-67.91666666666667,-2.0833333333333304,0,background,0.009308321472775383,0
-65.75,-8.249999999999996,0,background,0.5623162205107577,1
-52.083333333333336,-4.2499999999999964,0,background,0.4465594160129712,0
-61.583333333333336,3.5833333333333357,0,background,0.5423848124737347,1
-67.41666666666667,-3.2499999999999964,0,background,0.08984689966805826,0
-59.583333333333336,-8.416666666666664,0,background,0.3931948129064716,0
-51.25,-8.416666666666664,0,background,0.05440934446654877,0
-54.75,-7.416666666666664,0,background,0.13197894243757946,0
-61.75,-10.58333333333333,0,background,0.7440738919221042,1
-70.58333333333333,-6.08333333333333,0,background,0.3310113505948057,0
-72.08333333333333,-6.2499999999999964,0,background,0.12894262916317578,0
-55.583333333333336,-4.7499999999999964,0,background,0.30654836432958377,0
-60.75,-5.916666666666664,0,background,0.1996089643985971,0
-48.41666666666667,-2.9166666666666643,0,background,0.5290420212209274,1
-60.083333333333336,-12.083333333333329,0,background,0.11867312920726292,0
-61.75,-7.2499999999999964,0,background,0.44557229945335275,0
-51.583333333333336,-6.08333333333333,0,background,0.06021412855812969,0
-58.083333333333336,-2.0833333333333304,0,background,0.8341291726298203,1
