lon,lat,bio3_isotermalidade,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,elevacao,declividade,orientacao,pa,tipo,bio3_isotermalidade_z,bio4_sazonalidade_temperatura_z,bio5_temp_max_mes_quente_z,bio8_temp_media_trimestre_umido_z,bio12_precipitacao_anual_z,bio13_precipitacao_mes_umido_z,bio14_precipitacao_mes_seco_z,bio18_precipitacao_trimestre_quente_z,bio19_precipitacao_trimestre_frio_z,elevacao_z,declividade_z,orientacao_z
-59.162667,-8.999722,68.85316467285156,36.823421478271484,33.88275146484375,25.518625259399414,1992,314,8,264,118,183,0.1103033795952797,227.15773010253906,1,presenca,-1.5017686677081445,-0.7230981487769604,1.2720457459016432,-0.3036665203027303,-0.6260810484096561,-0.38016037424851884,-0.9804773984448696,-0.7143577506692382,-1.475338615354913,0.16641815723395212,0.6244502217571163,0.5138114181755121
-59.968854,-2.933488,80.94942474365234,49.023834228515625,31.92599868774414,26.09166717529297,2319,304,71,391,857,78,0.08839131891727448,191.3485565185547,1,presenca,0.4189225854477241,-0.06242928995136487,-0.5756774728144295,0.646042162552944,0.24521085645368706,-0.6386027339350122,0.2773564601522132,-4.209685659559167e-4,0.6856829946501556,-0.7516467813473924,0.32630822944903176,0.1991470304088538
-51.910556,1.106389,78.3746566772461,69.02900695800781,32.0212516784668,25.386375427246094,2392,336,59,197,864,175,0.026064278557896614,349.7608947753906,1,presenca,0.01009089076639866,1.0208778823849194,-0.4857319443500336,-0.5228456246905224,0.4397194468360236,0.18841281706176669,0.03776905851467364,-1.09100156484971,0.706152752796347,0.09647035238965922,-0.5217319553823184,1.5911568548010586
-46.799722,-3.6225,82.82655334472656,42.42207336425781,31.697999954223633,25.421916961669922,1722,349,33,257,855,148,0.12278024852275848,334.4329528808594,1,presenca,0.7169803705837281,-0.4199235736051214,-0.7909721992070705,-0.4639422479773373,-1.34549638270049,0.5243878846542082,-0.4813369783666621,-0.7537085969268994,0.6798344923226723,-0.13960348895982935,0.7942141985217152,1.4564663001404299
-63.021667,-9.216389,71.39488220214844,48.35960006713867,32.83625030517578,25.430208206176758,2328,383,10,513,168,116,0.03334523364901543,322.42071533203125,1,presenca,-1.09818486594302,-0.0983984685663348,0.28385525308019427,-0.4502010770761773,0.26919136759671486,1.4030919075882857,-0.940546164838613,0.6854080662104255,-1.3291260571678312,-0.419394708337001,-0.4226651223413344,1.35091168952802
-51.834167,-1.799167,83.217926025390625,51.51371765136719,32.249000549316406,25.851499557495117,2287,350,50,191,834,40,0.04690376669168472,325.9507141113281,1,presenca,0.7791240480572454,0.0724012664616706,-0.27067315837046496,0.2480097226262436,0.15994681683403267,0.5502321206228574,-0.14192149271348103,-1.124730861641991,0.618425217884098,-1.0838988543577837,-0.23818370302078426,1.3819306936974234
-52.514444,-0.295278,81.15682220458984,61.0997200012207,32.04975128173828,25.595333099365234,2360,325,50,191,835,127,0.12047282606363297,325.6706848144531,1,presenca,0.45185396149435547,0.5914962645428189,-0.4588203286849354,-0.1765377717101486,0.3544554072163692,-0.09587377859337606,-0.14192149271348103,-1.124730861641991,0.6213494690478396,-0.32321647667609826,0.7628187246240622,1.3794700044818167
-52.531389,-0.159444,80.857635498046875,61.97165298461914,32.02349853515625,25.51995849609375,2380,327,51,195,843,146,0.07775884866714478,207.17572021484375,1,presenca,0.40434793178317796,0.6387126154078924,-0.4836102817042375,-0.301456932435256,0.4077454319786532,-0.04418530665607738,-0.12195587591035274,-1.1022446637804704,0.6447434783577727,-0.1570904401709026,0.1816396877672328,0.33822437501428443
-52.37,1.191389,79.50750732421875,65.26290130615234,32.16725158691406,25.487415313720703,2393,321,63,208,827,156,0.023932766169309616,124.63424682617188,1,presenca,0.18996932559144492,0.8169381654127875,-0.34786709809781796,-0.3553911072490568,0.4423839480741378,-0.19925072246797343,0.11763152572718683,-1.029164520730528,0.5979554597379065,-0.06965568411553645,-0.5507339447205728,-0.38708871070352446
-52.833056,-0.456389,81.09661102294922,60.82156753540039,31.657249450683594,25.262083053588867,2337,332,50,185,816,189,0.22680871188640594,41.069637298583984,1,presenca,0.44229339572919896,0.57643393215006,-0.8294520994001385,-0.7288367454115008,0.29317187873974265,0.08503587318716932,-0.14192149271348103,-1.158460158434272,0.5657886969367485,0.21887901086717182,2.2096563050287847,-1.1213923559492958
-62.916111,-9.262778,71.54638671875,47.678924560546875,32.56224822998047,25.317459106445313,2391,385,12,533,168,121,0.03662677854299545,321.7362365722656,1,presenca,-1.0741283891355595,-0.13525796827150155,0.025120474604398185,-0.6370614026985082,0.4370549455979094,1.4547803795255845,-0.9006149312323564,0.797839055518029,-1.3291260571678312,-0.37567733030931794,-0.3780154498656787,1.3448969992036037
-62,-9.116111,70.60895538330078,42.366600036621094,33.24174880981445,25.28183364868164,2281,339,19,349,171,123,0.04159930720925331,358.3846435546875,1,presenca,-1.2229773850973622,-0.42292752935770656,0.6667595274188735,-0.6961038664877576,0.14395980940534747,0.26594552496771473,-0.7608556136104583,-0.2365260461119233,-1.3203533036766064,-0.3581903790982447,-0.31035775097771895,1.6669359459751862
-63.94,-8.854167,72.32283020019531,47.810035705566406,33.25600051879883,25.843542098999023,2185,337,25,500,177,99,0.02921220473945141,3.8345181941986084,1,presenca,-0.9508416712034792,-0.12815812236197383,0.6802171363232781,0.2348217389594298,-0.11183230945361565,0.21425705303041603,-0.6410619127916884,0.6123279231604832,-1.3028077966941565,-0.5680337936311235,-0.4789003387124358,-1.448586892536989
-52.380833,-1.599167,82.98522186279297,56.00164794921875,32.52799987792969,26.17366600036621,2032,320,42,158,711,4,0.027253320440649986,153.94345092773438,1,presenca,0.7421743754263485,0.31542876471668446,-0.007219571633220809,0.7819397190773909,-0.5195009988850882,-0.22509495843662278,-0.3016464271385074,-1.310241993999537,0.2587423247438768,-1.3986639761571018,-0.5055534990941936,-0.12954122101024151
-52.946266,1.963061,80.69622039794922,59.14328384399414,31.990249633789063,25.200624465942383,2360,343,58,209,767,217,0.18706610798835754,68.29743957519531,1,presenca,0.37871781395583176,0.4855525993718073,-0.5150065662895669,-0.8306927400692368,0.3544554072163692,0.36932246884231207,0.01780344171154534,-1.0235429712651478,0.42250038991340844,0.463696327822197,1.6689066567052535,-0.8821346776477392
