lon,lat,bio3_isotermalidade,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,elevacao,declividade,orientacao,pa,tipo,bio3_isotermalidade_z,bio4_sazonalidade_temperatura_z,bio5_temp_max_mes_quente_z,bio8_temp_media_trimestre_umido_z,bio12_precipitacao_anual_z,bio13_precipitacao_mes_umido_z,bio14_precipitacao_mes_seco_z,bio18_precipitacao_trimestre_quente_z,bio19_precipitacao_trimestre_frio_z,elevacao_z,declividade_z,orientacao_z,pred_glm,pred_bin_glm
-59.162667,-8.999722,68.85316467285156,36.82342147827149,33.88275146484375,25.518625259399418,1992,314,8,264,118,183,0.1103033795952797,227.15773010253903,1,presenca,-1.5017686677081443,-0.7230981487769604,1.2720457459016432,-0.3036665203027303,-0.6260810484096561,-0.3801603742485189,-0.9804773984448696,-0.7143577506692382,-1.475338615354913,0.16641815723395212,0.6244502217571163,0.5138114181755121,0.06327908187183122,0
-46.799722,-3.6225,82.82655334472656,42.42207336425781,31.697999954223633,25.42191696166992,1722,349,33,257,855,148,0.12278024852275848,334.4329528808594,1,presenca,0.7169803705837281,-0.4199235736051214,-0.7909721992070705,-0.4639422479773373,-1.34549638270049,0.5243878846542082,-0.4813369783666621,-0.7537085969268994,0.6798344923226723,-0.13960348895982935,0.7942141985217152,1.45646630014043,0.03965762531123504,0
-52.514444,-0.295278,81.15682220458984,61.0997200012207,32.04975128173828,25.59533309936523,2360,325,50,191,835,127,0.12047282606363297,325.6706848144531,1,presenca,0.4518539614943554,0.5914962645428189,-0.4588203286849354,-0.1765377717101486,0.3544554072163692,-0.09587377859337606,-0.14192149271348103,-1.124730861641991,0.6213494690478396,-0.32321647667609826,0.7628187246240622,1.379470004481817,0.6546634850743028,1
-62,-9.116111,70.60895538330078,42.366600036621094,33.24174880981445,25.28183364868164,2281,339,19,349,171,123,0.04159930720925331,358.3846435546875,1,presenca,-1.2229773850973622,-0.42292752935770656,0.6667595274188735,-0.6961038664877576,0.14395980940534747,0.26594552496771473,-0.7608556136104583,-0.2365260461119233,-1.3203533036766064,-0.3581903790982447,-0.31035775097771895,1.6669359459751862,0.3537251192294385,1
-63.94,-8.854167,72.32283020019531,47.810035705566406,33.25600051879883,25.843542098999023,2185,337,25,500,177,99,0.02921220473945141,3.834518194198608,1,presenca,-0.9508416712034792,-0.12815812236197385,0.6802171363232781,0.2348217389594298,-0.11183230945361564,0.21425705303041603,-0.6410619127916884,0.6123279231604832,-1.3028077966941565,-0.5680337936311235,-0.4789003387124358,-1.448586892536989,0.11757187648997325,0
-52.380833,-1.599167,82.98522186279297,56.00164794921875,32.52799987792969,26.17366600036621,2032,320,42,158,711,4,0.02725332044064998,153.94345092773438,1,presenca,0.7421743754263485,0.31542876471668446,-0.0072195716332208,0.7819397190773909,-0.5195009988850882,-0.2250949584366228,-0.3016464271385074,-1.310241993999537,0.2587423247438768,-1.3986639761571018,-0.5055534990941936,-0.12954122101024151,0.19509179532577975,1
-52.946266,1.963061,80.69622039794922,59.14328384399414,31.990249633789063,25.200624465942383,2360,343,58,209,767,217,0.18706610798835752,68.29743957519531,1,presenca,0.37871781395583176,0.4855525993718073,-0.5150065662895669,-0.8306927400692368,0.3544554072163692,0.36932246884231207,0.01780344171154534,-1.0235429712651478,0.4225003899134085,0.463696327822197,1.6689066567052535,-0.8821346776477392,0.393065920186111,1
-51.972222,0.973889,78.49195861816406,68.9582290649414,32.010250091552734,25.351333618164063,2379,336,59,194,865,184,0.04986373707652092,198.04122924804688,1,presenca,0.02871654948906482,1.0170451637056823,-0.4961205268126414,-0.5809208010871436,0.405080930740539,0.18841281706176669,0.03776905851467364,-1.1078662132458506,0.7090770039600887,0.17516163283948874,-0.1979094686310532,0.2579572613126508,0.3576006999896077,1
-64.048056,-9.081667,72.86280059814453,48.65624237060547,33.17274856567383,25.8439998626709,2112,322,24,488,175,112,0.043589036911726,356.9156494140625,1,presenca,-0.8651030698313362,-0.08233488644638702,0.6016039519737796,0.23558039573796177,-0.3063408998359522,-0.17340648649932408,-0.6610275295948168,0.5448693295759212,-1.3086562990216395,-0.4543686107591475,-0.2832848988910487,1.6540275178929669,0.1660827266673819,1
-59.860682,-2.442484,81.28404235839844,47.41268157958984,31.71125030517578,26.01241683959961,2393,319,98,421,792,117,0.00695454981178045,90,1,presenca,0.47205447266186495,-0.14967538594416896,-0.778460153026811,0.5146997077695994,0.4423839480741378,-0.2509391944052721,0.8164281138366772,0.16822551539544936,0.4956066690069493,-0.4106512327314644,-0.7817445888154243,-0.6914287158632888,0.1303639432021017,1
