pa,lon,lat,temperatura,precipitacao,sazonalidade
1,-46.16666666666667,9.8,25.267970256515735,1553.161542824716,47.89620303469452
1,-54.5,-1.8000000000000007,24.069995671371615,2052.904393604057,45.509314118492895
1,-55.16666666666667,1,24.50047887024543,1902.4029054852697,44.34939183993577
1,-64.5,-15,21.742812742143425,1853.4564317056304,48.85690609592069
1,-63.833333333333336,-25,21.96146760213477,1970.787537569351,58.598855229358094
1,-73.16666666666667,-4.600000000000001,24.717108063002772,1709.608362973189,46.42002113707259
1,-73.5,5.8,25.03424004640228,1486.7547634860753,50.1351053088876
1,-74.16666666666667,-16.200000000000003,23.147210211905296,1366.663173004149,55.737069801669634
1,-55.833333333333336,-0.2000000000000011,23.74779789174965,1835.1537421567632,51.39835192903125
1,-66.16666666666667,-7.800000000000001,26.334688199777855,1612.804619771485,49.241529184035755
1,-40.16666666666667,-11,21.053463862365767,1437.3312806291378,48.979980516202424
1,-76.83333333333333,-2.200000000000001,23.26048469651658,1694.1163922370272,45.21569750881999
1,-46.16666666666667,7.8,22.89091153062454,1726.1284465966455,52.132874256515656
1,-56.16666666666667,8.6,27.009018601091434,1682.2121248710753,46.28982629345593
1,-77.16666666666667,-0.6000000000000014,23.823554768204385,1694.6140263532775,41.22715043210856
1,-76.5,-17.8,21.258314798493856,1595.1730407945824,47.60531106075079
1,-53.5,4.6,25.417597097471837,1798.28640387084,49.95956513776386
1,-47.5,9,24.58306900965335,1719.553310597828,45.47557620779086
1,-43.5,2.5999999999999996,24.457801471446903,1757.3813334295082,54.77865663292782
1,-59.833333333333336,-23.800000000000004,21.828082671095917,2067.0594374989937,47.42035079765271
1,-67.5,-22.6,21.66162532385509,1818.176420346842,52.13971313506112
1,-68.16666666666667,-21,22.921439623282073,1778.2036901571732,52.07671992302699
1,-69.5,-23.800000000000004,23.03425522970278,1658.3078552941515,51.64892748070038
1,-44.16666666666667,-13,20.42797011057967,1344.3810425090828,51.992504797119146
1,-58.5,3.8,26.259582411473016,1951.386248823679,43.90506526624354
1,-78.83333333333333,-9,23.459501367761128,1472.8582658426287,47.71086900920661
1,-54.833333333333336,7,27.042248222387997,1681.917456838033,43.9749140180845
1,-67.83333333333333,-7,26.22202745012661,1864.4031625381824,51.483288267192215
1,-77.16666666666667,0.1999999999999993,26.14987627999826,1757.4125282059451,47.26129931355096
1,-57.16666666666667,-4.200000000000001,25.57157885513861,1834.749379765639,42.49437164328668
