lon,lat,bio3_isotermalidade_delta,bio4_sazonalidade_temperatura_delta,bio5_temp_max_mes_quente_delta,bio8_temp_media_trimestre_umido_delta,bio12_precipitacao_anual_delta,bio13_precipitacao_mes_umido_delta,bio14_precipitacao_mes_seco_delta,bio18_precipitacao_trimestre_quente_delta,bio19_precipitacao_trimestre_frio_delta,elevacao_delta,declividade_delta,orientacao_delta,cenario
-60.41666666666667,5.083333333333336,0,2.3302904129028335,1,1,-40.74000000000001,-5.3799999999999955,-0.5400000000000063,-7.600000000000023,-4.480000000000018,0,0,0,ssp126
-60.25,5.083333333333336,0,2.4076397705078136,1,1,-45.840000000000146,-6.220000000000027,-0.5600000000000023,-7.699999999999989,-5.480000000000018,0,0,0,ssp126
-60.41666666666667,4.916666666666669,0,2.3428370285034177,1,1,-39.16000000000008,-5.439999999999998,-0.519999999999996,-6.819999999999993,-15.5,0,0,0,ssp126
-60.25,4.916666666666669,0,2.372864151000975,1,1,-40.940000000000055,-5.680000000000007,-0.5,-7.319999999999993,-16.340000000000032,0,0,0,ssp126
-60.583333333333336,4.750000000000003,0,2.4671146011352576,1,1,-38.200000000000045,-5.240000000000009,-0.5400000000000063,-7.199999999999989,-14.259999999999991,0,0,0,ssp126
-60.41666666666667,4.750000000000003,0,2.4502413177490254,1,1,-37.180000000000064,-5.28000000000003,-0.3200000000000074,-6.800000000000011,-14.5,0,0,0,ssp126
-60.25,4.750000000000003,0,2.4634680557251016,1,1,-36.600000000000136,-5.1200000000000045,-0.21999999999999886,-6.5,-14.180000000000064,0,0,0,ssp126
-60.75,4.583333333333336,0,2.5595425796508806,1,1,-39.77999999999997,-5.399999999999977,-0.35999999999999943,-5.240000000000009,-16.25999999999999,0,0,0,ssp126
-60.583333333333336,4.583333333333336,0,2.4965134429931624,1,1,-38.340000000000146,-5.319999999999993,-0.35999999999999943,-6.680000000000007,-15.480000000000018,0,0,0,ssp126
-60.41666666666667,4.583333333333336,0,2.5512056732177726,1,1,-37.100000000000136,-5.420000000000016,-0.17999999999999972,-6.060000000000002,-14.659999999999968,0,0,0,ssp126
-60.25,4.583333333333336,0,2.5354167175293014,1,1,-36.12000000000012,-5.480000000000018,-0.259999999999998,-5.639999999999986,-14.340000000000032,0,0,0,ssp126
-61.083333333333336,4.416666666666669,0,2.6784276962280273,1,1,-38.5,-5.399999999999977,-0.10000000000000142,-5,-15.82000000000005,0,0,0,ssp126
-60.91666666666667,4.416666666666669,0,2.744133605957032,1,1,-37.319999999999936,-5.319999999999993,-0.1600000000000037,-4.980000000000018,-15.399999999999977,0,0,0,ssp126
-60.75,4.416666666666669,0,2.736261100769042,1,1,-36.38000000000011,-5.160000000000025,-0.10000000000000142,-4.840000000000032,-14.82000000000005,0,0,0,ssp126
-60.583333333333336,4.416666666666669,0,2.702149238586429,1,1,-34.5,-5.560000000000002,-0.060000000000002274,-5.199999999999989,-14.919999999999959,0,0,0,ssp126
-60.41666666666667,4.416666666666669,0,2.6618842315673845,1,1,-33.72000000000003,-5.319999999999993,-0.14000000000000057,-5.180000000000007,-14.120000000000005,0,0,0,ssp126
-60.25,4.416666666666669,0,2.6431755447387744,1,1,-32.22000000000003,-5.6200000000000045,-0.12000000000000455,-4.639999999999986,-14.940000000000055,0,0,0,ssp126
-60.083333333333336,4.416666666666669,0,2.594243698120117,1,1,-33.180000000000064,-5.5400000000000205,-0.17999999999999972,-4.6200000000000045,-14.399999999999977,0,0,0,ssp126
-61.41666666666667,4.250000000000003,0,2.6322581100463864,1,1,-41.159999999999854,-5.28000000000003,-0.35999999999999943,-5.480000000000018,-15.600000000000023,0,0,0,ssp126
-61.25,4.250000000000003,0,2.762068328857424,1,1,-38.62000000000012,-5.6200000000000045,-0.20000000000000284,-5.360000000000014,-15.5,0,0,0,ssp126
-61.083333333333336,4.250000000000003,0,2.897078742980952,1,1,-36.27999999999997,-5.5,-0.14000000000000057,-4.639999999999986,-15.180000000000064,0,0,0,ssp126
-60.91666666666667,4.250000000000003,0,2.9195051574707094,1,1,-33.98000000000002,-5.360000000000014,0,-3.6599999999999966,-15.240000000000009,0,0,0,ssp126
-60.75,4.250000000000003,0,2.86845718383789,1,1,-33.440000000000055,-5.300000000000011,0.060000000000002274,-3.5800000000000125,-14.419999999999959,0,0,0,ssp126
