lon,lat,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio12_precipitacao_anual,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,elevacao,declividade,GLM,GAM,Random_Forest,BRT,Maxent
-51.416666666666664,4.083333333333333,55.5740852355957,33.79600143432617,3193.820068359375,66.63999938964844,273.4200134277344,5,0.006410784088075161,0.008011180664513085,0.0129492954196063,0.05328075396825396,0.019567492807916805,0.3412161965880609
-51.58333333333333,3.916666666666667,56.729888916015625,33.74674987792969,3268.300048828125,70.55999755859375,276.3599853515625,16,0.044942524284124374,0.010175945777338883,0.017193937252960312,0.08752331349206358,0.026181999800735097,0.6279828642938544
-51.416666666666664,3.916666666666667,57.068302154541016,33.90774917602539,3221.260009765625,66.63999938964844,273.4200134277344,7,0.013168138451874256,0.008104492205126233,0.013396087755606002,0.06538938492063495,0.019980772081863007,0.4256279966104085
-51.75,3.75,58.14582061767578,33.66524887084961,3257.52001953125,73.5,286.1600036621094,46,0.09395210444927216,0.017593726155213197,0.02679579636347767,0.09173908730158743,0.05351977630720383,0.8225926973936025
-51.58333333333333,3.75,58.49564743041992,33.87950134277344,3174.219970703125,68.5999984741211,260.67999267578125,17,0.07620058208703995,0.012274578258763873,0.01652610997708633,0.10499454365079379,0.03202770437119111,0.6600439872310703
-51.416666666666664,3.75,58.78807830810547,33.979000091552734,3108.56005859375,66.63999938964844,258.7200012207031,8,0.03650300204753876,0.009854358803671777,0.012732922777404126,0.039656249999999976,0.01744294324141971,0.5445630116878307
-51.25,3.75,60.502349853515625,33.89170837402344,3026.239990234375,60.7599983215332,227.36000061035156,6,0.003886241465806961,0.009104415990856828,0.011586437196957714,0.05921031746031748,0.014108111781085543,0.3317156935575324
-51.75,3.5833333333333335,58.882781982421875,33.557498931884766,3210.47998046875,80.36000061035156,288.1199951171875,70,0.09870611131191254,0.021610559818984642,0.031091969655923042,0.10017013888888898,0.0533611799578397,0.8678470496370747
-51.58333333333333,3.5833333333333335,59.48044967651367,33.62849807739258,3166.3798828125,73.5,276.3599853515625,53,0.10152725875377655,0.021885835220147195,0.028083160709686063,0.09626289682539695,0.054805715418202006,0.8520702092585258
-51.416666666666664,3.5833333333333335,61.73301315307617,34.083248138427734,3054.659912109375,63.70000076293945,244.02000427246094,16,0.06458070129156113,0.012625745483284486,0.014152899832217541,0.06655307539682542,0.02575832034486929,0.6424110747821155
-51.25,3.5833333333333335,62.84910583496094,33.99850082397461,3012.52001953125,57.81999969482422,230.3000030517578,9,0.014231379143893719,0.010756428107243442,0.012787393675603841,0.05020982142857144,0.020110077269033716,0.46339273555920457
-51.916666666666664,3.416666666666667,58.022247314453125,33.45975112915039,3047.800048828125,71.54000091552734,264.6000061035156,107,0.05505553260445595,0.027058976943540147,0.03263065566570169,0.07305902777777781,0.024434796719350643,0.8430380236888573
