lon,lat,bio3_isotermalidade,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,elevacao,declividade,orientacao,GLM,GAM,RF,BRT,MaxEnt
-60.41666666666667,5.083333333333336,83.599639892578125,45.67330551147461,28.61924934387207,22.591167449951172,2045.260009765625,312.6199951171875,75.45999908447266,421.3999938964844,268.5199890136719,937,0.19304782152175903,309.20599365234375,1.362242116385186e-12,0.04419629138961742,0.08120119047619048,0.02513667894805502,2.928073402028719e-4
-60.25,5.083333333333336,82.02422332763672,48.32896423339844,27.022750854492188,21.100082397460938,2295.159912109375,353.7799987792969,76.44000244140625,426.29998779296875,317.5199890136719,1292,0.30218786001205444,282.9304504394531,2.2204460492503126e-16,0.2810198352076841,0.08991904761904766,0.047628356898487725,1.369029510867037e-6
-60.41666666666667,4.916666666666669,85.1608657836914,46.10407257080078,29.568500518798828,23.208999633789063,1967.8399658203125,315.55999755859375,74.4800033569336,383.17999267578125,808.5,845,0.44777432084083557,185.9596710205078,2.7883683439793848e-11,0.017241080515828032,0.06270912698412699,0.021045716580020454,8.57812657317103e-4
-60.25,4.916666666666669,83.39363861083984,47.13500213623047,28.333499908447266,22.02050018310547,2055.06005859375,327.32000732421875,73.5,407.67999267578125,849.65997314453125,1122,0.6444538831710815,194.98110961914063,2.2204460492503126e-16,0.02924487004378706,0.06299444444444445,0.02724884537708898,2.037834338231015e-5
-60.583333333333336,4.750000000000003,86.24449157714844,50.370933532714844,29.753000259399414,23.22283363342285,1920.800048828125,305.760009765625,75.45999908447266,401.79998779296875,747.739990234375,832,0.3788025379180908,131.27410888671875,8.896919812785976e-11,0.024334531307379954,0.09154087301587303,0.03149784891056669,9.461884052742731e-4
-60.41666666666667,4.750000000000003,84.74327850341797,49.79161834716797,29.979249954223633,23.411291122436523,1870.8199462890625,307.7200012207031,64.68000030517578,382.20001220703125,759.5,814,0.37833118438720703,158.056640625,1.2455910535493994e-10,0.015786107694886697,0.09539523809523812,0.024237950336472996,0.0011940105081923447
-60.25,4.750000000000003,84.25373077392578,50.24573516845703,30.39525032043457,23.812374114990234,1842.4000244140625,299.8800048828125,59.779998779296875,367.5,743.82000732421875,765,0.6268067955970764,171.68600463867188,2.5601482044274935e-10,0.00700506887151264,0.0944186507936508,0.021932305707391155,0.004041882862135804
-60.75,4.583333333333336,87.63072204589844,53.54429626464844,29.075000762939453,22.586584091186523,1998.219970703125,313.6000061035156,66.63999938964844,305.760009765625,845.739990234375,941,0.6090839505195618,172.8049774169922,1.8681032188388338e-13,0.04921833404584745,0.09261428571428576,0.03868125128611525,5.634241500901416e-4
-60.583333333333336,4.583333333333336,86.4422836303711,51.38029479980469,29.378250122070313,22.83358383178711,1927.6600341796875,309.67999267578125,66.63999938964844,376.32000732421875,807.52001953125,914,0.6147409677505493,156.6186065673828,2.603911629903392e-13,0.026189419002912193,0.09501190476190477,0.03558966098364806,5.734131206882598e-4
-60.41666666666667,4.583333333333336,85.69293212890625,53.258060455322266,30.65074920654297,23.96525001525879,1866.9000244140625,314.5799865722656,57.81999969482422,345.94000244140625,767.34002685546875,717,0.5705240964889526,155.41326904296875,8.150906235445941e-9,0.012122527854279122,0.0887920634920635,0.02130356035801484,0.007282733043128653
