periodo,lon,lat,temperatura,precipitacao,sazonalidade,adequabilidade
Atual,-79.83333333333333,9.8,24.996105203946463,1449.4683444981824,46.4854913136373,0.11730948364301982
Atual,-79.5,9.8,25.443582786131916,1538.4430245263948,53.09316925531194,0.1351930238013928
Atual,-79.16666666666667,9.8,27.499404610111537,1362.8871012626205,48.88436186255373,0.0531568796470194
Atual,-78.83333333333333,9.8,25.954058284202592,1511.7823136744014,46.231835495904875,0.12980587805566404
Atual,-78.5,9.8,26.1137324300945,1495.865612771375,45.65640381821757,0.12285222207084788
Atual,-78.16666666666667,9.8,27.956154366946915,1566.2080187013885,53.60504177844359,0.07680072785663038
Atual,-77.83333333333333,9.8,26.67740516213559,1342.9342530103202,55.25474814216001,0.059246629909793125
Atual,-77.5,9.8,24.88208085016552,1535.3943276529574,43.83609830335424,0.14844924527596923
Atual,-77.16666666666667,9.8,25.623478768770617,1519.1909016217965,50.03406140048045,0.13196383653063204
Atual,-76.83333333333333,9.8,25.99595013290665,1449.03220998579,51.92820545155642,0.10353658953816733
Atual,-76.5,9.8,27.94129170792114,1507.5238834121517,49.87898458388682,0.0708602842341787
Atual,-76.16666666666667,9.8,27.100347236497672,1466.0372768250074,51.389828320650615,0.08541067623537159
Atual,-75.83333333333333,9.8,27.255939135293463,1653.293248274021,51.66752662409334,0.11406899456888347
Atual,-75.5,9.8,27.047827176483963,1533.756016873686,52.57921083269369,0.10148409133105026
Atual,-75.16666666666667,9.8,26.42574126621268,1498.0221950251696,46.26124618036563,0.11611550893246521
Atual,-74.83333333333333,9.8,29.113623183419893,1507.498536448331,53.46423434885797,0.036430941277193825
Atual,-74.5,9.8,27.805926321991706,1461.981840762404,51.08035023083051,0.06551777178385776
Atual,-74.16666666666667,9.8,25.204363572813712,1543.9253098911877,47.507041860792846,0.1455534549393183
Atual,-73.83333333333333,9.8,28.2472277538648,1435.8525589344483,52.25893754350144,0.04869534289199974
Atual,-73.5,9.8,27.06216816146153,1543.517550930058,47.407537093459226,0.10844958730443544
Atual,-73.16666666666667,9.8,26.51221508525101,1361.754114116614,46.794535913946454,0.07276843207233939
Atual,-72.83333333333333,9.8,27.549388509310567,1506.8222716651735,48.98723757903148,0.08368208216136068
Atual,-72.5,9.8,26.760337295413944,1635.8362541812498,48.26195845640148,0.1334789282248322
Atual,-72.16666666666667,9.8,27.184076741277043,1502.9403146388,54.37067512478486,0.08913042075726442
Atual,-71.83333333333333,9.8,27.392063392485955,1603.2931188264442,51.889259990926114,0.10316506433652443
Atual,-71.5,9.8,26.31453875172852,1732.2344056807524,54.01024601551191,0.14507414675098917
Atual,-71.16666666666667,9.8,29.178028645713788,1642.0885056569768,52.85891346845167,0.044620352443321194
Atual,-70.83333333333333,9.8,28.507734429989057,1610.4749071160588,47.030181811239615,0.06748736582838394
Atual,-70.5,9.8,27.1653793209412,1626.5543274429615,47.850245971643815,0.1187760676197237
Atual,-70.16666666666667,9.8,29.870335540923648,1436.8111508827842,44.831161593094535,0.01902777778808479
Atual,-69.83333333333333,9.8,29.02933442475758,1480.2578385978109,50.084732178211155,0.036971860622796414
Atual,-69.5,9.8,28.299792111119032,1749.8228225063947,50.1353616763256,0.07815155534844159
Atual,-69.16666666666667,9.8,29.668020305196904,1522.2771147708945,51.69091699898105,0.02639507353834802
Atual,-68.83333333333333,9.8,29.703022537418295,1675.812253123071,45.999161649582234,0.03440909429886456
Atual,-68.5,9.8,29.689025123025907,1620.0527285091348,45.34163985227819,0.03324808582308267
Atual,-68.16666666666667,9.8,29.58536829508992,1462.9102839665743,47.52688355413976,0.024867195219321372
Atual,-67.83333333333333,9.8,29.473987987050688,1648.9461204649594,49.14921933243318,0.03836149258625934
Atual,-67.5,9.8,28.82751311338813,1539.4669489064988,50.83132374896011,0.04806987360461172
Atual,-67.16666666666667,9.8,28.58402190472668,1549.5491314972026,48.50231165753465,0.0576726066314208
Atual,-66.83333333333333,9.8,28.520977954341028,1543.0385148867167,49.960304507423174,0.057982163001800924
Atual,-66.5,9.8,28.18812561475556,1687.5742931779382,52.150263642461056,0.08031654950590311
Atual,-66.16666666666667,9.8,28.73025401901869,1668.1376980361276,40.57807277946986,0.06766473456885083
Atual,-65.83333333333333,9.8,27.567518719099784,1649.4295877449915,49.612290420557486,0.10422142350450388
Atual,-65.5,9.8,31.33962837925073,1669.6978858082869,46.388257592882255,0.008242968331709857
Atual,-65.16666666666667,9.8,30.270705077476432,1441.339479000991,51.63960966361678,0.013039040852063498
Atual,-64.83333333333333,9.8,27.688581952953346,1609.1890184843255,45.232039792449314,0.09960593697272875
Atual,-64.5,9.8,28.456822417012376,1564.1283357850102,46.578064476037795,0.0647185991192415
Atual,-64.16666666666667,9.8,28.356683086932872,1550.8240795341994,47.99305688819048,0.06544199079210117
Atual,-63.833333333333336,9.8,29.69208028823242,1548.712751586639,49.09669445096504,0.028297223523176557
Atual,-63.5,9.8,28.70074453782441,1591.0664721218768,42.805748944740245,0.06176536220559296
Atual,-63.16666666666667,9.8,29.02377847227372,1556.3898800529366,53.9378461092048,0.04283256438679134
Atual,-62.833333333333336,9.8,28.660896034227587,1538.617847392618,52.22173712655171,0.052001358674095784
Atual,-62.5,9.8,28.58696409821995,1501.538092146206,44.76259125891355,0.053600773790363
Atual,-62.16666666666667,9.8,30.07624253664139,1808.481757603702,48.79904663381657,0.024562993001215432
Atual,-61.833333333333336,9.8,28.2541200982583,1685.5019297896092,47.3295167905945,0.0816390899014338
Atual,-61.5,9.8,30.097514525682087,1655.5309114858358,56.03321573059668,0.022553638084248828
Atual,-61.16666666666667,9.8,26.648163445320723,1774.65815677999,56.30277463525559,0.13106802407669982
Atual,-60.833333333333336,9.8,28.912966775603053,1561.168426733948,51.47484612929144,0.047446363830132274
Atual,-60.5,9.8,28.32018960452305,1659.225220622861,53.177608474253944,0.07333873533579446
Atual,-60.16666666666667,9.8,28.331767295453748,1749.2077476570366,49.713906798076174,0.07727752379310032
Atual,-59.833333333333336,9.8,28.418616819987903,1619.5133198188394,45.1367208643884,0.07286211912891154
Atual,-59.5,9.8,27.352027231666533,1540.3007198043808,54.02545797985536,0.09205193785125923
Atual,-59.16666666666667,9.8,27.438709919225975,1600.7941461980336,47.966943780945336,0.10514027557467709
Atual,-58.833333333333336,9.8,26.58285204254168,1583.1618060815656,48.10000398443539,0.1305582503041536
Atual,-58.5,9.8,26.42006803812141,1687.556546546832,42.01976090300033,0.15779784927388119
Atual,-58.16666666666667,9.8,27.82670148261002,1722.9461064252234,51.6649312893041,0.09540444579803235
Atual,-57.833333333333336,9.8,27.877988240202605,1641.4878495158976,52.77290265619826,0.08874868042216402
Atual,-57.5,9.8,27.334088379896983,1602.9385384473749,51.14468962154085,0.10593295622643457
Atual,-57.16666666666667,9.8,28.180129801454363,1429.5429156428297,47.77410547160838,0.05161266070112862
Atual,-56.833333333333336,9.8,29.3099460827561,1608.0524788434554,45.39635512949927,0.042544970617353205
Atual,-56.5,9.8,26.403643307020836,1687.3528940863862,45.716455374364614,0.1529560263491211
Atual,-56.16666666666667,9.8,24.29266654388603,1536.6201143011144,50.64377836765011,0.13497447564809092
Atual,-55.833333333333336,9.8,27.82843204019729,1643.0148490332365,52.5205838827093,0.09095433042465337
Atual,-55.5,9.8,25.832100190398503,1636.2462189548412,47.29121786683203,0.15884276174746403
Atual,-55.16666666666667,9.8,25.746586032910677,1504.3293503732202,47.388484656892885,0.12933667516440522
Atual,-54.833333333333336,9.8,27.52410741016082,1743.1985452464976,54.21437273098363,0.10441195337823521
Atual,-54.5,9.8,25.97705234636937,1654.3522555803738,50.13088377868037,0.15432262668526633
Atual,-54.16666666666667,9.8,24.84390335682075,1678.4216018762745,44.733539279114254,0.17508377452188517
Atual,-53.833333333333336,9.8,26.284902990879967,1555.8683430074686,48.93458783843204,0.13139200886704966
Atual,-53.5,9.8,25.834163462418275,1731.0545775969465,47.30765391758968,0.1655280242657377
Atual,-53.16666666666667,9.8,25.897761850551955,1540.8826254757885,48.97448806289558,0.13542027332847323
Atual,-52.833333333333336,9.8,26.223004206650774,1607.3056130373477,46.025658422293475,0.14753604790481917
Atual,-52.5,9.8,25.30282605751997,1469.7961376017206,44.0406480957365,0.12641812338723088
Atual,-52.16666666666667,9.8,26.334577951894328,1512.1539918156243,48.56069855997097,0.1195264656221924
Atual,-51.833333333333336,9.8,25.30255714062603,1568.160622718408,49.45345751966917,0.1486580492874591
Atual,-51.5,9.8,25.833747004846337,1642.2410536053078,50.35521761558174,0.15521038310519258
Atual,-51.16666666666667,9.8,26.603605571003545,1528.8960704349763,49.7119344165686,0.11598076386662312
Atual,-50.833333333333336,9.8,25.808900686851395,1512.4932996006653,50.55029713574693,0.12700706632695802
Atual,-50.5,9.8,24.909823643273256,1564.5311359449329,42.99016170408187,0.1577889131760201
Atual,-50.16666666666667,9.8,26.47540391228036,1402.3084131323628,48.01015526947698,0.08467407688037334
Atual,-49.833333333333336,9.8,26.253331470183337,1463.0461733661766,54.93603475657197,0.10047502923644833
Atual,-49.5,9.8,25.718028234980196,1414.9770563126388,52.98237504133174,0.09506375646625508
Atual,-49.16666666666667,9.8,25.3374044621225,1654.3693150417637,44.90851248028272,0.17127512081482055
Atual,-48.833333333333336,9.8,24.349927867352868,1538.2994970728191,49.70483490398825,0.13737079323491863
Atual,-48.5,9.8,26.50908971666947,1551.114060514075,46.63148792369536,0.12746455516921784
Atual,-48.16666666666667,9.8,24.329843601243077,1532.5375108205358,51.49520370040287,0.13326623590071776
Atual,-47.833333333333336,9.8,27.38003084796689,1415.0789593883726,45.61450933413199,0.07015315949702745
Atual,-47.5,9.8,26.649799815605093,1466.0564333384668,52.088662247323136,0.09592565000031468
Atual,-47.16666666666667,9.8,24.700780434218416,1598.665479806611,48.90650692682847,0.1562735103948488
Atual,-46.833333333333336,9.8,23.833281636484067,1545.4517410807202,44.59564379890213,0.13697911504693178
Atual,-46.5,9.8,24.189355221708414,1603.3563590783926,46.159337210119254,0.15517895687865985
Atual,-46.16666666666667,9.8,25.267970256515735,1553.161542824716,47.89620303469452,0.1472090313526839
Atual,-45.833333333333336,9.8,24.734725727532215,1509.9240189255163,46.65684671821998,0.13644407479125162
Atual,-45.5,9.8,24.65050759729617,1475.8812219265492,53.56003584192105,0.1169934631813963
Atual,-45.16666666666667,9.8,24.018688300115542,1681.1611314939184,50.99058502302336,0.15546371048399973
Atual,-44.833333333333336,9.8,25.054448309258095,1481.1130034810042,47.04012556715414,0.12736786257805413
Atual,-44.5,9.8,24.284820959841703,1484.6236632090286,50.76638438745279,0.11964411636968239
Atual,-44.16666666666667,9.8,23.363307303897308,1533.011828809797,47.15339017478576,0.1189417522432992
Atual,-43.833333333333336,9.8,24.835058558722388,1519.0214915915235,47.91997598815023,0.13798164427770496
Atual,-43.5,9.8,26.32473451194383,1367.4541754428965,47.32039923214306,0.07704688130691806
Atual,-43.16666666666667,9.8,24.74656653357071,1475.377821315828,42.14324552362515,0.13090627022858103
Atual,-42.833333333333336,9.8,26.118695889106164,1541.797573945585,47.22043327146798,0.13374648419139842
Atual,-42.5,9.8,23.7454105931732,1374.8920372897298,46.01915749164706,0.08143945160666925
