lon,lat,temperatura,precipitacao,sazonalidade,periodo,eta,adequabilidade_real,peso_presenca,adequabilidade_atual
-79.83333333333333,9.8,24.996105203946463,1449.4683444981824,46.4854913136373,Atual,-2.5045485596508494,0.07553992362468098,0.5185919069969329,0.11730948364301982
-79.5,9.8,25.443582786131916,1538.4430245263948,53.09316925531194,Atual,-2.4003022508486938,0.08314965125930354,0.5708337279626718,0.1351930238013928
-79.16666666666667,9.8,27.499404610111537,1362.8871012626205,48.88436186255373,Atual,-3.733919178900086,0.023341157607519498,0.1602402392586563,0.0531568796470194
-78.83333333333333,9.8,25.954058284202592,1511.7823136744014,46.231835495904875,Atual,-2.4169729417355206,0.08188754784114129,0.5621692153838126,0.12980587805566404
-78.5,9.8,26.1137324300945,1495.865612771375,45.65640381821757,Atual,-2.5032398064545935,0.07563136941521773,0.5192196948556672,0.12285222207084788
-78.16666666666667,9.8,27.956154366946915,1566.2080187013885,53.60504177844359,Atual,-3.3861184425336344,0.03273212561906262,0.224710519025555,0.07680072785663038
-77.83333333333333,9.8,26.67740516213559,1342.9342530103202,55.25474814216001,Atual,-3.560269222766834,0.02764518444456461,0.18978797214066223,0.059246629909793125
-77.5,9.8,24.88208085016552,1535.3943276529574,43.83609830335424,Atual,-2.149334999795495,0.10439338122648677,0.7166748396130672,0.14844924527596923
-77.16666666666667,9.8,25.623478768770617,1519.1909016217965,50.03406140048045,Atual,-2.4104723386174225,0.08237760628235873,0.5655335336062348,0.13196383653063204
-76.83333333333333,9.8,25.99595013290665,1449.03220998579,51.92820545155642,Atual,-2.792395422206818,0.057736498988378425,0.3963689619607569,0.10353658953816733
-76.5,9.8,27.94129170792114,1507.5238834121517,49.87898458388682,Atual,-3.452262482892224,0.030701458866126435,0.21076971403993316,0.0708602842341787
-76.16666666666667,9.8,27.100347236497672,1466.0372768250074,51.389828320650615,Atual,-3.1738864199964523,0.0401603356903707,0.2757061970936601,0.08541067623537159
-75.83333333333333,9.8,27.255939135293463,1653.293248274021,51.66752662409334,Atual,-2.802552392249974,0.0571864051730664,0.3925924926843612,0.11406899456888347
-75.5,9.8,27.047827176483963,1533.756016873686,52.57921083269369,Atual,-2.952419453178044,0.04962228594085481,0.3406637796388647,0.10148409133105026
-75.16666666666667,9.8,26.42574126621268,1498.0221950251696,46.26124618036563,Atual,-2.6236602389934642,0.06763112373488313,0.4642969140964192,0.11611550893246521
-74.83333333333333,9.8,29.113623183419893,1507.498536448331,53.46423434885797,Atual,-4.179849216563583,0.015070227742986766,0.1034591745544222,0.036430941277193825
-74.5,9.8,27.805926321991706,1461.981840762404,51.08035023083051,Atual,-3.5644877889360687,0.0275320111539046,0.18901102202199258,0.06551777178385776
-74.16666666666667,9.8,25.204363572813712,1543.9253098911877,47.507041860792846,Atual,-2.22130800361077,0.09785327558633655,0.6717761199275901,0.1455534549393183
-73.83333333333333,9.8,28.2472277538648,1435.8525589344483,52.25893754350144,Atual,-3.942621168111344,0.01902820850284339,0.13063125378909834,0.04869534289199974
-73.5,9.8,27.06216816146153,1543.517550930058,47.407537093459226,Atual,-2.802632737009124,0.05718207344948703,0.39256275480955516,0.10844958730443544
-73.16666666666667,9.8,26.51221508525101,1361.754114116614,46.794535913946454,Atual,-3.1993767497954537,0.03918918354198259,0.26903910477412,0.07276843207233939
-72.83333333333333,9.8,27.549388509310567,1506.8222716651735,48.98723757903148,Atual,-3.2123708344903883,0.03870283121547926,0.26570022953608163,0.08368208216136068
