lon,lat,classe_valor,cenario,classe
-60.41666666666667,5.083333333333336,0,ssp126,Estável
-60.25,5.083333333333336,0,ssp126,Estável
-60.41666666666667,4.916666666666669,0,ssp126,Estável
-60.25,4.916666666666669,0,ssp126,Estável
-60.583333333333336,4.750000000000003,0,ssp126,Estável
-60.41666666666667,4.750000000000003,0,ssp126,Estável
-60.25,4.750000000000003,0,ssp126,Estável
-60.75,4.583333333333336,0,ssp126,Estável
-60.583333333333336,4.583333333333336,0,ssp126,Estável
-60.41666666666667,4.583333333333336,0,ssp126,Estável
-60.25,4.583333333333336,0,ssp126,Estável
-61.083333333333336,4.416666666666669,0,ssp126,Estável
-60.91666666666667,4.416666666666669,0,ssp126,Estável
-60.75,4.416666666666669,0,ssp126,Estável
-60.583333333333336,4.416666666666669,0,ssp126,Estável
-60.41666666666667,4.416666666666669,0,ssp126,Estável
-60.25,4.416666666666669,0,ssp126,Estável
-60.083333333333336,4.416666666666669,0,ssp126,Estável
-61.41666666666667,4.250000000000003,0,ssp126,Estável
-61.25,4.250000000000003,0,ssp126,Estável
-61.083333333333336,4.250000000000003,0,ssp126,Estável
-60.91666666666667,4.250000000000003,0,ssp126,Estável
-60.75,4.250000000000003,0,ssp126,Estável
-60.583333333333336,4.250000000000003,0,ssp126,Estável
-60.41666666666667,4.250000000000003,0,ssp126,Estável
-60.25,4.250000000000003,0,ssp126,Estável
-60.083333333333336,4.250000000000003,0,ssp126,Estável
-59.91666666666667,4.250000000000003,0,ssp126,Estável
-61.75,4.083333333333336,0,ssp126,Estável
-61.583333333333336,4.083333333333336,0,ssp126,Estável
-61.41666666666667,4.083333333333336,0,ssp126,Estável
-61.25,4.083333333333336,0,ssp126,Estável
-61.083333333333336,4.083333333333336,0,ssp126,Estável
-60.91666666666667,4.083333333333336,0,ssp126,Estável
-60.75,4.083333333333336,0,ssp126,Estável
-60.583333333333336,4.083333333333336,0,ssp126,Estável
-60.41666666666667,4.083333333333336,0,ssp126,Estável
-60.25,4.083333333333336,0,ssp126,Estável
-60.083333333333336,4.083333333333336,0,ssp126,Estável
-59.91666666666667,4.083333333333336,0,ssp126,Estável
-51.41666666666667,4.083333333333336,0,ssp126,Estável
-64.25,3.916666666666669,0,ssp126,Estável
-62.583333333333336,3.916666666666669,0,ssp126,Estável
-62.41666666666667,3.916666666666669,0,ssp126,Estável
-62.25,3.916666666666669,0,ssp126,Estável
-62.083333333333336,3.916666666666669,0,ssp126,Estável
-61.91666666666667,3.916666666666669,0,ssp126,Estável
-61.75,3.916666666666669,0,ssp126,Estável
-61.583333333333336,3.916666666666669,-1,ssp126,Perda
-61.41666666666667,3.916666666666669,0,ssp126,Estável
-61.25,3.916666666666669,0,ssp126,Estável
-61.083333333333336,3.916666666666669,0,ssp126,Estável
-60.91666666666667,3.916666666666669,0,ssp126,Estável
-60.75,3.916666666666669,0,ssp126,Estável
-60.583333333333336,3.916666666666669,0,ssp126,Estável
-60.41666666666667,3.916666666666669,0,ssp126,Estável
