lon,lat,delta,cenario
-60.41666666666667,5.083333333333336,-0.0049390122294425964,ssp126
-60.25,5.083333333333336,-0.014913037419319153,ssp126
-60.41666666666667,4.916666666666669,-0.0010965503752231598,ssp126
-60.25,4.916666666666669,-0.0019950177520513535,ssp126
-60.583333333333336,4.750000000000003,9.126346558332443e-4,ssp126
-60.41666666666667,4.750000000000003,0.006002975627779961,ssp126
-60.25,4.750000000000003,9.36850905418396e-4,ssp126
-60.75,4.583333333333336,-0.009005390107631683,ssp126
-60.583333333333336,4.583333333333336,-0.009041525423526764,ssp126
-60.41666666666667,4.583333333333336,-0.005511783063411713,ssp126
-60.25,4.583333333333336,-0.003959499299526215,ssp126
-61.083333333333336,4.416666666666669,-0.0080767422914505,ssp126
-60.91666666666667,4.416666666666669,-0.02016577124595642,ssp126
-60.75,4.416666666666669,-0.014422696083784103,ssp126
-60.583333333333336,4.416666666666669,-0.007871784269809723,ssp126
-60.41666666666667,4.416666666666669,-0.0036508701741695404,ssp126
-60.25,4.416666666666669,-1.231599599123001e-4,ssp126
-60.083333333333336,4.416666666666669,-0.0023827943950891495,ssp126
-61.41666666666667,4.250000000000003,-0.02775740623474121,ssp126
-61.25,4.250000000000003,-0.019453570246696472,ssp126
-61.083333333333336,4.250000000000003,-0.024894580245018005,ssp126
-60.91666666666667,4.250000000000003,-0.027687057852745056,ssp126
-60.75,4.250000000000003,-0.021089553833007813,ssp126
-60.583333333333336,4.250000000000003,-0.019794635474681854,ssp126
-60.41666666666667,4.250000000000003,-0.006532445549964905,ssp126
-60.25,4.250000000000003,-0.001187879592180252,ssp126
-60.083333333333336,4.250000000000003,0.003755759447813034,ssp126
-59.91666666666667,4.250000000000003,0.0043358150869607925,ssp126
-61.75,4.083333333333336,-0.01795337349176407,ssp126
-61.583333333333336,4.083333333333336,-0.042124390602111816,ssp126
-61.41666666666667,4.083333333333336,-0.054475367069244385,ssp126
-61.25,4.083333333333336,-0.04675108194351196,ssp126
-61.083333333333336,4.083333333333336,-0.06552782654762268,ssp126
-60.91666666666667,4.083333333333336,-0.0499778687953949,ssp126
-60.75,4.083333333333336,-0.05325767397880554,ssp126
-60.583333333333336,4.083333333333336,-0.035487085580825806,ssp126
-60.41666666666667,4.083333333333336,-0.040661394596099854,ssp126
-60.25,4.083333333333336,-0.018176600337028503,ssp126
-60.083333333333336,4.083333333333336,-0.003819569945335388,ssp126
-59.91666666666667,4.083333333333336,0.002200130373239517,ssp126
-51.41666666666667,4.083333333333336,-0.05481529235839844,ssp126
-64.25,3.916666666666669,7.071364670991898e-4,ssp126
-62.583333333333336,3.916666666666669,-0.0088520050048828125,ssp126
-62.41666666666667,3.916666666666669,-0.032660678029060364,ssp126
-62.25,3.916666666666669,-0.009492635726928711,ssp126
-62.083333333333336,3.916666666666669,-0.018831096589565277,ssp126
-61.91666666666667,3.916666666666669,-0.044676750898361206,ssp126
-61.75,3.916666666666669,-0.06816194951534271,ssp126
-61.583333333333336,3.916666666666669,-0.10360565781593323,ssp126
-61.41666666666667,3.916666666666669,-0.062249064445495605,ssp126
-61.25,3.916666666666669,-0.03722624480724335,ssp126
-61.083333333333336,3.916666666666669,-0.03621268272399902,ssp126
-60.91666666666667,3.916666666666669,-0.021993190050125122,ssp126
-60.75,3.916666666666669,-0.029750123620033264,ssp126
-60.583333333333336,3.916666666666669,-0.025805048644542694,ssp126
-60.41666666666667,3.916666666666669,-0.026832215487957,ssp126
-60.25,3.916666666666669,-0.03205770254135132,ssp126
-60.083333333333336,3.916666666666669,-0.013887546956539154,ssp126
-59.91666666666667,3.916666666666669,-0.013433903455734253,ssp126
-59.75,3.916666666666669,-0.017315760254859924,ssp126
-51.583333333333336,3.916666666666669,-0.034629225730895996,ssp126
-51.41666666666667,3.916666666666669,-0.03401705622673035,ssp126
-64.08333333333333,3.7500000000000027,0.004278209060430527,ssp126
-63.91666666666667,3.7500000000000027,0.005367659032344818,ssp126
-63.75,3.7500000000000027,0.0020378008484840393,ssp126
-63.583333333333336,3.7500000000000027,0.007071063853800297,ssp126
-63.41666666666667,3.7500000000000027,0.0032391175627708435,ssp126
-62.583333333333336,3.7500000000000027,-0.010086439549922943,ssp126
-62.41666666666667,3.7500000000000027,-0.025355316698551178,ssp126
-62.25,3.7500000000000027,-0.02427183836698532,ssp126
-62.083333333333336,3.7500000000000027,-0.05414232611656189,ssp126
-61.91666666666667,3.7500000000000027,-0.08304060995578766,ssp126
-61.75,3.7500000000000027,-0.0188395157456398,ssp126
-61.583333333333336,3.7500000000000027,-0.05531345307826996,ssp126
-61.41666666666667,3.7500000000000027,-0.03889089822769165,ssp126
-61.25,3.7500000000000027,-0.025142699480056763,ssp126
-61.083333333333336,3.7500000000000027,-0.01702824980020523,ssp126
-60.91666666666667,3.7500000000000027,-0.014322087168693542,ssp126
-60.75,3.7500000000000027,-0.02981974184513092,ssp126
-60.583333333333336,3.7500000000000027,-0.02714112401008606,ssp126
-60.41666666666667,3.7500000000000027,-0.02162029594182968,ssp126
-60.25,3.7500000000000027,-0.023017674684524536,ssp126
-60.083333333333336,3.7500000000000027,-0.01869545876979828,ssp126
-59.91666666666667,3.7500000000000027,-0.015722498297691345,ssp126
-51.75,3.7500000000000027,-0.035929322242736816,ssp126
-51.583333333333336,3.7500000000000027,-0.025075554847717285,ssp126
-51.41666666666667,3.7500000000000027,-0.03531581163406372,ssp126
-51.25,3.7500000000000027,-0.0492418110370636,ssp126
-63.91666666666667,3.5833333333333357,0.0021331580355763435,ssp126
-63.75,3.5833333333333357,9.450316429138184e-4,ssp126
-63.583333333333336,3.5833333333333357,6.409026682376862e-4,ssp126
-63.41666666666667,3.5833333333333357,-0.002494778484106064,ssp126
-63.25,3.5833333333333357,0.00733330100774765,ssp126
-63.083333333333336,3.5833333333333357,0.006576552987098694,ssp126
-62.91666666666667,3.5833333333333357,-0.005029354244470596,ssp126
-62.75,3.5833333333333357,-0.0033729011192917824,ssp126
-62.583333333333336,3.5833333333333357,-0.004619106650352478,ssp126
-62.41666666666667,3.5833333333333357,-0.05561736971139908,ssp126
-62.25,3.5833333333333357,-0.028917089104652405,ssp126
-62.083333333333336,3.5833333333333357,-0.027592726051807404,ssp126
-61.91666666666667,3.5833333333333357,-0.0632404088973999,ssp126
-61.75,3.5833333333333357,-0.07843834161758423,ssp126
-61.583333333333336,3.5833333333333357,-0.05713251233100891,ssp126
-61.41666666666667,3.5833333333333357,-0.04968966543674469,ssp126
-61.25,3.5833333333333357,-0.027235448360443115,ssp126
-61.083333333333336,3.5833333333333357,-0.018799088895320892,ssp126
-60.91666666666667,3.5833333333333357,-0.013652697205543518,ssp126
-60.75,3.5833333333333357,-0.015259802341461182,ssp126
-60.583333333333336,3.5833333333333357,-0.019017241895198822,ssp126
-60.41666666666667,3.5833333333333357,-0.010717026889324188,ssp126
-60.25,3.5833333333333357,-0.012049593031406403,ssp126
-60.083333333333336,3.5833333333333357,-0.009695962071418762,ssp126
-59.91666666666667,3.5833333333333357,-0.00867469608783722,ssp126
-51.75,3.5833333333333357,-0.049991726875305176,ssp126
-51.583333333333336,3.5833333333333357,-0.05921757221221924,ssp126
-51.41666666666667,3.5833333333333357,0.007307648658752441,ssp126
-51.25,3.5833333333333357,-0.00834435224533081,ssp126
-63.91666666666667,3.416666666666669,0.004058832302689552,ssp126
-63.75,3.416666666666669,0.0010935747995972633,ssp126
-63.583333333333336,3.416666666666669,-0.0014734305441379547,ssp126
-63.41666666666667,3.416666666666669,0.002726946957409382,ssp126
-63.25,3.416666666666669,0.005058834329247475,ssp126
-63.083333333333336,3.416666666666669,-0.0034295618534088135,ssp126
-62.91666666666667,3.416666666666669,-0.004651658236980438,ssp126
-62.75,3.416666666666669,-3.0359625816345215e-4,ssp126
-62.583333333333336,3.416666666666669,-0.015712469816207886,ssp126
-62.41666666666667,3.416666666666669,-0.0013472139835357666,ssp126
-62.25,3.416666666666669,-0.02021639794111252,ssp126
-62.083333333333336,3.416666666666669,-0.05050843209028244,ssp126
-61.91666666666667,3.416666666666669,-0.06849487125873566,ssp126
-61.75,3.416666666666669,-0.07653553783893585,ssp126
-61.583333333333336,3.416666666666669,-0.03442826867103577,ssp126
-61.41666666666667,3.416666666666669,-0.04424263536930084,ssp126
-61.25,3.416666666666669,-0.025505661964416504,ssp126
-61.083333333333336,3.416666666666669,-0.014065444469451904,ssp126
-60.91666666666667,3.416666666666669,-0.013469502329826355,ssp126
-60.75,3.416666666666669,-0.013506434857845306,ssp126
-60.583333333333336,3.416666666666669,-0.00955606997013092,ssp126
-60.41666666666667,3.416666666666669,-0.006675682961940765,ssp126
-60.25,3.416666666666669,-0.01712411642074585,ssp126
-60.083333333333336,3.416666666666669,-0.009592920541763306,ssp126
-59.91666666666667,3.416666666666669,-0.01566709578037262,ssp126
-51.91666666666667,3.416666666666669,-0.07203167676925659,ssp126
-51.75,3.416666666666669,-0.09660804271697998,ssp126
-51.583333333333336,3.416666666666669,-0.03209954500198364,ssp126
-51.41666666666667,3.416666666666669,0.010600686073303223,ssp126
-51.25,3.416666666666669,0.013736963272094727,ssp126
-63.91666666666667,3.2500000000000027,-0.0012454874813556671,ssp126
-63.75,3.2500000000000027,0.00396736990660429,ssp126
-63.583333333333336,3.2500000000000027,0.004900600761175156,ssp126
-63.41666666666667,3.2500000000000027,0.005660336464643478,ssp126
-63.25,3.2500000000000027,0.004066267982125282,ssp126
-63.083333333333336,3.2500000000000027,0.0058162882924079895,ssp126
-62.91666666666667,3.2500000000000027,-0.0024443529546260834,ssp126
-62.75,3.2500000000000027,-0.011707298457622528,ssp126
-62.583333333333336,3.2500000000000027,-0.019054152071475983,ssp126
-62.41666666666667,3.2500000000000027,-0.01544065773487091,ssp126
-62.25,3.2500000000000027,-0.010891653597354889,ssp126
-62.083333333333336,3.2500000000000027,-0.01957656443119049,ssp126
-61.91666666666667,3.2500000000000027,-0.0486438125371933,ssp126
-61.75,3.2500000000000027,-0.052025169134140015,ssp126
-61.583333333333336,3.2500000000000027,-0.02810046076774597,ssp126
-61.41666666666667,3.2500000000000027,-0.0395188182592392,ssp126
-61.25,3.2500000000000027,-0.0315716415643692,ssp126
-61.083333333333336,3.2500000000000027,-0.02363678067922592,ssp126
-60.91666666666667,3.2500000000000027,-0.009576059877872467,ssp126
-60.75,3.2500000000000027,-0.00488223135471344,ssp126
-60.583333333333336,3.2500000000000027,-0.012185528874397278,ssp126
-60.41666666666667,3.2500000000000027,-0.012931585311889648,ssp126
-60.25,3.2500000000000027,-0.007977135479450226,ssp126
-60.083333333333336,3.2500000000000027,-0.005718715488910675,ssp126
-52.083333333333336,3.2500000000000027,-0.07626956701278687,ssp126
-51.91666666666667,3.2500000000000027,-0.10420912504196167,ssp126
-51.75,3.2500000000000027,-0.10471940040588379,ssp126
-51.583333333333336,3.2500000000000027,-0.037571489810943604,ssp126
-51.41666666666667,3.2500000000000027,-0.04926800727844238,ssp126
-51.25,3.2500000000000027,-0.05805891752243042,ssp126
-63.91666666666667,3.0833333333333357,-0.0072682201862335205,ssp126
-63.75,3.0833333333333357,-0.008221430703997612,ssp126
