lon,lat,cenario,variavel,delta
-60.41666666666667,5.083333333333336,ssp126,bio4_sazonalidade_temperatura,2.3302904129028335
-60.41666666666667,5.083333333333336,ssp126,bio5_temp_max_mes_quente,1
-60.41666666666667,5.083333333333336,ssp126,bio12_precipitacao_anual,-40.74000000000001
-60.41666666666667,5.083333333333336,ssp126,bio13_precipitacao_mes_umido,-5.3799999999999955
-60.25,5.083333333333336,ssp126,bio4_sazonalidade_temperatura,2.4076397705078136
-60.25,5.083333333333336,ssp126,bio5_temp_max_mes_quente,1
-60.25,5.083333333333336,ssp126,bio12_precipitacao_anual,-45.840000000000146
-60.25,5.083333333333336,ssp126,bio13_precipitacao_mes_umido,-6.220000000000027
-60.41666666666667,4.916666666666669,ssp126,bio4_sazonalidade_temperatura,2.3428370285034177
-60.41666666666667,4.916666666666669,ssp126,bio5_temp_max_mes_quente,1
-60.41666666666667,4.916666666666669,ssp126,bio12_precipitacao_anual,-39.16000000000008
-60.41666666666667,4.916666666666669,ssp126,bio13_precipitacao_mes_umido,-5.439999999999998
-60.25,4.916666666666669,ssp126,bio4_sazonalidade_temperatura,2.372864151000975
-60.25,4.916666666666669,ssp126,bio5_temp_max_mes_quente,1
-60.25,4.916666666666669,ssp126,bio12_precipitacao_anual,-40.940000000000055
-60.25,4.916666666666669,ssp126,bio13_precipitacao_mes_umido,-5.680000000000007
-60.583333333333336,4.750000000000003,ssp126,bio4_sazonalidade_temperatura,2.4671146011352576
-60.583333333333336,4.750000000000003,ssp126,bio5_temp_max_mes_quente,1
-60.583333333333336,4.750000000000003,ssp126,bio12_precipitacao_anual,-38.200000000000045
-60.583333333333336,4.750000000000003,ssp126,bio13_precipitacao_mes_umido,-5.240000000000009
-60.41666666666667,4.750000000000003,ssp126,bio4_sazonalidade_temperatura,2.4502413177490254
-60.41666666666667,4.750000000000003,ssp126,bio5_temp_max_mes_quente,1
-60.41666666666667,4.750000000000003,ssp126,bio12_precipitacao_anual,-37.180000000000064
