lon,lat,temperatura,precipitacao,sazonalidade,periodo
-79.83333333333333,9.8,24.996105203946463,1449.4683444981824,46.4854913136373,Atual
-79.5,9.8,25.443582786131916,1538.4430245263948,53.09316925531194,Atual
-79.16666666666667,9.8,27.499404610111537,1362.8871012626203,48.88436186255373,Atual
-78.83333333333333,9.8,25.954058284202592,1511.7823136744014,46.231835495904875,Atual
-78.5,9.8,26.1137324300945,1495.865612771375,45.65640381821757,Atual
-78.16666666666667,9.8,27.956154366946915,1566.2080187013883,53.60504177844359,Atual
-77.83333333333333,9.8,26.67740516213559,1342.9342530103202,55.25474814216001,Atual
-77.5,9.8,24.88208085016552,1535.3943276529574,43.83609830335424,Atual
-77.16666666666667,9.8,25.623478768770614,1519.1909016217965,50.03406140048045,Atual
-76.83333333333333,9.8,25.99595013290665,1449.03220998579,51.92820545155642,Atual
-76.5,9.8,27.94129170792114,1507.5238834121517,49.87898458388682,Atual
-76.16666666666667,9.8,27.100347236497672,1466.0372768250074,51.389828320650615,Atual
-75.83333333333333,9.8,27.255939135293463,1653.293248274021,51.66752662409334,Atual
-75.5,9.8,27.047827176483963,1533.756016873686,52.57921083269369,Atual
-75.16666666666667,9.8,26.42574126621268,1498.0221950251696,46.26124618036563,Atual
-74.83333333333333,9.8,29.113623183419893,1507.498536448331,53.464234348857964,Atual
-74.5,9.8,27.805926321991706,1461.981840762404,51.08035023083051,Atual
-74.16666666666667,9.8,25.204363572813712,1543.9253098911875,47.507041860792846,Atual
-73.83333333333333,9.8,28.2472277538648,1435.8525589344483,52.25893754350144,Atual
-73.5,9.8,27.06216816146153,1543.517550930058,47.407537093459226,Atual
-73.16666666666667,9.8,26.51221508525101,1361.7541141166141,46.794535913946454,Atual
-72.83333333333333,9.8,27.549388509310567,1506.8222716651735,48.98723757903148,Atual
-72.5,9.8,26.760337295413944,1635.8362541812498,48.26195845640148,Atual
-72.16666666666667,9.8,27.184076741277043,1502.9403146388001,54.37067512478486,Atual
-71.83333333333333,9.8,27.392063392485955,1603.2931188264442,51.889259990926114,Atual
-71.5,9.8,26.31453875172852,1732.2344056807524,54.01024601551191,Atual
-71.16666666666667,9.8,29.178028645713788,1642.0885056569768,52.85891346845167,Atual
-70.83333333333333,9.8,28.507734429989057,1610.4749071160588,47.030181811239615,Atual
-70.5,9.8,27.1653793209412,1626.5543274429617,47.850245971643815,Atual
-70.16666666666667,9.8,29.870335540923648,1436.8111508827842,44.831161593094535,Atual
-69.83333333333333,9.8,29.02933442475758,1480.2578385978109,50.084732178211155,Atual
-69.5,9.8,28.299792111119032,1749.8228225063947,50.1353616763256,Atual
-69.16666666666667,9.8,29.668020305196904,1522.2771147708943,51.69091699898105,Atual
-68.83333333333333,9.8,29.703022537418295,1675.812253123071,45.999161649582234,Atual
-68.5,9.8,29.689025123025907,1620.0527285091348,45.34163985227819,Atual
-68.16666666666667,9.8,29.58536829508992,1462.9102839665745,47.52688355413976,Atual
-67.83333333333333,9.8,29.473987987050688,1648.9461204649594,49.14921933243318,Atual
-67.5,9.8,28.82751311338813,1539.4669489064988,50.831323748960116,Atual
-67.16666666666667,9.8,28.58402190472668,1549.5491314972026,48.50231165753465,Atual
-66.83333333333333,9.8,28.520977954341028,1543.0385148867167,49.960304507423174,Atual
-66.5,9.8,28.18812561475556,1687.5742931779382,52.150263642461056,Atual
-66.16666666666667,9.8,28.73025401901869,1668.1376980361276,40.57807277946986,Atual
-65.83333333333333,9.8,27.567518719099784,1649.4295877449915,49.612290420557486,Atual
-65.5,9.8,31.339628379250726,1669.6978858082869,46.388257592882255,Atual
-65.16666666666667,9.8,30.270705077476432,1441.339479000991,51.63960966361678,Atual
-64.83333333333333,9.8,27.688581952953346,1609.1890184843255,45.232039792449314,Atual
-64.5,9.8,28.456822417012376,1564.1283357850102,46.578064476037795,Atual
-64.16666666666667,9.8,28.356683086932872,1550.8240795341994,47.99305688819048,Atual
-63.833333333333336,9.8,29.69208028823242,1548.7127515866387,49.09669445096504,Atual
-63.5,9.8,28.70074453782441,1591.0664721218768,42.805748944740245,Atual
-63.16666666666667,9.8,29.023778472273722,1556.3898800529366,53.9378461092048,Atual
-62.833333333333336,9.8,28.660896034227587,1538.617847392618,52.221737126551716,Atual
-62.5,9.8,28.58696409821995,1501.538092146206,44.76259125891355,Atual
-62.16666666666667,9.8,30.07624253664139,1808.481757603702,48.79904663381657,Atual
-61.833333333333336,9.8,28.2541200982583,1685.5019297896092,47.3295167905945,Atual
-61.5,9.8,30.097514525682087,1655.5309114858358,56.03321573059668,Atual
-61.16666666666667,9.8,26.648163445320723,1774.6581567799901,56.30277463525559,Atual
-60.833333333333336,9.8,28.912966775603053,1561.1684267339479,51.474846129291436,Atual
-60.5,9.8,28.32018960452305,1659.2252206228607,53.177608474253944,Atual
-60.16666666666667,9.8,28.331767295453748,1749.2077476570366,49.713906798076174,Atual
-59.833333333333336,9.8,28.418616819987903,1619.5133198188394,45.1367208643884,Atual
-59.5,9.8,27.352027231666533,1540.3007198043808,54.02545797985536,Atual
-59.16666666666667,9.8,27.438709919225975,1600.7941461980336,47.966943780945336,Atual
-58.833333333333336,9.8,26.582852042541678,1583.1618060815656,48.100003984435396,Atual
-58.5,9.8,26.42006803812141,1687.5565465468321,42.01976090300033,Atual
-58.16666666666667,9.8,27.82670148261002,1722.9461064252234,51.6649312893041,Atual
-57.833333333333336,9.8,27.877988240202605,1641.4878495158976,52.77290265619826,Atual
-57.5,9.8,27.334088379896986,1602.9385384473749,51.14468962154085,Atual
