lon,lat,classe,cenario,classe_nome
-60.41666666666667,5.083333333333336,0,ssp126,Inadequado estável
-60.25,5.083333333333336,0,ssp126,Inadequado estável
-60.41666666666667,4.916666666666669,0,ssp126,Inadequado estável
-60.25,4.916666666666669,0,ssp126,Inadequado estável
-60.583333333333336,4.750000000000003,0,ssp126,Inadequado estável
-60.41666666666667,4.750000000000003,0,ssp126,Inadequado estável
-60.25,4.750000000000003,0,ssp126,Inadequado estável
-60.75,4.583333333333336,0,ssp126,Inadequado estável
-60.583333333333336,4.583333333333336,0,ssp126,Inadequado estável
-60.41666666666667,4.583333333333336,0,ssp126,Inadequado estável
-60.25,4.583333333333336,0,ssp126,Inadequado estável
-61.083333333333336,4.416666666666669,0,ssp126,Inadequado estável
-60.91666666666667,4.416666666666669,0,ssp126,Inadequado estável
-60.75,4.416666666666669,0,ssp126,Inadequado estável
-60.583333333333336,4.416666666666669,0,ssp126,Inadequado estável
-60.41666666666667,4.416666666666669,0,ssp126,Inadequado estável
-60.25,4.416666666666669,0,ssp126,Inadequado estável
-60.083333333333336,4.416666666666669,0,ssp126,Inadequado estável
-61.41666666666667,4.250000000000003,0,ssp126,Inadequado estável
-61.25,4.250000000000003,0,ssp126,Inadequado estável
-61.083333333333336,4.250000000000003,0,ssp126,Inadequado estável
-60.91666666666667,4.250000000000003,0,ssp126,Inadequado estável
-60.75,4.250000000000003,0,ssp126,Inadequado estável
-60.583333333333336,4.250000000000003,0,ssp126,Inadequado estável
-60.41666666666667,4.250000000000003,0,ssp126,Inadequado estável
-60.25,4.250000000000003,0,ssp126,Inadequado estável
-60.083333333333336,4.250000000000003,0,ssp126,Inadequado estável
-59.91666666666667,4.250000000000003,0,ssp126,Inadequado estável
-61.75,4.083333333333336,0,ssp126,Inadequado estável
-61.583333333333336,4.083333333333336,1,ssp126,Perda potencial
-61.41666666666667,4.083333333333336,3,ssp126,Adequado estável
-61.25,4.083333333333336,1,ssp126,Perda potencial
-61.083333333333336,4.083333333333336,3,ssp126,Adequado estável
-60.91666666666667,4.083333333333336,3,ssp126,Adequado estável
-60.75,4.083333333333336,3,ssp126,Adequado estável
-60.583333333333336,4.083333333333336,0,ssp126,Inadequado estável
-60.41666666666667,4.083333333333336,1,ssp126,Perda potencial
-60.25,4.083333333333336,0,ssp126,Inadequado estável
-60.083333333333336,4.083333333333336,0,ssp126,Inadequado estável
-59.91666666666667,4.083333333333336,0,ssp126,Inadequado estável
-51.41666666666667,4.083333333333336,3,ssp126,Adequado estável
-64.25,3.916666666666669,0,ssp126,Inadequado estável
-62.583333333333336,3.916666666666669,0,ssp126,Inadequado estável
-62.41666666666667,3.916666666666669,0,ssp126,Inadequado estável
-62.25,3.916666666666669,0,ssp126,Inadequado estável
-62.083333333333336,3.916666666666669,0,ssp126,Inadequado estável
