pa,lon,lat,temperatura,precipitacao,elevacao
1,-52.16666666666667,1.4000000000000004,25.004977430560988,1804.0676270130928,613.6510751013227
1,-78.5,5,25.420905363523712,1633.0491560671383,432.77326667684963
1,-46.5,-21.8,18.57080491437787,1748.9517113156853,244.23770800642734
1,-44.5,9.8,24.206330512895995,1466.804070232254,361.0467791680865
1,-47.5,0.5999999999999996,23.779982336475463,1950.4190869707832,475.01797041708886
1,-75.83333333333333,4.199999999999999,24.193381176936576,1608.7726748188732,461.9198176606999
1,-41.5,-3.4000000000000004,24.40049914613684,1798.1253472624685,563.5720225230322
1,-47.833333333333336,8.2,25.461869191674456,1669.9537405651324,383.99679930010547
1,-45.16666666666667,2.5999999999999996,24.14911783873811,1812.3530068849684,466.9472250825062
1,-62.16666666666667,-19,23.087271287865292,1724.6981827968525,730.035588633024
1,-65.5,-21.400000000000002,21.390873688573276,1940.5464507275879,686.510741807386
1,-54.16666666666667,3,25.223509512603073,1937.3749905249465,699.0420609780526
1,-63.16666666666667,-24.6,20.85900292670189,1940.3343140215602,775.8305729904641
1,-74.5,-3.4000000000000004,22.93987422178794,2045.8741798597873,505.4116807655706
1,-71.16666666666667,-16.200000000000003,24.84298198675825,1592.4693350342613,433.7058915493777
1,-57.833333333333336,-9.400000000000002,24.675563500835015,1689.567515748492,763.1237375607191
1,-59.16666666666667,-12.600000000000001,23.650972742933053,1891.7476812976354,746.3335554795074
1,-65.83333333333333,9.8,27.440979083942956,1639.1810234203608,777.544663049029
1,-76.83333333333333,-15.400000000000002,21.38642846372767,1424.6672995220379,254.48264730455168
1,-56.5,-5.800000000000001,23.627305590980402,1864.5469013027528,775.010490606004
1,-49.16666666666667,-6.600000000000001,22.514190017467495,1531.5184676395193,440.7433827613594
1,-74.5,-7.400000000000002,23.643311082184148,1547.8909848828216,443.8995822004911
1,-46.833333333333336,-4.600000000000001,21.11106871000793,1720.7208267051196,437.2080729531382
1,-54.833333333333336,-16.200000000000003,21.906241907331236,1700.059008330579,518.5233369962023
1,-68.5,1,26.0662136238096,2039.1208758556497,792.2172394528859
1,-49.16666666666667,-16.200000000000003,19.95645856692419,1640.791669575132,277.8231911482427
1,-75.83333333333333,-14.200000000000003,22.081701991077853,1286.3020869534753,284.4020167579074
1,-68.5,-2.6000000000000014,26.28158706654023,1953.3065851115743,782.7885876375371
1,-72.16666666666667,-1.4000000000000004,25.26695218919854,1778.9434413110846,611.7735357738225
1,-74.16666666666667,-22.6,20.550936281148896,1842.7468134484916,317.6454092088368
1,-75.5,-24.6,19.946245273887534,1917.8418745980703,308.2192864006489
1,-54.16666666666667,9,24.516314486628534,1728.1311883000822,602.2206177513323
