cenario,variavel,atual_min,atual_media,atual_max,futuro_min,futuro_media,futuro_max,delta_min,delta_media,delta_max
ssp126,bio3_isotermalidade,64.64842987060547,78.18671811424649,92.434478759765625,64.64842987060547,78.18671811424649,92.434478759765625,0,0,0
ssp126,bio4_sazonalidade_temperatura,23.266281127929688,52.02426403242748,190.0337371826172,24.994269561767577,54.61499195340026,196.7647492980957,1.72798843383789,2.590727920972827,6.7310121154785065
ssp126,bio5_temp_max_mes_quente,26.022750854492188,32.50180589992106,36.47425079345703,27.022750854492188,33.50180589992106,37.47425079345703,1,1,1
ssp126,bio8_temp_media_trimestre_umido,20.016624450683594,25.656714724385548,27.894001007080078,21.016624450683594,26.656714724385548,28.894001007080078,1,1,1
ssp126,bio12_precipitacao_anual,1110,2211.7631477631476,3788,1088.78,2168.5078848078756,3713.22,-74.7800000000002,-43.25526295526297,-21.220000000000027
ssp126,bio13_precipitacao_mes_umido,199,328.976283976284,593,196,323.37675829675766,582.12,-10.879999999999995,-5.599525679525693,-3
ssp126,bio14_precipitacao_mes_seco,0,55.93077693077693,245,0.98,55.79216139216049,241.07999999999998,-3.920000000000016,-0.1386155386155224,0.98
ssp126,bio18_precipitacao_trimestre_quente,37,402.77069377069375,908,37.24,395.69527989528024,890.8199999999999,-17.180000000000064,-7.075413875413862,0.240000000000002
ssp126,bio19_precipitacao_trimestre_frio,13,605.6365596365596,1656,13.719999999999999,594.5038284438241,1623.86,-32.1400000000001,-11.132731192731143,0.7199999999999989
ssp126,elevacao,0,179.06983906983908,1386,0,179.06983906983908,1386,0,0,0
ssp126,declividade,0,0.06815963961093485,1.2018144130706787,0,0.06815963961093485,1.2018144130706787,0,0,0
ssp126,orientacao,0,167.66198253095283,360,0,167.66198253095283,360,0,0,0
ssp245,bio3_isotermalidade,64.64842987060547,78.18671811424649,92.434478759765625,64.64842987060547,78.18671811424649,92.434478759765625,0,0,0
ssp245,bio4_sazonalidade_temperatura,23.266281127929688,52.02426403242748,190.0337371826172,26.419860308837894,56.73077429017859,202.19275899047852,3.1535791809082063,4.7065102577510745,12.159021807861336
