bio3_isotermalidade,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,elevacao,declividade,orientacao
83.10639953613281,45.295135498046875,32.113250732421875,25.602001190185547,2526,440,51,181,1129,46,0.03905404284034865,5.678309349701843
67.54524993896484,38.082557678222656,34.26499938964844,25.45400047302246,1981,317,7,277,894,240,0.06430801399251679,291.6313420287519
78.2091064453125,65.77580261230469,33.578250885009766,26.216875076293945,1644,348,18,113,921,39,0.04396698987582676,28.947845438156836
68.96720886230469,45.9691276550293,33.79475021362305,25.01704216003418,2131,378,3,310,70,351,0.03461407403905659,86.13739850112302
68.71794128417969,68.66514587402344,33.77524948120117,25.071041107177734,1862,320,7,270,87,202,0.04307642990086782,289.4998347535343
81.472686767578125,58.359642028808594,31.46875,24.901290893554688,2278,343,66,232,731,326,0.07434907824023704,51.153059210851865
74.7437744140625,55.77509307861328,34.22174835205078,25.79979133605957,1661,308,21,160,821,112,0.05052112577726115,360
72.26689910888672,53.14275741577149,32.68000030517578,25.04254150390625,1965,327,13,465,130,257,0.23762684265494669,46.228297567146065
75.6510009765625,51.44533920288086,33.721500396728516,25.33824920654297,1830,315,24,212,860,163,0.04016914010227365,48.86167958157712
85.15223693847656,27.02532958984375,32.01475143432617,26.461292266845703,2285,289,91,470,410,80,0.01102305918969925,108.49972186182502
72.83757019042969,80.54627227783203,32.89474868774414,24.74250030517578,2107,360,3,755,34,372,0.03149309493717221,97.80139882227104
85.00053405761719,26.597171783447266,32.11650085449219,26.548084259033203,2266,279,85,478,416,60,0.00663774250898729,20.48526823176846
80.249176025390625,55.18806076049805,31.625999450683594,25.5521240234375,2261,326,45,511,169,150,0.0057452198096872,61.738185873432144
81.06047821044922,32.27635955810547,32.194000244140625,26.16237449645996,2813,368,75,599,407,99,0.030514449093738,31.428160579126686
90.39398193359376,37.45932388305664,32.45399856567383,26.363792419433594,3168,379,205,696,907,101,0.00591333046625468,156.93780288416735
70.08531188964844,53.57981872558594,33.465248107910156,24.754791259765625,1865,307,9,269,114,236,0.12730959164323627,327.7326701021768
87.92057037353516,28.589529037475582,31.45075035095215,26.25550079345703,2614,329,132,528,684,49,0.01479437392369483,315.1736072496484
88.25289154052734,46.529685974121094,31.18375015258789,25.428625106811523,3484,380,236,844,922,105,0.01953617631650522,117.2277326638933
81.82340240478516,47.574119567871094,31.99850082397461,25.488750457763672,2390,403,39,195,1082,71,0.0248908788963984,329.1733066833566
70.0410385131836,84.56940460205078,35.3177490234375,25.99858283996582,1695,298,2,427,49,322,0.02025530152352733,34.41043857001869
68.65336608886719,49.42317962646485,33.45124816894531,24.4754581451416,2087,360,2,303,68,453,0.11430854226598867,193.50822125694015
66.43704986572266,40.065128326416016,34.02674865722656,25.22629165649414,2163,340,16,307,936,301,0.05585382723041176,24.289064987801854
72.92170715332031,33.4398307800293,34.08250045776367,24.705333709716797,1983,303,14,343,832,259,0.14431814714185903,302.2205056910308
67.21476745605469,153.39268493652344,33.80175018310547,26.830541610717773,1476,257,14,487,95,223,0.11904728109124647,153.02368726882275
67.033538818359375,35.33481979370117,34.084251403808594,25.51762580871582,2345,349,23,337,1004,248,0.17466498315541112,34.13825296885366
73.718505859375,39.86067581176758,33.25925064086914,25.865625381469727,2309,348,24,521,207,81,0.00311645861933998,89.99999999999989
73.86579132080078,45.85645294189453,33.068748474121094,26.25112533569336,2286,320,44,431,933,110,0.03682652819487077,317.6206314605771
73.7667465209961,37.67691421508789,33.36724853515625,26.43400001525879,2176,305,35,464,893,90,0.04587243396775802,283.2228876876636
76.37067413330078,65.70149993896484,31.62324905395508,25.45779037475586,1936,328,34,160,477,91,0.1946797877065584,316.9379405521955
74.6751480102539,79.4436264038086,33.18024826049805,26.334333419799805,2384,365,22,93,977,8,0.01050935509959921,107.20737501042628
71.78905487060547,89.61495208740234,32.572750091552734,25.08275032043457,2072,345,4,717,37,297,0.00544073801587245,1.0432219355200337e-12
72.82194519042969,83.921630859375,31.35599899291992,25.03854179382324,1666,229,21,579,78,311,0.02805557730189985,342.8981877742335
73.83829498291016,30.731281280517575,33.57699966430664,24.75987434387207,1951,284,12,341,797,276,0.09638563433697814,312.3252678329788
78.42110443115234,66.33313751220703,30.91874885559082,25.331790924072266,2061,272,45,680,160,244,0.04103903179882805,68.90928594886715
79.14936065673828,56.46148681640625,32.243247985839844,25.793251037597656,2267,366,93,286,663,232,0.02271931531284968,143.50956756691767
79.0053939819336,39.94697189331055,31.357250213623047,24.17854118347168,1854,313,33,212,893,248,0.07834710249167282,54.174856160703285
77.26697540283203,57.37784194946289,32.11324691772461,25.83012580871582,2088,290,28,518,183,143,0.01193589687142363,78.73449984729801
82.27405548095703,54.9871940612793,31.849750518798828,25.181875228881836,2179,351,52,193,662,281,0.02987710211846887,167.30578512044616
89.07537841796875,26.22742462158203,31.506999969482425,26.32079315185547,2564,298,123,597,624,59,0.00518347695759964,167.0733739545771
79.68077087402344,65.53534698486328,33.04499816894531,26.3228759765625,1968,328,41,212,902,18,0.11144518067690302,187.96848622690035
81.24451446533203,43.231048583984375,31.72224998474121,26.01891708374023,2125,431,6,65,1111,18,0.02469361840935028,12.64481385484132
80.96604919433594,46.61822891235352,32.31924819946289,26.46670913696289,2147,266,77,373,778,33,0.01401185392097407,3.1659164199076075
