lon,lat,pa,tipo,pred_rf,pred_bin_rf
-59.162667,-8.999722,1,presenca,0.007982936507936508,0
-46.799722,-3.6225,1,presenca,0.06215634920634922,0
-52.514444,-0.295278,1,presenca,0.5243873015873017,1
-62,-9.116111,1,presenca,0.1593515873015873,1
-63.94,-8.854167,1,presenca,0.31361269841269857,1
-52.380833,-1.599167,1,presenca,0.2601261904761904,1
-52.946266,1.963061,1,presenca,0.14989603174603178,1
-51.972222,0.973889,1,presenca,0.42854285714285717,1
-64.048056,-9.081667,1,presenca,0.37600555555555576,1
-59.860682,-2.442484,1,presenca,0.18665000000000012,1
-59.685556,-2.315278,1,presenca,0.27921507936507906,1
-60.535278,-3.603056,1,presenca,0.24005952380952375,1
-57.846944,-9.122222,1,presenca,0.002806746031746032,0
-51.658889,0.9675,1,presenca,0.3302019841269841,1
-56.306111,-1.655278,1,presenca,0.3578555555555557,1
-61.595136,-7.948514,1,presenca,0.10563214285714286,0
-63.591667,-8.581667,1,presenca,0.2199964285714286,1
-60.285058,-2.439172,1,presenca,0.14002142857142855,1
-51.972222,-0.973889,1,presenca,0.2174753968253967,1
-64.736111,-9.744722,1,presenca,0.07369166666666672,0
-64.95,-9.646944,1,presenca,0.19631230158730165,1
-48.798889,-2.797222,1,presenca,0.3034456349206349,1
-51.986389,-2.301667,1,presenca,0.23617341269841277,1
-49.16,-3.035278,1,presenca,0.19193452380952378,1
-63,-11,1,presenca,0.00368015873015873,0
-53,-4,1,presenca,0.02969484126984126,0
-52.63,0.57,1,presenca,0.40581388888888925,1
-51.61687,-0.012935833,1,presenca,0.47350833333333314,1
-52.45,0.9,1,presenca,0.5420837301587301,1
-51.4,2.39,1,presenca,0.7700440476190469,1
-51.18,3.43,1,presenca,0.4934162698412702,1
-51.53,2.03,1,presenca,0.4993071428571428,1
-52.22,0.81,1,presenca,0.591367857142857,1
-51.93,2.93,1,presenca,0.3666396825396824,1
-52.95556944,1.018297222,1,presenca,0.0903595238095238,0
-52.08,0.9,1,presenca,0.5211210317460316,1
-53.225626,0.77088,1,presenca,0.08317738095238097,0
-60.17,-2.63,1,presenca,0.09200317460317463,0
-66.08333333333333,-9.08333333333333,0,background,0.09117380952380952,0
-63.75,0.4166666666666696,0,background,0.020246031746031748,0
-65.75,-4.416666666666664,0,background,0.058574603174603196,0
-72.91666666666667,-7.416666666666664,0,background,0.011945634920634919,0
-63.75,-11.083333333333329,0,background,0.022994047619047615,0
-53.25,2.0833333333333357,0,background,0.05949563492063495,0
-57.91666666666667,-10.916666666666664,0,background,0.023804761904761895,0
-67.91666666666667,-6.916666666666664,0,background,0.10865396825396822,0
-51.083333333333336,-7.2499999999999964,0,background,0.009527380952380954,0
-71.08333333333333,-6.2499999999999964,0,background,0.014588095238095235,0
