id_registro,lon,lat,pa,tipo,id_bloco,fold,bio3_isotermalidade,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,elevacao,declividade,orientacao
2,-59.968854,-2.933488,1,presenca,49,1,80.94942474365234,49.023834228515625,31.92599868774414,26.09166717529297,2319,304,71,391,857,78,0.08839131891727448,191.3485565185547
27,-60.658681,-3.154839,1,presenca,49,1,83.69599914550781,41.37446975708008,31.86349868774414,26.34941673278809,2236,304,51,363,876,42,0.03204062953591347,98.36908721923828
32,-59.860682,-2.442484,1,presenca,49,1,81.28404235839844,47.41268157958984,31.71125030517578,26.01241683959961,2393,319,98,421,792,117,0.00695454981178045,90
34,-60.063819,-3.553975,1,presenca,49,1,81.84859466552734,45.436492919921875,32.118499755859375,26.447250366210938,2184,285,60,369,834,28,0.02365141734480858,345.8006591796875
35,-59.74583,-2.41625,1,presenca,50,1,80.78584289550781,48.940696716308594,31.828248977661133,26.087833404541016,2376,315,98,408,802,105,0.03225837647914886,96.22453308105467
39,-58.966667,-4.116667,1,presenca,50,1,79.57337951660156,50.833099365234375,32.54999923706055,26.591251373291016,2234,292,85,362,837,34,0.02000410668551922,352.2170104980469
41,-54.355206,-11.524631,1,presenca,19,1,68.98633575439453,64.53893280029297,34.56850051879883,25.13774871826172,1890,331,1,481,47,352,0.03783147037029266,88.8227767944336
43,-60.535278,-3.603056,1,presenca,49,1,83.71955108642578,39.335968017578125,32.06449890136719,26.451915740966797,2246,298,57,377,866,28,0.01499530486762523,343.5174865722656
60,-60.285058,-2.439172,1,presenca,49,1,82.43030548095703,43.41608047485352,31.79800033569336,26.19270896911621,2389,319,93,424,795,77,0.05211623385548591,227.8465576171875
83,-60.05,-3.166667,1,presenca,49,1,81.79431915283203,49.14425277709961,32.04050064086914,26.337749481201172,2198,298,54,368,863,27,0.02275239117443561,154.85980224609375
84,-59.800556,-2.991389,1,presenca,49,1,80.688385009765625,49.45139694213867,31.88774871826172,26.183834075927734,2345,304,79,397,852,81,0.0913982316851616,165.8016357421875
86,-52.8731,-10.8339,1,presenca,19,1,69.62115478515625,56.69300079345703,34.96424865722656,25.757583618164063,2063,347,3,539,57,308,0.0211253073066473,260.4699401855469
118,-60.17,-2.63,1,presenca,49,1,82.4005355834961,43.955692291259766,31.808250427246097,26.222749710083008,2355,313,82,409,821,69,0.04382116720080376,240.8063812255859
123,-58.583333333333336,-10.749999999999996,0,background,17,1,68.23628997802734,55.169429779052734,33.87324905395508,25.06712532043457,1959,339,4,240,64,281,0.114028237760067,92.34391784667967
124,-51.91666666666667,-12.249999999999996,0,background,19,1,72.39082336425781,90.1066436767578,33.9322509765625,26.0867919921875,1662,307,2,415,50,324,0.04110493883490562,267.8326721191406
130,-52.583333333333336,-12.749999999999996,0,background,19,1,70.01180267333984,99.6195831298828,34.471248626708984,25.57666778564453,1627,291,2,392,42,331,0.03784461691975593,320.36920166015625
140,-57.91666666666667,-10.916666666666664,0,background,17,1,69.0828857421875,55.87539291381836,33.861751556396484,25.330041885375977,1986,334,2,458,64,259,0.0325346440076828,70.46041107177734
146,-64.91666666666667,-5.58333333333333,0,background,37,1,81.5342788696289,29.19474220275879,32.32624816894531,26.34925079345703,2660,343,81,573,406,80,0.00905092805624008,121.01416015625
151,-52.91666666666667,-11.249999999999996,0,background,19,1,69.72623443603516,66.02891540527344,34.81650161743164,25.70325088500977,1942,332,2,500,51,306,0.01393474452197551,248.7427978515625
155,-57.25,-4.7499999999999964,0,background,50,1,77.19884490966797,51.50705337524414,32.41175079345703,26.08304214477539,2329,326,70,393,921,153,0.12016500532627106,314.5712585449219
159,-55.75,1.9166666666666692,0,background,73,1,79.64422607421875,61.334320068359375,33.02399826049805,25.70170783996582,1843,357,43,160,474,344,0.18487919867038727,222.2756805419922
167,-61.583333333333336,-4.58333333333333,0,background,49,1,84.950225830078125,29.87679100036621,32.281497955322266,26.673416137695313,2506,310,90,496,872,49,0.01087089627981185,85.89996337890625
171,-68.58333333333333,-4.2499999999999964,0,background,46,1,83.06584930419922,37.42330551147461,31.315750122070313,26.009124755859375,2601,301,121,577,512,130,0.02978541329503059,80.9921646118164
176,-63.583333333333336,-1.0833333333333304,0,background,59,1,88.2770767211914,31.339099884033203,31.428749084472656,26.01883316040039,2520,318,142,493,657,51,0.0094672329723835,34.81619644165039
