lon,lat,adequado,classe,modelo
-60.41666666666667,5.083333333333336,0,Inadequado,GLM
-60.25,5.083333333333336,0,Inadequado,GLM
-60.41666666666667,4.916666666666669,0,Inadequado,GLM
-60.25,4.916666666666669,0,Inadequado,GLM
-60.583333333333336,4.750000000000003,0,Inadequado,GLM
-60.41666666666667,4.750000000000003,0,Inadequado,GLM
-60.25,4.750000000000003,0,Inadequado,GLM
-60.75,4.583333333333336,0,Inadequado,GLM
-60.583333333333336,4.583333333333336,0,Inadequado,GLM
-60.41666666666667,4.583333333333336,0,Inadequado,GLM
-60.25,4.583333333333336,0,Inadequado,GLM
-61.083333333333336,4.416666666666669,0,Inadequado,GLM
-60.91666666666667,4.416666666666669,0,Inadequado,GLM
-60.75,4.416666666666669,0,Inadequado,GLM
-60.583333333333336,4.416666666666669,0,Inadequado,GLM
-60.41666666666667,4.416666666666669,0,Inadequado,GLM
-60.25,4.416666666666669,0,Inadequado,GLM
-60.083333333333336,4.416666666666669,0,Inadequado,GLM
-61.41666666666667,4.250000000000003,0,Inadequado,GLM
-61.25,4.250000000000003,0,Inadequado,GLM
-61.083333333333336,4.250000000000003,0,Inadequado,GLM
-60.91666666666667,4.250000000000003,0,Inadequado,GLM
-60.75,4.250000000000003,0,Inadequado,GLM
-60.583333333333336,4.250000000000003,0,Inadequado,GLM
-60.41666666666667,4.250000000000003,0,Inadequado,GLM
-60.25,4.250000000000003,0,Inadequado,GLM
-60.083333333333336,4.250000000000003,0,Inadequado,GLM
-59.91666666666667,4.250000000000003,0,Inadequado,GLM
-61.75,4.083333333333336,0,Inadequado,GLM
-61.583333333333336,4.083333333333336,0,Inadequado,GLM
-61.41666666666667,4.083333333333336,1,Adequado,GLM
-61.25,4.083333333333336,1,Adequado,GLM
-61.083333333333336,4.083333333333336,1,Adequado,GLM
-60.91666666666667,4.083333333333336,1,Adequado,GLM
-60.75,4.083333333333336,0,Inadequado,GLM
-60.583333333333336,4.083333333333336,1,Adequado,GLM
