id_registro,lon,lat,pa,fold,pred_glm_espacial
2,-59.968854,-2.933488,1,1,0.4058621823302823
27,-60.658681,-3.154839,1,1,0.30130354666382503
32,-59.860682,-2.442484,1,1,0.10731784595605061
34,-60.063819,-3.553975,1,1,0.34033728141180086
35,-59.74583,-2.41625,1,1,0.14587425573425833
39,-58.966667,-4.116667,1,1,0.18944315368972311
41,-54.355206,-11.524631,1,1,0.0015821417953429382
43,-60.535278,-3.603056,1,1,0.27109551355119355
60,-60.285058,-2.439172,1,1,0.18655137310774783
83,-60.05,-3.166667,1,1,0.2810655989977103
84,-59.800556,-2.991389,1,1,0.37489466801653876
86,-52.8731,-10.8339,1,1,0.0020391734174592417
118,-60.17,-2.63,1,1,0.25182329711629947
123,-58.583333333333336,-10.749999999999996,0,1,0.05810333652525781
124,-51.91666666666667,-12.249999999999996,0,1,9.76009197516793e-4
130,-52.583333333333336,-12.749999999999996,0,1,0.001418919552682293
140,-57.91666666666667,-10.916666666666664,0,1,0.01950752868746741
146,-64.91666666666667,-5.58333333333333,0,1,0.018296672249260987
151,-52.91666666666667,-11.249999999999996,0,1,0.00270592461010614
155,-57.25,-4.7499999999999964,0,1,0.224162244680051
159,-55.75,1.9166666666666692,0,1,0.003662316040769121
167,-61.583333333333336,-4.58333333333333,0,1,0.027468236018621153
171,-68.58333333333333,-4.2499999999999964,0,1,0.02459312078767526
176,-63.583333333333336,-1.0833333333333304,0,1,0.021521770563534926
178,-52.75,-11.083333333333329,0,1,0.0026167903209367424
182,-58.41666666666667,-3.5833333333333304,0,1,0.1697473487043187
197,-62.91666666666667,-6.58333333333333,0,1,0.11244669204326113
201,-52.91666666666667,-7.416666666666664,0,1,0.001980424636385043
209,-54.91666666666667,1.0833333333333357,0,1,0.01709245196882164
213,-68.25,-2.9166666666666643,0,1,5.912006120328474e-6
222,-69.08333333333333,-4.7499999999999964,0,1,0.03370298074482251
224,-52.91666666666667,-6.58333333333333,0,1,0.008118576674454002
233,-53.25,-6.2499999999999964,0,1,0.002217320510161829
240,-56.083333333333336,1.2500000000000029,0,1,0.005838422172957878
242,-48.91666666666667,-7.7499999999999964,0,1,0.055275999922986346
245,-65.08333333333333,-7.416666666666664,0,1,0.03312906002621356
247,-62.583333333333336,-7.2499999999999964,0,1,0.21451940532325056
256,-54.75,1.9166666666666692,0,1,0.02391020536787245
259,-54.583333333333336,2.0833333333333357,0,1,0.050502117019214754
263,-55.91666666666667,2.0833333333333357,0,1,0.002673667307151419
264,-56.91666666666667,0.9166666666666696,0,1,0.02951868314625979
266,-48.91666666666667,-6.08333333333333,0,1,0.01840250078956222
279,-63.91666666666667,-2.2499999999999973,0,1,4.201352525858632e-4
298,-53.083333333333336,-11.249999999999996,0,1,0.0025298830447287512
301,-51.91666666666667,-6.7499999999999964,0,1,0.00678100438907091
312,-54.083333333333336,-10.749999999999996,0,1,0.010678957034567501
316,-69.41666666666667,-4.7499999999999964,0,1,0.05585979359872694
318,-55.25,1.7500000000000029,0,1,0.006487691103152792
322,-57.083333333333336,-3.2499999999999964,0,1,0.29824259984699353
332,-48.91666666666667,-5.916666666666664,0,1,0.017322062591970517
337,-64.91666666666667,-0.4166666666666643,0,1,0.008938149630843824
339,-59.91666666666667,-3.749999999999997,0,1,0.23419243794474762
347,-52.91666666666667,-6.916666666666664,0,1,0.003910218968425754
357,-64.25,-1.4166666666666643,0,1,6.895858012532329e-4
361,-58.91666666666667,-10.749999999999996,0,1,0.011061929998021728
368,-63.583333333333336,0.25000000000000266,0,1,0.047350890312491616
369,-57.75,-5.08333333333333,0,1,0.14819099127626537
370,-52.083333333333336,-10.58333333333333,0,1,0.0033985012592651523
374,-72.08333333333333,-8.249999999999996,0,1,0.04027246475519302
376,-60.75,-4.58333333333333,0,1,0.06246849031274913
378,-64.08333333333333,-7.08333333333333,0,1,0.03827001803109064
380,-61.91666666666667,-3.749999999999997,0,1,0.008976535894319229
383,-60.083333333333336,-3.749999999999997,0,1,0.32383033703219294
385,-64.25,-1.9166666666666643,0,1,7.689148827322064e-5
388,-66.75,0.9166666666666696,0,1,3.83180255229073e-6
393,-64.58333333333333,-0.9166666666666644,0,1,0.0025795426567711303
400,-48.75,-6.7499999999999964,0,1,0.024483195221520176
404,-60.75,-4.416666666666664,0,1,0.06454864308774502
407,-60.91666666666667,-4.58333333333333,0,1,0.047240011192683215
413,-61.91666666666667,-3.2499999999999964,0,1,0.03511758070465529
419,-66.91666666666667,0.9166666666666696,0,1,1.5000376549197796e-6
421,-63.25,-0.24999999999999736,0,1,0.03385112090053125
423,-53.083333333333336,-11.583333333333329,0,1,0.004358204150517593
427,-71.91666666666667,-9.749999999999996,0,1,0.0029848863433948416
432,-51.91666666666667,-7.08333333333333,0,1,0.004093256540791004
434,-68.08333333333333,-3.916666666666664,0,1,0.009061815367020188
436,-51.91666666666667,-5.416666666666664,0,1,0.008705061482103472
437,-63.75,-1.9166666666666643,0,1,9.526622159301962e-4
444,-57.41666666666667,-13.083333333333329,0,1,1.7477144950944748e-4
453,-67.58333333333333,1.5833333333333357,0,1,3.6996389943792066e-7
454,-58.083333333333336,-11.083333333333329,0,1,0.012604000254942096
458,-63.25,-1.5833333333333304,0,1,0.007596892091583027
459,-64.41666666666667,0.0833333333333357,0,1,0.01420030513507793
463,-59.41666666666667,-3.0833333333333304,0,1,0.26470679023490895
