lon,lat,temperatura,precipitacao,sazonalidade,dominio,extra_temperatura,extra_precipitacao,extra_sazonalidade,extrapolacao_univariada
-79.83333333333333,9.8,31.802971736420513,1282.888842302563,55.381242761364405,Projecao,TRUE,FALSE,FALSE,TRUE
-79.5,9.8,32.13245785011012,1352.5194068283354,60.88764104609328,Projecao,TRUE,FALSE,FALSE,TRUE
-79.16666666666667,9.8,33.77085584010419,1215.2282550012642,57.3803015521281,Projecao,TRUE,TRUE,FALSE,TRUE
-78.83333333333333,9.8,32.4559952821113,1331.7299915248498,55.16986291325406,Projecao,TRUE,FALSE,FALSE,TRUE
-78.5,9.8,32.529479080689036,1319.3121869666309,54.6903365151813,Projecao,TRUE,FALSE,FALSE,TRUE
-78.16666666666667,9.8,33.97327734994426,1374.3681726422562,61.31420148203632,Projecao,TRUE,FALSE,FALSE,TRUE
-77.83333333333333,9.8,32.85712091157434,1199.7510640720575,62.68895678513334,Projecao,TRUE,TRUE,FALSE,TRUE
-77.5,9.8,31.31226888626398,1350.3302039406683,53.173415252795195,Projecao,TRUE,FALSE,FALSE,TRUE
-77.16666666666667,9.8,31.83711497525332,1337.688116615553,58.338384500400366,Projecao,TRUE,FALSE,FALSE,TRUE
-76.83333333333333,9.8,32.05456607856897,1282.841021528425,59.916837876297016,Projecao,TRUE,FALSE,FALSE,TRUE
-76.5,9.8,33.55363468425949,1328.6271008900828,58.20915381990568,Projecao,TRUE,FALSE,FALSE,TRUE
-76.16666666666667,9.8,32.76802102124157,1296.2079478856203,59.46819026720884,Projecao,TRUE,FALSE,FALSE,TRUE
-75.83333333333333,9.8,32.79305630953442,1442.7163225894412,59.69960552007778,Projecao,TRUE,FALSE,FALSE,TRUE
-75.5,9.8,32.51612260480249,1349.2442363977718,60.45934236057807,Projecao,TRUE,FALSE,FALSE,TRUE
-75.16666666666667,9.8,31.89640596793349,1321.325039455525,55.194371816971355,Projecao,TRUE,FALSE,FALSE,TRUE
-74.83333333333333,9.8,33.981093305288844,1328.770236894679,61.19686195738163,Projecao,TRUE,FALSE,FALSE,TRUE
-74.5,9.8,32.79325300852184,1293.1986586396138,59.21029185902542,Projecao,TRUE,FALSE,FALSE,TRUE
-74.16666666666667,9.8,30.543718599525057,1357.3292537507211,56.232534883994035,Projecao,FALSE,FALSE,FALSE,FALSE
-73.83333333333333,9.8,32.90962262646877,1272.8249389282644,60.19244795291786,Projecao,TRUE,FALSE,FALSE,TRUE
-73.5,9.8,31.813940100993864,1357.0754808152003,56.14961424454935,Projecao,TRUE,FALSE,FALSE,TRUE
-73.16666666666667,9.8,31.23587116895335,1214.9286739448328,55.638779928288706,Projecao,TRUE,TRUE,FALSE,TRUE
-72.83333333333333,9.8,31.954701745095676,1328.4368031087429,57.46603131585956,Projecao,TRUE,FALSE,FALSE,TRUE
-72.5,9.8,31.178052720571003,1429.3869998027997,56.86163204700123,Projecao,TRUE,FALSE,FALSE,TRUE
-72.16666666666667,9.8,31.3927551131167,1325.4654352421871,61.95222927065405,Projecao,TRUE,FALSE,FALSE,TRUE
-71.83333333333333,9.8,31.430364790948243,1403.9962213326703,59.88438332577176,Projecao,TRUE,FALSE,FALSE,TRUE
-71.5,9.8,30.415988118110736,1504.8895538646327,61.651871679593256,Projecao,FALSE,FALSE,FALSE,FALSE
-71.16666666666667,9.8,32.62623496454917,1434.4080202164057,60.692427890376386,Projecao,TRUE,FALSE,FALSE,TRUE
-70.83333333333333,9.8,31.945719594882476,1409.71175350588,55.83515150936634,Projecao,TRUE,FALSE,FALSE,TRUE
-70.5,9.8,30.716206675427248,1422.3220259986276,56.518538309703175,Projecao,FALSE,FALSE,FALSE,FALSE
-70.16666666666667,9.8,32.79935069076897,1273.9332893708147,54.00263466091211,Projecao,TRUE,FALSE,FALSE,TRUE
-69.83333333333333,9.8,31.98282143936646,1307.9508465760505,58.38061014850929,Projecao,TRUE,FALSE,FALSE,TRUE
-69.5,9.8,31.259387757363974,1518.843159914913,58.422801396938,Projecao,TRUE,FALSE,FALSE,TRUE
-69.16666666666667,9.8,32.25454359841998,1340.884443345514,59.71909749915088,Projecao,TRUE,FALSE,FALSE,TRUE
-68.83333333333333,9.8,32.16143136506687,1461.0156330491425,54.97596804131853,Projecao,TRUE,FALSE,FALSE,TRUE
-68.5,9.8,32.03109366155748,1417.4318863881674,54.42803321023182,Projecao,TRUE,FALSE,FALSE,TRUE
-68.16666666666667,9.8,31.830565220797208,1294.5441668052465,56.24906962844979,Projecao,TRUE,FALSE,FALSE,TRUE
-67.83333333333333,9.8,31.627175397092987,1440.0981248365754,57.60101611036098,Projecao,TRUE,FALSE,FALSE,TRUE
