lon,lat,temperatura,precipitacao,sazonalidade,mess_temperatura,mess_precipitacao,mess_sazonalidade,MESS,variavel_limitante
-79.83333333333333,9.8,31.802971736420513,1282.888842302563,55.381242761364405,-6.733363786344098,4.949142855517301,32.96070780230204,-6.733363786344098,temperatura
-79.5,9.8,32.13245785011012,1352.5194068283354,60.88764104609328,-8.860244523754803,11.843447909203249,11.644618256808538,-8.860244523754803,temperatura
-79.16666666666667,9.8,33.77085584010419,1215.2282550012642,57.3803015521281,-19.436341604475885,-1.7501095797268293,25.22205287993601,-19.436341604475885,temperatura
-78.83333333333333,9.8,32.4559952821113,1331.7299915248498,55.16986291325406,-10.948725656537489,9.785033303977023,33.77899074106603,-10.948725656537489,temperatura
-78.5,9.8,32.529479080689036,1319.3121869666309,54.6903365151813,-11.42307425337694,8.555513863707006,35.63530899343345,-11.42307425337694,temperatura
-78.16666666666667,9.8,33.97327734994426,1374.3681726422562,61.31420148203632,-20.743001861854793,14.006751590476174,9.993339148585756,-20.743001861854793,temperatura
-77.83333333333333,9.8,32.85712091157434,1199.7510640720575,62.68895678513334,-13.538049877315986,-3.282546898981904,4.671456199212227,-13.538049877315986,temperatura
-77.5,9.8,31.31226888626398,1350.3302039406683,53.173415252795195,-3.565805590633161,11.626689182130159,41.507537588332006,-3.565805590633161,temperatura
-77.16666666666667,9.8,31.83711497525332,1337.688116615553,58.338384500400366,-6.953763353940815,10.374962916110574,21.513170801060465,-6.953763353940815,temperatura
-76.83333333333333,9.8,32.05456607856897,1282.841021528425,59.916837876297016,-8.357441820968543,4.944407995085587,15.402742211593438,-8.357441820968543,temperatura
-76.5,9.8,33.55363468425949,1328.6271008900828,58.20915381990568,-18.034147481783947,9.477807953586671,22.013442051886887,-18.034147481783947,temperatura
-76.16666666666667,9.8,32.76802102124157,1296.2079478856203,59.46819026720884,-12.962897139217004,6.267902477204141,17.139524063392596,-12.962897139217004,temperatura
-75.83333333333333,9.8,32.79305630953442,1442.7163225894412,59.69960552007778,-13.12450356271485,20.774081408928996,16.243681082686333,-13.12450356271485,temperatura
-75.5,9.8,32.51612260480249,1349.2442363977718,60.45934236057807,-11.336856260865282,11.519164683799273,13.30262638854485,-11.336856260865282,temperatura
-75.16666666666667,9.8,31.89640596793349,1321.325039455525,55.194371816971355,-7.33649532653073,8.754811674675794,33.68411311702117,-7.33649532653073,temperatura
-74.83333333333333,9.8,33.981093305288844,1328.770236894679,61.19686195738163,-20.793454989243696,9.491980225297713,10.447577960496933,-20.793454989243696,temperatura
-74.5,9.8,32.79325300852184,1293.1986586396138,59.21029185902542,-13.125773283258516,5.969944846125812,18.13788729071747,-13.125773283258516,temperatura
-74.16666666666667,9.8,30.543718599525057,1357.3292537507211,56.232534883994035,1.3952981787850918,12.319683484346204,29.665228947154183,1.3952981787850918,temperatura
-73.83333333333333,9.8,32.90962262646877,1272.8249389282644,60.19244795291786,-13.876956075333112,3.952689353154076,14.335814472424365,-13.876956075333112,temperatura
