lon,lat,temperatura,precipitacao,sazonalidade,dominio,adequabilidade,MESS,extrapolacao,adequabilidade_mascarada
-79.83333333333333,9.8,31.802971736420513,1282.888842302563,55.381242761364405,Projecao,0.0010822072731737247,-6.733363786344098,TRUE,NA
-79.5,9.8,32.13245785011012,1352.5194068283354,60.88764104609328,Projecao,7.490669994297885e-4,-8.860244523754803,TRUE,NA
-79.16666666666667,9.8,33.77085584010419,1215.2282550012642,57.3803015521281,Projecao,4.9491927326147204e-5,-19.436341604475885,TRUE,NA
-78.83333333333333,9.8,32.4559952821113,1331.7299915248498,55.16986291325406,Projecao,5.341889518236294e-4,-10.948725656537489,TRUE,NA
-78.5,9.8,32.529479080689036,1319.3121869666309,54.6903365151813,Projecao,4.724724846137946e-4,-11.42307425337694,TRUE,NA
-78.16666666666667,9.8,33.97327734994426,1374.3681726422562,61.31420148203632,Projecao,5.181061017679835e-5,-20.743001861854793,TRUE,NA
-77.83333333333333,9.8,32.85712091157434,1199.7510640720575,62.68895678513334,Projecao,1.6359415245566146e-4,-13.538049877315986,TRUE,NA
-77.5,9.8,31.31226888626398,1350.3302039406683,53.173415252795195,Projecao,0.0025038097437624644,-3.565805590633161,TRUE,NA
-77.16666666666667,9.8,31.83711497525332,1337.688116615553,58.338384500400366,Projecao,0.001124067949527863,-6.953763353940815,TRUE,NA
-76.83333333333333,9.8,32.05456607856897,1282.841021528425,59.916837876297016,Projecao,6.98116638023901e-4,-8.357441820968543,TRUE,NA
-76.5,9.8,33.55363468425949,1328.6271008900828,58.20915381990568,Projecao,9.787060669135233e-5,-18.034147481783947,TRUE,NA
-76.16666666666667,9.8,32.76802102124157,1296.2079478856203,59.46819026720884,Projecao,2.7911930595373916e-4,-12.962897139217004,TRUE,NA
-75.83333333333333,9.8,32.79305630953442,1442.7163225894412,59.69960552007778,Projecao,3.8327551048400677e-4,-13.12450356271485,TRUE,NA
