lon,lat,MOP_distancia,MOP_extrapolacao,cenario
-51.416666666666664,4.083333333333333,3.454125877293039,1,ssp585
-51.58333333333333,3.916666666666667,3.543466604557955,1,ssp585
-51.416666666666664,3.916666666666667,3.49867155524394,1,ssp585
-51.75,3.75,3.4489185838652343,1,ssp585
-51.58333333333333,3.75,3.4721322351080097,1,ssp585
-51.416666666666664,3.75,3.3514441309377667,1,ssp585
-51.25,3.75,3.2028745256957216,1,ssp585
-51.75,3.5833333333333335,3.311055573001092,1,ssp585
-51.58333333333333,3.5833333333333335,3.268080427707222,1,ssp585
-51.416666666666664,3.5833333333333335,3.3034782417892994,1,ssp585
-51.25,3.5833333333333335,3.163561730844865,1,ssp585
-51.916666666666664,3.416666666666667,2.7163676749835295,1,ssp585
-51.75,3.416666666666667,2.9559089659766618,1,ssp585
-51.58333333333333,3.416666666666667,3.1422465986165373,1,ssp585
-51.416666666666664,3.416666666666667,3.2003580703892647,1,ssp585
-51.25,3.416666666666667,3.1431631825717323,1,ssp585
-52.08333333333333,3.25,2.1188763293974966,1,ssp585
-51.916666666666664,3.25,2.348122654609975,1,ssp585
-51.75,3.25,2.5895438403892914,1,ssp585
-51.58333333333333,3.25,2.845048235632616,1,ssp585
-51.416666666666664,3.25,2.9588172785605327,1,ssp585
-51.25,3.25,3.0612985043113303,1,ssp585
-52.08333333333333,3.0833333333333335,1.9482814570616778,1,ssp585
-51.916666666666664,3.0833333333333335,2.140751984346371,1,ssp585
-51.75,3.0833333333333335,2.3502767821696695,1,ssp585
-51.58333333333333,3.0833333333333335,2.682789369451092,1,ssp585
-51.416666666666664,3.0833333333333335,2.8146791983244994,1,ssp585
-51.25,3.0833333333333335,2.819099639712558,1,ssp585
-60.08333333333333,2.916666666666667,2.582119786081705,1,ssp585
-52.25,2.916666666666667,1.777511699135053,1,ssp585
-52.08333333333333,2.916666666666667,1.7474163205658875,1,ssp585
-51.916666666666664,2.916666666666667,1.9562973039930402,1,ssp585
