lon,lat,temperatura,precipitacao,sazonalidade,distancia_minima,extrapolacao_estrita,MOP
-79.83333333333333,9.8,31.802971736420513,1282.888842302563,55.381242761364405,1.5586490855372204,TRUE,NA
-79.5,9.8,32.13245785011012,1352.5194068283354,60.88764104609328,2.300365627187018,TRUE,NA
-79.16666666666667,9.8,33.77085584010419,1215.2282550012642,57.3803015521281,2.5299137186553247,TRUE,NA
-78.83333333333333,9.8,32.4559952821113,1331.7299915248498,55.16986291325406,1.4488217263377257,TRUE,NA
-78.5,9.8,32.529479080689036,1319.3121869666309,54.6903365151813,1.4515169654666982,TRUE,NA
-78.16666666666667,9.8,33.97327734994426,1374.3681726422562,61.31420148203632,2.785540039476075,TRUE,NA
-77.83333333333333,9.8,32.85712091157434,1199.7510640720575,62.68895678513334,3.2408458044818564,TRUE,NA
-77.5,9.8,31.31226888626398,1350.3302039406683,53.173415252795195,0.8572543275345343,TRUE,NA
-77.16666666666667,9.8,31.83711497525332,1337.688116615553,58.338384500400366,1.8031178573934783,TRUE,NA
-76.83333333333333,9.8,32.05456607856897,1282.841021528425,59.916837876297016,2.2999742521625324,TRUE,NA
-76.5,9.8,33.55363468425949,1328.6271008900828,58.20915381990568,2.222206836094463,TRUE,NA
-76.16666666666667,9.8,32.76802102124157,1296.2079478856203,59.46819026720884,2.339454661392401,TRUE,NA
-75.83333333333333,9.8,32.79305630953442,1442.7163225894412,59.69960552007778,2.120542543695436,TRUE,NA
-75.5,9.8,32.51612260480249,1349.2442363977718,60.45934236057807,2.3081599637469448,TRUE,NA
-75.16666666666667,9.8,31.89640596793349,1321.325039455525,55.194371816971355,1.3708523459216628,TRUE,NA
-74.83333333333333,9.8,33.981093305288844,1328.770236894679,61.19686195738163,2.8463918916774604,TRUE,NA
-74.5,9.8,32.79325300852184,1293.1986586396138,59.21029185902542,2.3154924176163307,TRUE,NA
-74.16666666666667,9.8,30.543718599525057,1357.3292537507211,56.232534883994035,1.1074600925519207,FALSE,1.1074600925519207
-73.83333333333333,9.8,32.90962262646877,1272.8249389282644,60.19244795291786,2.565454345612321,TRUE,NA
-73.5,9.8,31.813940100993864,1357.0754808152003,56.14961424454935,1.3921549290623667,TRUE,NA
-73.16666666666667,9.8,31.23587116895335,1214.9286739448328,55.638779928288706,1.8888610057292934,TRUE,NA
-72.83333333333333,9.8,31.954701745095676,1328.4368031087429,57.46603131585956,1.7298564018854221,TRUE,NA
-72.5,9.8,31.178052720571003,1429.3869998027997,56.86163204700123,1.1825912479836591,TRUE,NA
