lon,lat,MESS,extrapolacao,variavel_limitante,cenario
-60.41666666666667,5.083333333333336,-3.7777777777777777,TRUE,elevacao,ssp126
-60.25,5.083333333333336,-43.22222222222222,TRUE,elevacao,ssp126
-60.41666666666667,4.916666666666669,6.444444444444445,FALSE,elevacao,ssp126
-60.25,4.916666666666669,-24.333333333333332,TRUE,elevacao,ssp126
-60.583333333333336,4.750000000000003,7.888888888888889,FALSE,elevacao,ssp126
-60.41666666666667,4.750000000000003,9.88888888888889,FALSE,elevacao,ssp126
-60.25,4.750000000000003,15.333333333333334,FALSE,elevacao,ssp126
-60.75,4.583333333333336,-4.222222222222222,TRUE,elevacao,ssp126
-60.583333333333336,4.583333333333336,-1.2222222222222223,TRUE,elevacao,ssp126
-60.41666666666667,4.583333333333336,20.666666666666668,FALSE,elevacao,ssp126
-60.25,4.583333333333336,20.38680225275249,FALSE,bio4_sazonalidade_temperatura,ssp126
-61.083333333333336,4.416666666666669,-44.437271646164064,TRUE,declividade,ssp126
-60.91666666666667,4.416666666666669,-39.8534245010143,TRUE,declividade,ssp126
-60.75,4.416666666666669,-39.35887301126513,TRUE,declividade,ssp126
-60.583333333333336,4.416666666666669,-30.54807312002592,TRUE,declividade,ssp126
-60.41666666666667,4.416666666666669,5.738822145574907,FALSE,declividade,ssp126
-60.25,4.416666666666669,15.41816872736394,FALSE,bio12_precipitacao_anual,ssp126
-60.083333333333336,4.416666666666669,17.259982235280443,FALSE,bio12_precipitacao_anual,ssp126
-61.41666666666667,4.250000000000003,-20.05504726302244,TRUE,declividade,ssp126
-61.25,4.250000000000003,-16.392513458329066,TRUE,declividade,ssp126
-61.083333333333336,4.250000000000003,-3.120425275862459,TRUE,declividade,ssp126
-60.91666666666667,4.250000000000003,9.621555951738532,FALSE,declividade,ssp126
-60.75,4.250000000000003,16.65653204068064,FALSE,declividade,ssp126
-60.583333333333336,4.250000000000003,13.372580012413435,FALSE,bio8_temp_media_trimestre_umido,ssp126
-60.41666666666667,4.250000000000003,15.648396013300216,FALSE,bio12_precipitacao_anual,ssp126
-60.25,4.250000000000003,14.65074603410092,FALSE,bio12_precipitacao_anual,ssp126
