lon,lat,MOP_distancia,MOP_extrapolacao,cenario
-51.416666666666664,4.083333333333333,0.9298715127185523,1,ssp126
-51.58333333333333,3.916666666666667,0.8489407625893268,1,ssp126
-51.416666666666664,3.916666666666667,1.0042224932323136,1,ssp126
-51.75,3.75,0.897811017680988,1,ssp126
-51.58333333333333,3.75,0.8466511533781453,1,ssp126
-51.416666666666664,3.75,0.9894571962533307,1,ssp126
-51.25,3.75,0.8874042153451591,1,ssp126
-51.75,3.5833333333333335,0.9670588722722004,1,ssp126
-51.58333333333333,3.5833333333333335,0.8845140652631763,1,ssp126
-51.416666666666664,3.5833333333333335,1.0265560837845333,1,ssp126
-51.25,3.5833333333333335,0.8728522166663152,1,ssp126
-51.916666666666664,3.416666666666667,0.9502209135516739,1,ssp126
-51.75,3.416666666666667,0.9541064945696657,1,ssp126
-51.58333333333333,3.416666666666667,0.9077822917335695,1,ssp126
-51.416666666666664,3.416666666666667,0.9672282075389909,1,ssp126
-51.25,3.416666666666667,1.034801205826129,1,ssp126
-52.08333333333333,3.25,1.0314517678732864,1,ssp126
-51.916666666666664,3.25,1.0116747678385918,1,ssp126
-51.75,3.25,0.9155918721538376,1,ssp126
-51.58333333333333,3.25,0.9412767269557242,1,ssp126
-51.416666666666664,3.25,0.921142031547779,1,ssp126
-51.25,3.25,0.8973028213218276,1,ssp126
-52.08333333333333,3.0833333333333335,1.0308501340724803,1,ssp126
-51.916666666666664,3.0833333333333335,1.0136812798013297,1,ssp126
-51.75,3.0833333333333335,0.9505605761830626,1,ssp126
-51.58333333333333,3.0833333333333335,0.986671701717548,1,ssp126
-51.416666666666664,3.0833333333333335,0.8262994846651498,1,ssp126
-51.25,3.0833333333333335,0.8695658954852484,1,ssp126
-60.08333333333333,2.916666666666667,0.6228020535907859,1,ssp126
-52.25,2.916666666666667,0.9891811345850418,1,ssp126
-52.08333333333333,2.916666666666667,0.9571057415779719,1,ssp126
-51.916666666666664,2.916666666666667,0.9943881000557608,1,ssp126
-51.75,2.916666666666667,1.032463683373893,1,ssp126
-51.58333333333333,2.916666666666667,1.017465427104043,1,ssp126
-51.416666666666664,2.916666666666667,0.8210162417926498,1,ssp126
-51.25,2.916666666666667,0.8366953642362869,1,ssp126
-60.58333333333333,2.75,1.0279640909750187,1,ssp126
-60.416666666666664,2.75,0.7074355931583687,1,ssp126
-60.25,2.75,0.7318313822828163,1,ssp126
-60.08333333333333,2.75,0.7040626925466016,1,ssp126
-52.25,2.75,1.0049429345918606,1,ssp126
-52.08333333333333,2.75,0.9294029065824467,1,ssp126
-51.916666666666664,2.75,0.993176985646481,1,ssp126
-51.75,2.75,1.0324766868957316,1,ssp126
-51.58333333333333,2.75,1.0132783596313262,1,ssp126
-51.416666666666664,2.75,0.9877685308701912,1,ssp126
-51.25,2.75,0.8254273868523886,1,ssp126
-51.08333333333333,2.75,0.9445123474329906,1,ssp126
-60.916666666666664,2.5833333333333335,0.8386117095920199,1,ssp126
-60.75,2.5833333333333335,0.6674255037122638,1,ssp126
-60.58333333333333,2.5833333333333335,1.0265282735608778,1,ssp126
-60.416666666666664,2.5833333333333335,0.9850834104643206,1,ssp126
-60.25,2.5833333333333335,0.9567972616828041,1,ssp126
-60.08333333333333,2.5833333333333335,1.0268864187057192,1,ssp126
-52.416666666666664,2.5833333333333335,1.0021983146062756,1,ssp126
-52.25,2.5833333333333335,0.9421785732139485,1,ssp126
-52.08333333333333,2.5833333333333335,0.9299260754835108,1,ssp126
-51.916666666666664,2.5833333333333335,0.9277086447929568,1,ssp126
-51.75,2.5833333333333335,1.0306739442727775,1,ssp126
-51.58333333333333,2.5833333333333335,1.017203039206315,1,ssp126
-51.416666666666664,2.5833333333333335,0.9276131181583105,1,ssp126
-51.25,2.5833333333333335,0.8532506184433791,1,ssp126
-51.08333333333333,2.5833333333333335,0.8258033948140372,1,ssp126
-61.25,2.416666666666667,0.7517544666967366,1,ssp126
-61.08333333333333,2.416666666666667,0.7958705401758952,1,ssp126
-60.916666666666664,2.416666666666667,0.7303017824436403,1,ssp126
-60.75,2.416666666666667,0.5695762462822115,0,ssp126
-60.58333333333333,2.416666666666667,0.8141826506566348,1,ssp126
-60.416666666666664,2.416666666666667,0.8953014874040572,1,ssp126
-60.25,2.416666666666667,0.9119160173752564,1,ssp126
-60.08333333333333,2.416666666666667,1.026142965964286,1,ssp126
-55.25,2.416666666666667,0.6552941183084867,1,ssp126
-55.08333333333333,2.416666666666667,0.8662916910424897,1,ssp126
-52.416666666666664,2.416666666666667,0.9123961210109269,1,ssp126
-52.25,2.416666666666667,0.9225509365809483,1,ssp126
-52.08333333333333,2.416666666666667,0.9332662326594062,1,ssp126
-51.916666666666664,2.416666666666667,0.9379092327448815,1,ssp126
-51.75,2.416666666666667,0.9804387970870586,1,ssp126
-51.58333333333333,2.416666666666667,0.9744039891755746,1,ssp126
-51.416666666666664,2.416666666666667,1.0018047838220943,1,ssp126
-51.25,2.416666666666667,0.8396307711791844,1,ssp126
-51.08333333333333,2.416666666666667,0.7175090614192255,1,ssp126
-50.916666666666664,2.416666666666667,0.7024515661070788,1,ssp126
-61.416666666666664,2.25,0.8640322936971715,1,ssp126
-61.25,2.25,1.0245989218154379,1,ssp126
-61.08333333333333,2.25,0.93842742015857,1,ssp126
-60.916666666666664,2.25,0.6767216332124242,1,ssp126
-60.75,2.25,0.8526842857729235,1,ssp126
-60.58333333333333,2.25,0.8170426504718348,1,ssp126
-60.416666666666664,2.25,1.0136526770078533,1,ssp126
-60.25,2.25,0.8079080208716326,1,ssp126
-60.08333333333333,2.25,0.7705907551558471,1,ssp126
-55.916666666666664,2.25,0.5979972467246258,1,ssp126
-55.75,2.25,1.0225812622035484,1,ssp126
-55.58333333333333,2.25,1.0223967094663282,1,ssp126
-55.416666666666664,2.25,0.37258171328952255,0,ssp126
-55.25,2.25,0.66419535157227,1,ssp126
-55.08333333333333,2.25,0.47261190194641506,0,ssp126
-54.916666666666664,2.25,0.8910583543175618,1,ssp126
-54.75,2.25,0.90527853306878725,1,ssp126
-52.58333333333333,2.25,0.9634615420773419,1,ssp126
-52.416666666666664,2.25,0.9339832852336974,1,ssp126
-52.25,2.25,0.9402094451909191,1,ssp126
-52.08333333333333,2.25,0.9757025355669057,1,ssp126
-51.916666666666664,2.25,0.9383754348078268,1,ssp126
-51.75,2.25,0.9034126600682026,1,ssp126
-51.58333333333333,2.25,0.9526780627029332,1,ssp126
-51.416666666666664,2.25,0.9675221970463955,1,ssp126
-51.25,2.25,0.8038913844347607,1,ssp126
-51.08333333333333,2.25,0.6836348216927919,1,ssp126
-50.916666666666664,2.25,0.8406266872211289,1,ssp126
-61.58333333333333,2.0833333333333335,0.7202177782626206,1,ssp126
-61.416666666666664,2.0833333333333335,0.7387561456844667,1,ssp126
-61.25,2.0833333333333335,0.7370059192323412,1,ssp126
-61.08333333333333,2.0833333333333335,0.7706350900822918,1,ssp126
-60.916666666666664,2.0833333333333335,0.8033091114746043,1,ssp126
-60.75,2.0833333333333335,0.7477589611192134,1,ssp126
-60.58333333333333,2.0833333333333335,0.5024411609809728,0,ssp126
-60.416666666666664,2.0833333333333335,0.631153996461598,1,ssp126
-60.25,2.0833333333333335,0.6756431158484477,1,ssp126
-60.08333333333333,2.0833333333333335,0.7077147232730246,1,ssp126
-59.916666666666664,2.0833333333333335,0.8089231542034322,1,ssp126
-55.916666666666664,2.0833333333333335,1.017741677214471,1,ssp126
-55.75,2.0833333333333335,1.0234011163965604,1,ssp126
-55.58333333333333,2.0833333333333335,0.9780732943160078,1,ssp126
-55.416666666666664,2.0833333333333335,0.8571563761999911,1,ssp126
-55.25,2.0833333333333335,0.6551410128179156,1,ssp126
-55.08333333333333,2.0833333333333335,0.40691928402595645,0,ssp126
-54.916666666666664,2.0833333333333335,0.44701406503338814,0,ssp126
-54.75,2.0833333333333335,0.6716873970180322,1,ssp126
