lon,lat,temperatura,precipitacao,sazonalidade,dominio
-79.83333333333333,9.8,27.910971736420514,1548.7373207983671,46.40124276136441,Calibracao
-79.5,9.8,28.240457850110122,1627.8629623049264,51.90764104609328,Calibracao
-79.16666666666667,9.8,29.878855840104187,1471.850289774164,48.400301552128106,Calibracao
-78.83333333333333,9.8,28.5639952821113,1604.2386267327838,46.18986291325406,Calibracao
-78.5,9.8,28.637479080689037,1590.1274851893534,45.710336515181304,Calibracao
-78.16666666666667,9.8,30.081277349944255,1652.6911052752912,52.33420148203633,Calibracao
-77.83333333333333,9.8,28.96512091157434,1454.2625728091562,53.708956785133346,Calibracao
-77.5,9.8,27.42026888626398,1625.3752317507597,44.1934152527952,Calibracao
-77.16666666666667,9.8,27.945114975253322,1611.009223426765,49.35838450040037,Calibracao
-76.83333333333333,9.8,28.162566078568965,1548.682979009574,50.93683787629702,Calibracao
-76.5,9.8,29.66163468425949,1600.7126146478215,49.22915381990568,Calibracao
-76.16666666666667,9.8,28.876021021241566,1563.8726680518414,50.48819026720884,Calibracao
-75.83333333333333,9.8,28.901056309534418,1730.3594574880015,50.719605520077785,Calibracao
-75.5,9.8,28.624122604802487,1624.1411777247406,51.47934236057807,Calibracao
-75.16666666666667,9.8,28.00440596793349,1592.4148175630967,46.21437181697136,Calibracao
-74.83333333333333,9.8,30.08909330528884,1600.8752691984992,52.21686195738163,Calibracao
-74.5,9.8,28.901253008521834,1560.4530211813792,50.23029185902542,Calibracao
-74.16666666666667,9.8,26.651718599525054,1633.3286974440014,47.25253488399404,Calibracao
-73.83333333333333,9.8,29.017622626468764,1537.3010669639368,51.21244795291786,Calibracao
-73.5,9.8,27.921940100993865,1633.0403191081825,47.16961424454935,Calibracao
-73.16666666666667,9.8,27.34387116895335,1471.5098567554917,46.65877992828871,Calibracao
-72.83333333333333,9.8,28.062701745095676,1600.496367169026,48.48603131585956,Calibracao
-72.5,9.8,27.286052720571004,1715.2124997759088,47.88163204700123,Calibracao
-72.16666666666667,9.8,27.5007551131167,1597.1198127752127,52.97222927065405,Calibracao
-71.83333333333333,9.8,27.538364790948243,1686.359342423489,50.90438332577176,Calibracao
-71.5,9.8,26.523988118110736,1801.0108566643553,52.67187167959326,Calibracao
-71.16666666666667,9.8,28.734234964549167,1720.9182047913698,51.71242789037639,Calibracao
-70.83333333333333,9.8,28.053719594882477,1692.8542653475906,46.855151509366344,Calibracao
-70.5,9.8,26.82420667542725,1707.184120452986,47.53853830970318,Calibracao
-70.16666666666667,9.8,28.90735069076896,1538.5605561031985,45.02263466091211,Calibracao
-69.83333333333333,9.8,28.09082143936646,1577.216871109148,49.400610148509294,Calibracao
-69.5,9.8,27.36738775736398,1816.8672271760374,49.442801396938,Calibracao
-69.16666666666667,9.8,28.362543598419975,1614.6414128926297,50.73909749915088,Calibracao
-68.83333333333333,9.8,28.269431365066865,1751.1541284649347,45.99596804131853,Calibracao
-68.5,9.8,28.139093661557474,1701.6271436229174,45.44803321023182,Calibracao
-68.16666666666667,9.8,27.93856522079721,1561.9820077332345,47.2690696284498,Calibracao
-67.83333333333333,9.8,27.735175397092988,1727.3842327688355,48.62101611036098,Calibracao
-67.5,9.8,27.09771792110893,1630.1064506427967,50.0227697908001,Calibracao
-67.16666666666667,9.8,26.793978101429513,1639.1054277604594,48.08192638127887,Calibracao
-66.83333333333333,9.8,26.642134375725455,1633.3552500326198,49.296920422852644,Calibracao
