lon,lat,adequabilidade,MESS,MOP_extrapolacao,extrapolacao_MESS,extrapolacao_combinada,adequabilidade_sem_extrapolacao,adequabilidade_sob_extrapolacao,cenario,classe,area_km2
-60.41666666666667,5.083333333333336,0.03016539290547371,-3.777777671813965,1,1,1,NA,0.03016539290547371,ssp126,Sob extrapolação,340.60978262789536
-60.25,5.083333333333336,0.08371372520923615,-43.22222137451172,1,1,1,NA,0.08371372520923615,ssp126,Sob extrapolação,340.60978262789536
-60.41666666666667,4.916666666666669,0.02037074789404869,6.44444465637207,1,0,1,NA,0.02037074789404869,ssp126,Sob extrapolação,340.6941730867405
-60.25,4.916666666666669,0.02390170656144619,-24.33333396911621,1,1,1,NA,0.02390170656144619,ssp126,Sob extrapolação,340.6941730867405
-60.583333333333336,4.750000000000003,0.02966388873755932,7.888888835906982,1,0,1,NA,0.02966388873755932,ssp126,Sob extrapolação,340.77575567166707
-60.41666666666667,4.750000000000003,0.0273226611316204,9.88888931274414,1,0,1,NA,0.0273226611316204,ssp126,Sob extrapolação,340.77575567166707
-60.25,4.750000000000003,0.02547958120703697,15.333333015441896,1,0,1,NA,0.02547958120703697,ssp126,Sob extrapolação,340.77575567166707
-60.75,4.583333333333336,0.03621545806527138,-4.222222328186035,1,1,1,NA,0.03621545806527138,ssp126,Sob extrapolação,340.85452985940935
-60.583333333333336,4.583333333333336,0.03147288039326668,-1.2222222089767456,1,1,1,NA,0.03147288039326668,ssp126,Sob extrapolação,340.85452985940935
-60.41666666666667,4.583333333333336,0.02590017765760421,20.66666603088379,1,0,1,NA,0.02590017765760421,ssp126,Sob extrapolação,340.85452985940935
-60.25,4.583333333333336,0.02467444352805614,20.386802673339844,1,0,1,NA,0.02467444352805614,ssp126,Sob extrapolação,340.85452985940935
-61.083333333333336,4.416666666666669,0.04204288870096207,-44.43727111816406,1,1,1,NA,0.04204288870096207,ssp126,Sob extrapolação,340.93049514479446
-60.91666666666667,4.416666666666669,0.06366448104381561,-39.853424072265625,1,1,1,NA,0.06366448104381561,ssp126,Sob extrapolação,340.93049514479446
-60.75,4.416666666666669,0.04706301540136337,-39.35887145996094,1,1,1,NA,0.04706301540136337,ssp126,Sob extrapolação,340.93049514479446
-60.583333333333336,4.416666666666669,0.06849322468042374,-30.548072814941406,1,1,1,NA,0.06849322468042374,ssp126,Sob extrapolação,340.93049514479446
-60.41666666666667,4.416666666666669,0.04019680619239807,5.738821983337402,1,0,1,NA,0.04019680619239807,ssp126,Sob extrapolação,340.93049514479446
-60.25,4.416666666666669,0.03122787736356258,15.418169021606444,1,0,1,NA,0.03122787736356258,ssp126,Sob extrapolação,340.93049514479446
-60.083333333333336,4.416666666666669,0.0229651853442192,17.25998306274414,1,0,1,NA,0.0229651853442192,ssp126,Sob extrapolação,340.93049514479446
-61.41666666666667,4.250000000000003,0.09371212869882584,-20.0550479888916,1,1,1,NA,0.09371212869882584,ssp126,Sob extrapolação,341.0036510407877
-61.25,4.250000000000003,0.14186951518058777,-16.392513275146484,1,1,1,NA,0.14186951518058777,ssp126,Sob extrapolação,341.0036510407877
-61.083333333333336,4.250000000000003,0.1637500375509262,-3.120425224304199,1,1,1,NA,0.1637500375509262,ssp126,Sob extrapolação,341.0036510407877
-60.91666666666667,4.250000000000003,0.16573934257030487,9.621556282043455,1,0,1,NA,0.16573934257030487,ssp126,Sob extrapolação,341.0036510407877
-60.75,4.250000000000003,0.12372392416000366,16.656532287597656,1,0,1,NA,0.12372392416000366,ssp126,Sob extrapolação,341.0036510407877
-60.583333333333336,4.250000000000003,0.1239008530974388,13.37257957458496,1,0,1,NA,0.1239008530974388,ssp126,Sob extrapolação,341.0036510407877
