lon,lat,adequabilidade,MESS,MOP_extrapolacao,extrapolacao_MESS,extrapolacao_combinada,adequabilidade_sem_extrapolacao,adequabilidade_sob_extrapolacao,cenario,classe
-60.41666666666667,5.083333333333336,0.03016539290547371,-3.777777671813965,1,1,1,NA,0.03016539290547371,ssp126,Sob extrapolação
-60.25,5.083333333333336,0.08371372520923615,-43.22222137451172,1,1,1,NA,0.08371372520923615,ssp126,Sob extrapolação
-60.41666666666667,4.916666666666669,0.02037074789404869,6.44444465637207,1,0,1,NA,0.02037074789404869,ssp126,Sob extrapolação
-60.25,4.916666666666669,0.02390170656144619,-24.33333396911621,1,1,1,NA,0.02390170656144619,ssp126,Sob extrapolação
-60.583333333333336,4.750000000000003,0.02966388873755932,7.888888835906982,1,0,1,NA,0.02966388873755932,ssp126,Sob extrapolação
-60.41666666666667,4.750000000000003,0.027322661131620407,9.88888931274414,1,0,1,NA,0.027322661131620407,ssp126,Sob extrapolação
-60.25,4.750000000000003,0.025479581207036972,15.333333015441895,1,0,1,NA,0.025479581207036972,ssp126,Sob extrapolação
-60.75,4.583333333333336,0.03621545806527138,-4.222222328186035,1,1,1,NA,0.03621545806527138,ssp126,Sob extrapolação
-60.583333333333336,4.583333333333336,0.03147288039326668,-1.2222222089767456,1,1,1,NA,0.03147288039326668,ssp126,Sob extrapolação
-60.41666666666667,4.583333333333336,0.025900177657604218,20.66666603088379,1,0,1,NA,0.025900177657604218,ssp126,Sob extrapolação
-60.25,4.583333333333336,0.024674443528056145,20.386802673339844,1,0,1,NA,0.024674443528056145,ssp126,Sob extrapolação
-61.083333333333336,4.416666666666669,0.04204288870096207,-44.43727111816406,1,1,1,NA,0.04204288870096207,ssp126,Sob extrapolação
-60.91666666666667,4.416666666666669,0.06366448104381561,-39.853424072265625,1,1,1,NA,0.06366448104381561,ssp126,Sob extrapolação
-60.75,4.416666666666669,0.04706301540136337,-39.35887145996094,1,1,1,NA,0.04706301540136337,ssp126,Sob extrapolação
-60.583333333333336,4.416666666666669,0.06849322468042374,-30.548072814941406,1,1,1,NA,0.06849322468042374,ssp126,Sob extrapolação
-60.41666666666667,4.416666666666669,0.04019680619239807,5.738821983337402,1,0,1,NA,0.04019680619239807,ssp126,Sob extrapolação
-60.25,4.416666666666669,0.031227877363562584,15.418169021606445,1,0,1,NA,0.031227877363562584,ssp126,Sob extrapolação
-60.083333333333336,4.416666666666669,0.022965185344219208,17.25998306274414,1,0,1,NA,0.022965185344219208,ssp126,Sob extrapolação
-61.41666666666667,4.250000000000003,0.09371212869882584,-20.0550479888916,1,1,1,NA,0.09371212869882584,ssp126,Sob extrapolação
-61.25,4.250000000000003,0.14186951518058777,-16.392513275146484,1,1,1,NA,0.14186951518058777,ssp126,Sob extrapolação
-61.083333333333336,4.250000000000003,0.1637500375509262,-3.120425224304199,1,1,1,NA,0.1637500375509262,ssp126,Sob extrapolação
-60.91666666666667,4.250000000000003,0.16573934257030487,9.621556282043457,1,0,1,NA,0.16573934257030487,ssp126,Sob extrapolação
-60.75,4.250000000000003,0.12372392416000366,16.656532287597656,1,0,1,NA,0.12372392416000366,ssp126,Sob extrapolação
-60.583333333333336,4.250000000000003,0.12390085309743881,13.372579574584961,1,0,1,NA,0.12390085309743881,ssp126,Sob extrapolação
-60.41666666666667,4.250000000000003,0.09522557258605957,15.648395538330078,1,0,1,NA,0.09522557258605957,ssp126,Sob extrapolação
-60.25,4.250000000000003,0.04344050586223602,14.65074634552002,1,0,1,NA,0.04344050586223602,ssp126,Sob extrapolação
-60.083333333333336,4.250000000000003,0.03833320364356041,14.497259140014648,1,0,1,NA,0.03833320364356041,ssp126,Sob extrapolação
-59.91666666666667,4.250000000000003,0.03045695647597313,15.30305290222168,1,0,1,NA,0.03045695647597313,ssp126,Sob extrapolação
-61.75,4.083333333333336,0.08483218401670456,14.615877151489258,1,0,1,NA,0.08483218401670456,ssp126,Sob extrapolação
-61.583333333333336,4.083333333333336,0.18276861310005188,12.61280345916748,1,0,1,NA,0.18276861310005188,ssp126,Sob extrapolação
-61.41666666666667,4.083333333333336,0.2591468393802643,18.71859359741211,1,0,1,NA,0.2591468393802643,ssp126,Sob extrapolação
-61.25,4.083333333333336,0.19462551176548004,12.10668659210205,1,0,1,NA,0.19462551176548004,ssp126,Sob extrapolação
-61.083333333333336,4.083333333333336,0.21385160088539124,9.366434097290039,1,0,1,NA,0.21385160088539124,ssp126,Sob extrapolação
-60.91666666666667,4.083333333333336,0.21143099665641785,5.405675411224365,1,0,1,NA,0.21143099665641785,ssp126,Sob extrapolação
