lon,lat,MESS,variavel_limitante,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio12_precipitacao_anual,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,elevacao,declividade,cenario
-51.416666666666664,4.083333333333333,0.5334254622305102,declividade,39.857732133505074,11.302362800013746,24.488229005915638,30.29056764998526,25.325976843121406,0.5807200929152149,0.5334254622305102,ssp370
-51.58333333333333,3.916666666666667,1.8583042973286876,elevacao,41.16199808347282,11.936190162936489,21.610865965792183,32.026416850539874,25.643219344917384,1.8583042973286876,3.739556107443796,ssp370
-51.416666666666664,3.916666666666667,0.8130081300813008,elevacao,41.543880111850314,9.86426050201523,23.428146299511315,30.29056764998526,25.325976843121406,0.8130081300813008,1.0956881785290953,ssp370
-51.75,3.75,5.342624854819976,elevacao,42.75980076886868,12.985041654598206,22.02732164673354,33.32830105187758,26.70068850462464,5.342624854819976,7.817521859237915,ssp370
-51.58333333333333,3.75,1.9744483159117305,elevacao,43.15456299204675,10.227787077992529,25.245436680169753,31.158490450877064,23.951265181618176,1.9744483159117305,6.340461660161384,ssp370
-51.416666666666664,3.75,0.9291521486643438,elevacao,43.48456020904118,8.94731932900996,27.782057773919753,30.29056764998526,23.739769595792925,0.9291521486643438,3.03732436976457,ssp370
-51.25,3.75,0.3233645248002539,declividade,45.41902721766359,10.070692541445958,30.962305893132715,27.686792049767835,20.355861269194506,0.6968641114982579,0.3233645248002539,ssp370
-51.75,3.5833333333333335,8.130081300813009,elevacao,43.591430240717706,14.371695491877722,23.844612027391975,36.36603805254091,26.912182336566094,8.130081300813009,8.213090992952473,ssp370
-51.58333333333333,3.5833333333333335,6.155632984901278,elevacao,44.265863254460776,13.457994393688727,25.548311712319958,33.32830105187758,25.643219344917384,6.155632984901278,8.447831682628168,ssp370
-51.416666666666664,3.5833333333333335,1.8583042973286876,elevacao,46.80776499456732,7.605731986902243,29.864366319444443,28.988679849876547,22.15356234846444,1.8583042973286876,5.3736001656491315,ssp370
-51.25,3.5833333333333335,1.0452961672473868,elevacao,48.06721817405711,8.696360806876813,31.492342222865226,26.384906049044627,20.67310377099048,1.0452961672473868,1.184157802495648,ssp370
-51.916666666666664,3.416666666666667,4.581034476345403,declividade,42.62036008263612,15.62962999327439,30.129384484310698,32.46037825098578,24.37425284550108,12.427409988385598,4.581034476345403,ssp370
-51.75,3.416666666666667,7.391179307745337,declividade,44.485795955136176,15.291827647656591,28.463541666666668,35.06415025243219,25.53747067506286,11.149825783972126,7.391179307745337,ssp370
-51.58333333333333,3.416666666666667,6.620209059233449,elevacao,45.916123386130806,13.239191159504957,28.04707593878601,32.46037825098578,24.37425284550108,6.620209059233449,9.420269576602804,ssp370
-51.416666666666664,3.416666666666667,2.9036004645760745,elevacao,47.068706533944074,9.741972223722257,30.735144595550413,28.12075524959924,21.730574684581537,2.9036004645760745,7.375114689705452,ssp370
-51.25,3.416666666666667,0.8130081300813008,elevacao,49.14783747705576,5.649610454641407,35.61909239969136,24.21509364865861,18.452413273953844,0.8130081300813008,3.2606487841651335,ssp370
-52.08333333333333,3.25,3.2989452266764534,declividade,42.4964909751923,15.790504617106613,39.29151998135288,28.988679849876547,24.58574667744253,15.098722415795587,3.2989452266764534,ssp370
-51.916666666666664,3.25,4.3211113370463865,declividade,44.015760875522744,15.693989661215813,36.26271942515432,30.724529050431162,24.902989179238507,14.053426248548199,4.3211113370463865,ssp370
-51.75,3.25,6.928428664243097,declividade,45.62891426624937,15.877348440591264,34.180410879629626,32.46037825098578,23.105288099968572,13.124274099883856,6.928428664243097,ssp370
