variavel_1,variavel_2,correlacao
temperatura_media,temperatura_media,1
precipitacao_anual,temperatura_media,0.0807806904299342
elevacao,temperatura_media,-0.37348151089107173
ph_solo,temperatura_media,0.0050497101471891175
argila,temperatura_media,0.03635733199410033
temperatura_maxima,temperatura_media,0.9740954869007373
temperatura_minima,temperatura_media,0.9741752085467358
sazonalidade_termica,temperatura_media,0.6459509779538145
precipitacao_trimestre_umido,temperatura_media,0.058834537425102626
precipitacao_trimestre_seco,temperatura_media,0.051393844041187346
areia,temperatura_media,-0.02893831989884333
temperatura_media,precipitacao_anual,0.0807806904299342
precipitacao_anual,precipitacao_anual,1
elevacao,precipitacao_anual,-0.0015305974670308214
ph_solo,precipitacao_anual,0.04357771501882451
argila,precipitacao_anual,0.024512358181841828
temperatura_maxima,precipitacao_anual,0.09901124497543948
temperatura_minima,precipitacao_anual,0.09118728095606184
sazonalidade_termica,precipitacao_anual,0.0982828081002296
precipitacao_trimestre_umido,precipitacao_anual,0.8874256451816149
precipitacao_trimestre_seco,precipitacao_anual,0.7031733996925381
areia,precipitacao_anual,-0.013017172763676936
temperatura_media,elevacao,-0.37348151089107173
precipitacao_anual,elevacao,-0.0015305974670308214
elevacao,elevacao,1
ph_solo,elevacao,-0.07848534516654183
argila,elevacao,-0.012118852883865829
temperatura_maxima,elevacao,-0.362781911201857
temperatura_minima,elevacao,-0.3528582311076754
sazonalidade_termica,elevacao,-0.04908500147215519
precipitacao_trimestre_umido,elevacao,-0.004727421285151229
precipitacao_trimestre_seco,elevacao,-0.0067963711967206466
areia,elevacao,0.02339247617944646
temperatura_media,ph_solo,0.0050497101471891175
precipitacao_anual,ph_solo,0.04357771501882451
elevacao,ph_solo,-0.07848534516654183
ph_solo,ph_solo,1
argila,ph_solo,0.0016176331603682712
temperatura_maxima,ph_solo,0.003731218650461548
temperatura_minima,ph_solo,-0.0016915505349848424
sazonalidade_termica,ph_solo,-0.02822387022355544
precipitacao_trimestre_umido,ph_solo,0.04594820799597116
precipitacao_trimestre_seco,ph_solo,0.04032869378165054
areia,ph_solo,0.009450346903736206
temperatura_media,argila,0.03635733199410033
precipitacao_anual,argila,0.024512358181841828
elevacao,argila,-0.012118852883865829
ph_solo,argila,0.0016176331603682712
argila,argila,1
temperatura_maxima,argila,0.03985051921311705
temperatura_minima,argila,0.032087895797466626
sazonalidade_termica,argila,0.03690478663637241
precipitacao_trimestre_umido,argila,0.03674417692313699
precipitacao_trimestre_seco,argila,0.05421395489485871
areia,argila,-0.909953066608661
temperatura_media,temperatura_maxima,0.9740954869007373
precipitacao_anual,temperatura_maxima,0.09901124497543948
elevacao,temperatura_maxima,-0.362781911201857
ph_solo,temperatura_maxima,0.003731218650461548
