var1,var2,correlacao,correlacao_abs
bio3_isotermalidade,bio3_isotermalidade,1,1
bio3_isotermalidade,bio4_sazonalidade_temperatura,-0.3803834004308572,0.3803834004308572
bio3_isotermalidade,bio5_temp_max_mes_quente,-0.7434660109695901,0.7434660109695901
bio3_isotermalidade,bio8_temp_media_trimestre_umido,0.3410963548707704,0.3410963548707704
bio3_isotermalidade,bio12_precipitacao_anual,0.546561053740126,0.546561053740126
bio3_isotermalidade,bio13_precipitacao_mes_umido,0.18692085739382353,0.18692085739382353
bio3_isotermalidade,bio14_precipitacao_mes_seco,0.7798665318679614,0.7798665318679614
bio3_isotermalidade,bio18_precipitacao_trimestre_quente,0.2217175105683535,0.2217175105683535
bio3_isotermalidade,bio19_precipitacao_trimestre_frio,0.34440833412827226,0.34440833412827226
bio3_isotermalidade,elevacao,-0.47321498390682604,0.47321498390682604
bio3_isotermalidade,declividade,-0.04875172478965857,0.04875172478965857
bio3_isotermalidade,orientacao,-0.09255838678009067,0.09255838678009067
bio4_sazonalidade_temperatura,bio3_isotermalidade,-0.3803834004308572,0.3803834004308572
bio4_sazonalidade_temperatura,bio4_sazonalidade_temperatura,1,1
bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,0.12211222080714598,0.12211222080714598
bio4_sazonalidade_temperatura,bio8_temp_media_trimestre_umido,-0.11878232759494131,0.11878232759494131
bio4_sazonalidade_temperatura,bio12_precipitacao_anual,-0.46128792958821513,0.46128792958821513
bio4_sazonalidade_temperatura,bio13_precipitacao_mes_umido,-0.1476264559796199,0.1476264559796199
bio4_sazonalidade_temperatura,bio14_precipitacao_mes_seco,-0.35928264244076047,0.35928264244076047
bio4_sazonalidade_temperatura,bio18_precipitacao_trimestre_quente,-0.05899092839740268,0.05899092839740268
bio4_sazonalidade_temperatura,bio19_precipitacao_trimestre_frio,-0.3070144328563693,0.3070144328563693
bio4_sazonalidade_temperatura,elevacao,0.2996057398348612,0.2996057398348612
bio4_sazonalidade_temperatura,declividade,0.16853708856953348,0.16853708856953348
bio4_sazonalidade_temperatura,orientacao,0.003234470677283388,0.003234470677283388
bio5_temp_max_mes_quente,bio3_isotermalidade,-0.7434660109695901,0.7434660109695901
bio5_temp_max_mes_quente,bio4_sazonalidade_temperatura,0.12211222080714598,0.12211222080714598
bio5_temp_max_mes_quente,bio5_temp_max_mes_quente,1,1
bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,0.035625961263560796,0.035625961263560796
bio5_temp_max_mes_quente,bio12_precipitacao_anual,-0.402279409903522,0.402279409903522
bio5_temp_max_mes_quente,bio13_precipitacao_mes_umido,-0.020925772037581097,0.020925772037581097
bio5_temp_max_mes_quente,bio14_precipitacao_mes_seco,-0.5902547417740387,0.5902547417740387
bio5_temp_max_mes_quente,bio18_precipitacao_trimestre_quente,-0.324484963865652,0.324484963865652
bio5_temp_max_mes_quente,bio19_precipitacao_trimestre_frio,-0.0533365304348988,0.0533365304348988
bio5_temp_max_mes_quente,elevacao,0.17608968828809016,0.17608968828809016
bio5_temp_max_mes_quente,declividade,-0.019296444351287204,0.019296444351287204
bio5_temp_max_mes_quente,orientacao,0.08372108550814332,0.08372108550814332
bio8_temp_media_trimestre_umido,bio3_isotermalidade,0.3410963548707704,0.3410963548707704
bio8_temp_media_trimestre_umido,bio4_sazonalidade_temperatura,-0.11878232759494131,0.11878232759494131
bio8_temp_media_trimestre_umido,bio5_temp_max_mes_quente,0.035625961263560796,0.035625961263560796
bio8_temp_media_trimestre_umido,bio8_temp_media_trimestre_umido,1,1
bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,0.304958892038487,0.304958892038487
bio8_temp_media_trimestre_umido,bio13_precipitacao_mes_umido,0.03832864769363162,0.03832864769363162
bio8_temp_media_trimestre_umido,bio14_precipitacao_mes_seco,0.358433392020129,0.358433392020129
bio8_temp_media_trimestre_umido,bio18_precipitacao_trimestre_quente,0.1614566521158189,0.1614566521158189
