lon,lat,prioridade_climatica,alta_prioridade,protegida,lacuna_protecao,classe
-51.416666666666664,4.083333333333333,0.09585640579462051,0,0,0,Demais áreas
-51.58333333333333,3.916666666666667,0.10165291279554367,1,0,1,Lacuna de proteção
-51.416666666666664,3.916666666666667,0.06495663523674011,0,0,0,Demais áreas
-51.75,3.75,0.20001782476902008,1,0,1,Lacuna de proteção
-51.58333333333333,3.75,0.07227575778961182,0,0,0,Demais áreas
-51.416666666666664,3.75,0.07934966683387756,0,0,0,Demais áreas
-51.25,3.75,0.08042662590742111,0,0,0,Demais áreas
-51.75,3.5833333333333335,0.24081502854824066,1,0,1,Lacuna de proteção
-51.58333333333333,3.5833333333333335,0.2822014391422272,1,0,1,Lacuna de proteção
-51.416666666666664,3.5833333333333335,0.13556982576847076,1,0,1,Lacuna de proteção
-51.25,3.5833333333333335,0.07847615331411362,0,0,0,Demais áreas
-51.916666666666664,3.416666666666667,0.28167980909347534,1,0,1,Lacuna de proteção
-51.75,3.416666666666667,0.36947178840637207,1,0,1,Lacuna de proteção
-51.58333333333333,3.416666666666667,0.3739735186100006,1,0,1,Lacuna de proteção
-51.416666666666664,3.416666666666667,0.23285910487174988,1,0,1,Lacuna de proteção
-51.25,3.416666666666667,0.3088856041431427,1,0,1,Lacuna de proteção
-52.08333333333333,3.25,0.18530578911304474,1,0,1,Lacuna de proteção
-51.916666666666664,3.25,0.29072272777557373,1,0,1,Lacuna de proteção
-51.75,3.25,0.3663085699081421,1,0,1,Lacuna de proteção
-51.58333333333333,3.25,0.4175761938095093,1,0,1,Lacuna de proteção
-51.416666666666664,3.25,0.46736863255500793,1,0,1,Lacuna de proteção
-51.25,3.25,0.5104699730873108,1,0,1,Lacuna de proteção
-52.08333333333333,3.0833333333333335,0.2594379782676697,1,0,1,Lacuna de proteção
-51.916666666666664,3.0833333333333335,0.24810896813869476,1,0,1,Lacuna de proteção
-51.75,3.0833333333333335,0.2721254825592041,1,0,1,Lacuna de proteção
-51.58333333333333,3.0833333333333335,0.4041464328765869,1,0,1,Lacuna de proteção
-51.416666666666664,3.0833333333333335,0.43822556734085083,1,0,1,Lacuna de proteção
-51.25,3.0833333333333335,0.5881484746932983,1,0,1,Lacuna de proteção
-60.08333333333333,2.916666666666667,0.06448203325271606,0,0,0,Demais áreas
-52.25,2.916666666666667,0.23414893448352814,1,0,1,Lacuna de proteção
-52.08333333333333,2.916666666666667,0.24329230189323425,1,0,1,Lacuna de proteção
-51.916666666666664,2.916666666666667,0.30271777510643005,1,0,1,Lacuna de proteção
-51.75,2.916666666666667,0.29061368107795715,1,0,1,Lacuna de proteção
-51.58333333333333,2.916666666666667,0.3801113963127136,1,0,1,Lacuna de proteção
-51.416666666666664,2.916666666666667,0.46697771549224854,1,0,1,Lacuna de proteção
-51.25,2.916666666666667,0.5978889465332031,1,0,1,Lacuna de proteção
-60.58333333333333,2.75,0.0648358017206192,0,0,0,Demais áreas
-60.416666666666664,2.75,0.05877743288874626,0,0,0,Demais áreas
-60.25,2.75,0.053969014436006546,0,0,0,Demais áreas
-60.08333333333333,2.75,0.054076533764600754,0,0,0,Demais áreas
-52.25,2.75,0.24934841692447662,1,0,1,Lacuna de proteção
-52.08333333333333,2.75,0.22662627696990967,1,0,1,Lacuna de proteção
-51.916666666666664,2.75,0.2946695387363434,1,0,1,Lacuna de proteção
-51.75,2.75,0.4202987849712372,1,0,1,Lacuna de proteção
-51.58333333333333,2.75,0.3868219256401062,1,0,1,Lacuna de proteção
-51.416666666666664,2.75,0.48565787076950073,1,0,1,Lacuna de proteção
-51.25,2.75,0.6645433306694031,1,0,1,Lacuna de proteção
-51.08333333333333,2.75,0.6064499020576477,1,0,1,Lacuna de proteção
-60.916666666666664,2.5833333333333335,0.07243094593286514,0,0,0,Demais áreas
-60.75,2.5833333333333335,0.061790864914655685,0,0,0,Demais áreas
-60.58333333333333,2.5833333333333335,0.07401338219642639,0,0,0,Demais áreas
-60.416666666666664,2.5833333333333335,0.09445296227931976,0,0,0,Demais áreas
-60.25,2.5833333333333335,0.07653284817934036,0,0,0,Demais áreas
