lon,lat,atual,holoceno_medio,lgm,lig,estabilidade_historica,incerteza_historica,estabilidade_minima,refugio_top10
-61.41666666666667,4.083333333333336,0.31362220644950867,0.33979475498199463,0.6008967757225037,0.28908655047416687,0.38585007190704346,0.14485190214791044,0.28908655047416687,1
-51.41666666666667,4.083333333333336,0.46958526968955994,0.5180961489677429,0.7446718215942383,0.4056939482688904,0.5345117971301079,0.14747451931104816,0.4056939482688904,1
-61.583333333333336,3.916666666666669,0.3743961751461029,0.4007032513618469,0.6037458181381226,0.3282100260257721,0.4267638176679611,0.12173331704586154,0.3282100260257721,1
-61.41666666666667,3.916666666666669,0.2996191084384918,0.3110590875148773,0.6163755655288696,0.2811276912689209,0.3770453631877899,0.16002932964579,0.2811276912689209,1
-51.583333333333336,3.916666666666669,0.5445242524147034,0.5906780958175659,0.7629255056381226,0.4781592786312103,0.5940717831254005,0.12167410463692185,0.4781592786312103,1
-51.41666666666667,3.916666666666669,0.47131407260894775,0.5172078013420105,0.7484163045883179,0.42971566319465637,0.5416634604334831,0.14239167052139914,0.42971566319465637,1
-51.75,3.7500000000000027,0.5624676942825317,0.6139401197433472,0.74432772397995,0.49535655975341797,0.6040230244398117,0.10538659545411468,0.49535655975341797,1
-51.583333333333336,3.7500000000000027,0.5429672598838806,0.5987473130226135,0.8232117891311646,0.5006318092346191,0.6163895428180695,0.14361682162127967,0.5006318092346191,1
-51.41666666666667,3.7500000000000027,0.50602787733078,0.560285210609436,0.7953863143920898,0.45561549067497253,0.5793287232518196,0.15024592727752484,0.45561549067497253,1
-51.25,3.7500000000000027,0.5195745229721069,0.568298876285553,0.8211150169372559,0.48199549317359924,0.5977459773421288,0.15304662739816588,0.48199549317359924,1
-61.75,3.5833333333333357,0.3442972004413605,0.388299822807312,0.6420228481292725,0.3120984137058258,0.4216795712709427,0.1501792580803352,0.3120984137058258,1
-61.583333333333336,3.5833333333333357,0.33593451976776123,0.3656265139579773,0.6326127648353577,0.32614344358444214,0.4150793105363846,0.1459907179297957,0.32614344358444214,1
-51.75,3.5833333333333357,0.5855040550231934,0.6486544013023376,0.7949771881103516,0.49568548798561096,0.6312052831053734,0.12593639361774797,0.49568548798561096,1
-51.583333333333336,3.5833333333333357,0.6264327764511108,0.6727873682975769,0.8241260051727295,0.5323164463043213,0.6639156490564346,0.12175026558895391,0.5323164463043213,1
-51.41666666666667,3.5833333333333357,0.5662680864334106,0.6152926087379456,0.8427010178565979,0.55267333984375,0.644233763217926,0.13501703530958775,0.55267333984375,1
-51.25,3.5833333333333357,0.5084864497184753,0.5502098798751831,0.8194697499275208,0.4959757626056671,0.5935354605317116,0.1523971106066271,0.4959757626056671,1
-51.91666666666667,3.416666666666669,0.5801308155059814,0.6123096942901611,0.7543076276779175,0.49281686544418335,0.6098912507295609,0.10871067717385066,0.49281686544418335,1
