lon,lat,Atual,cenario,adequabilidade_futura,delta,classe
-79.83333333333333,9.8,0.18338483279756768,SSP126,0.20747348176526137,0.024088648967693693,Estabilidade
-79.83333333333333,9.8,0.18338483279756768,SSP245,0.205722507005289,0.022337674207721314,Estabilidade
-79.83333333333333,9.8,0.18338483279756768,SSP370,0.20955595079724693,0.02617111799967925,Estabilidade
-79.83333333333333,9.8,0.18338483279756768,SSP585,0.20605400127730217,0.02266916847973449,Estabilidade
-79.5,9.8,0.22632445808601329,SSP126,0.24955431454793806,0.02322985646192477,Estabilidade
-79.5,9.8,0.22632445808601329,SSP245,0.24522696227065896,0.018902504184645674,Estabilidade
-79.5,9.8,0.22632445808601329,SSP370,0.24562523603954123,0.019300777953527942,Estabilidade
-79.5,9.8,0.22632445808601329,SSP585,0.236970531484983,0.010646073398969724,Estabilidade
-79.16666666666667,9.8,0.12544387324756126,SSP126,0.1506913414062551,0.02524746815869383,Estabilidade
-79.16666666666667,9.8,0.12544387324756126,SSP245,0.1524168242192831,0.026972950971721837,Estabilidade
-79.16666666666667,9.8,0.12544387324756126,SSP370,0.16088554477524153,0.03544167152768027,Estabilidade
-79.16666666666667,9.8,0.12544387324756126,SSP585,0.16433651040129757,0.03889263715373631,Estabilidade
-78.83333333333333,9.8,0.15379536868676402,SSP126,0.17847580693667378,0.02468043824990976,Estabilidade
-78.83333333333333,9.8,0.15379536868676402,SSP245,0.17850020002334963,0.024704831336585603,Estabilidade
-78.83333333333333,9.8,0.15379536868676402,SSP370,0.18470080094417185,0.030905432257407828,Estabilidade
-78.83333333333333,9.8,0.15379536868676402,SSP585,0.18474958711752354,0.030954218430759517,Estabilidade
-78.5,9.8,0.1444357719246478,SSP126,0.16930340210979988,0.02486763018515209,Estabilidade
-78.5,9.8,0.1444357719246478,SSP245,0.1698893710022027,0.0254535990775549,Estabilidade
-78.5,9.8,0.1444357719246478,SSP370,0.17683873966399422,0.03240296773934642,Estabilidade
-78.5,9.8,0.1444357719246478,SSP585,0.17801067744879986,0.03357490552415207,Estabilidade
-78.16666666666667,9.8,0.14615257883630195,SSP126,0.17098587288322095,0.024833294046919002,Estabilidade
-78.16666666666667,9.8,0.14615257883630195,SSP245,0.17146883336092453,0.025316254524622578,Estabilidade
-78.16666666666667,9.8,0.14615257883630195,SSP370,0.17828085746978373,0.03212827863348178,Estabilidade
-78.16666666666667,9.8,0.14615257883630195,SSP585,0.17924677842519088,0.03309419958888893,Estabilidade
-77.83333333333333,9.8,0.1947154143978175,SSP126,0.21857745173350618,0.023862037335688674,Estabilidade
-77.83333333333333,9.8,0.1947154143978175,SSP245,0.21614664207751885,0.021431227679701348,Estabilidade
-77.83333333333333,9.8,0.1947154143978175,SSP370,0.21907363934145677,0.02435822494363926,Estabilidade
-77.83333333333333,9.8,0.1947154143978175,SSP585,0.21421202002948206,0.019496605631664554,Estabilidade
-77.5,9.8,0.12107166754454494,SSP126,0.1464065798172991,0.025334912272754154,Estabilidade
-77.5,9.8,0.12107166754454494,SSP245,0.1483943949725081,0.027322727427963142,Estabilidade
-77.5,9.8,0.12107166754454494,SSP370,0.15721289198470784,0.03614122444016289,Estabilidade
