lon,lat,prioridade,classe_prioridade,lacuna,refugio,area_km2,classe_nome,lacuna_nome,refugio_nome
-51.416666666666664,4.083333333333333,0.42060771584510803,4,0,1,341.0739970784416,Muito alta,Sem lacuna,Refúgio climático
-51.58333333333333,3.916666666666667,0.48058372735977173,4,1,1,341.1415328068991,Muito alta,Lacuna de proteção,Refúgio climático
-51.416666666666664,3.916666666666667,0.41646385192871094,4,0,1,341.1415328068991,Muito alta,Sem lacuna,Refúgio climático
-51.75,3.75,0.5651137232780457,4,1,1,341.206257793395,Muito alta,Lacuna de proteção,Refúgio climático
-51.58333333333333,3.75,0.4746970236301422,4,0,1,341.206257793395,Muito alta,Sem lacuna,Refúgio climático
-51.416666666666664,3.75,0.4549909234046936,4,0,1,341.206257793395,Muito alta,Sem lacuna,Refúgio climático
-51.25,3.75,0.46324223279953003,4,0,1,341.206257793395,Muito alta,Sem lacuna,Refúgio climático
-51.75,3.5833333333333335,0.6018953323364258,4,1,1,341.26817162325955,Muito alta,Lacuna de proteção,Refúgio climático
-51.58333333333333,3.5833333333333335,0.6533223390579224,4,1,1,341.26817162325955,Muito alta,Lacuna de proteção,Refúgio climático
-51.416666666666664,3.5833333333333335,0.5448046326637268,4,1,1,341.26817162325955,Muito alta,Lacuna de proteção,Refúgio climático
-51.25,3.5833333333333335,0.46602943539619446,4,0,1,341.26817162325955,Muito alta,Sem lacuna,Refúgio climático
-51.916666666666664,3.416666666666667,0.5939520597457886,4,1,1,341.3272738998728,Muito alta,Lacuna de proteção,Refúgio climático
-51.75,3.416666666666667,0.7010408043861389,4,1,1,341.3272738998728,Muito alta,Lacuna de proteção,Refúgio climático
-51.58333333333333,3.416666666666667,0.732477068901062,4,1,1,341.3272738998728,Muito alta,Lacuna de proteção,Refúgio climático
-51.416666666666664,3.416666666666667,0.6468546390533447,4,1,1,341.3272738998728,Muito alta,Lacuna de proteção,Refúgio climático
-51.25,3.416666666666667,0.6822059750556946,4,1,1,341.3272738998728,Muito alta,Lacuna de proteção,Refúgio climático
-52.08333333333333,3.25,0.5029309988021851,4,1,1,341.3835642446899,Muito alta,Lacuna de proteção,Refúgio climático
-51.916666666666664,3.25,0.5844079852104187,4,1,1,341.3835642446899,Muito alta,Lacuna de proteção,Refúgio climático
-51.75,3.25,0.6815126538276672,4,1,1,341.3835642446899,Muito alta,Lacuna de proteção,Refúgio climático
-51.58333333333333,3.25,0.7629132270812988,4,1,1,341.3835642446899,Muito alta,Lacuna de proteção,Refúgio climático
-51.416666666666664,3.25,0.8093766570091248,4,1,1,341.3835642446899,Muito alta,Lacuna de proteção,Refúgio climático
-51.25,3.25,0.835276186466217,4,1,1,341.3835642446899,Muito alta,Lacuna de proteção,Refúgio climático
-52.08333333333333,3.0833333333333335,0.5632988214492798,4,1,1,341.437042297245,Muito alta,Lacuna de proteção,Refúgio climático
-51.916666666666664,3.0833333333333335,0.5460604429244995,4,1,1,341.437042297245,Muito alta,Lacuna de proteção,Refúgio climático
-51.75,3.0833333333333335,0.5838093757629395,4,1,1,341.437042297245,Muito alta,Lacuna de proteção,Refúgio climático
-51.58333333333333,3.0833333333333335,0.7421634793281555,4,1,1,341.437042297245,Muito alta,Lacuna de proteção,Refúgio climático
-51.416666666666664,3.0833333333333335,0.7632632255554199,4,1,1,341.437042297245,Muito alta,Lacuna de proteção,Refúgio climático
-51.25,3.0833333333333335,0.878758430480957,4,1,1,341.437042297245,Muito alta,Lacuna de proteção,Refúgio climático
-52.25,2.916666666666667,0.48336389660835266,4,1,1,341.4877077151184,Muito alta,Lacuna de proteção,Refúgio climático
-52.08333333333333,2.916666666666667,0.4955112636089325,4,1,1,341.4877077151184,Muito alta,Lacuna de proteção,Refúgio climático
-51.916666666666664,2.916666666666667,0.5820627808570862,4,1,1,341.4877077151184,Muito alta,Lacuna de proteção,Refúgio climático
-51.75,2.916666666666667,0.6360386610031128,4,1,1,341.4877077151184,Muito alta,Lacuna de proteção,Refúgio climático
-51.58333333333333,2.916666666666667,0.6843896508216858,4,1,1,341.4877077151184,Muito alta,Lacuna de proteção,Refúgio climático
-51.416666666666664,2.916666666666667,0.7775972485542297,4,1,1,341.4877077151184,Muito alta,Lacuna de proteção,Refúgio climático
-51.25,2.916666666666667,0.8670231699943542,4,1,1,341.4877077151184,Muito alta,Lacuna de proteção,Refúgio climático
-52.25,2.75,0.5010343194007874,4,1,1,341.5355601739349,Muito alta,Lacuna de proteção,Refúgio climático
-52.08333333333333,2.75,0.46213647723197937,4,1,1,341.5355601739349,Muito alta,Lacuna de proteção,Refúgio climático
-51.916666666666664,2.75,0.5470483303070068,4,1,1,341.5355601739349,Muito alta,Lacuna de proteção,Refúgio climático
-51.75,2.75,0.7278006076812744,4,1,1,341.5355601739349,Muito alta,Lacuna de proteção,Refúgio climático
-51.58333333333333,2.75,0.6949192881584167,4,1,1,341.5355601739349,Muito alta,Lacuna de proteção,Refúgio climático
-51.416666666666664,2.75,0.7840415239334106,4,1,1,341.5355601739349,Muito alta,Lacuna de proteção,Refúgio climático
-51.25,2.75,0.9124691486358643,4,1,1,341.5355601739349,Muito alta,Lacuna de proteção,Refúgio climático
-51.08333333333333,2.75,0.8847792744636536,4,1,1,341.5355601739349,Muito alta,Lacuna de proteção,Refúgio climático
