lon,lat,cenario,adequabilidade
-60.41666666666667,5.083333333333336,ssp126,0.03016539290547371
-60.41666666666667,5.083333333333336,ssp245,0.029620984569191933
-60.41666666666667,5.083333333333336,ssp370,0.03160731494426727
-60.41666666666667,5.083333333333336,ssp585,0.021787259727716446
-60.25,5.083333333333336,ssp126,0.08371372520923615
-60.25,5.083333333333336,ssp245,0.06924337148666382
-60.25,5.083333333333336,ssp370,0.055274877697229385
-60.25,5.083333333333336,ssp585,0.036481451243162155
-60.41666666666667,4.916666666666669,ssp126,0.02037074789404869
-60.41666666666667,4.916666666666669,ssp245,0.026688458397984505
-60.41666666666667,4.916666666666669,ssp370,0.021278223022818565
-60.41666666666667,4.916666666666669,ssp585,0.032953038811683655
-60.25,4.916666666666669,ssp126,0.02390170656144619
-60.25,4.916666666666669,ssp245,0.03642529249191284
-60.25,4.916666666666669,ssp370,0.030455030500888824
-60.25,4.916666666666669,ssp585,0.019770238548517227
-60.583333333333336,4.750000000000003,ssp126,0.02966388873755932
-60.583333333333336,4.750000000000003,ssp245,0.0261449683457613
-60.583333333333336,4.750000000000003,ssp370,0.017447950318455696
-60.583333333333336,4.750000000000003,ssp585,0.028644589707255363
-60.41666666666667,4.750000000000003,ssp126,0.027322661131620407
-60.41666666666667,4.750000000000003,ssp245,0.025291044265031815
-60.41666666666667,4.750000000000003,ssp370,0.02451004460453987
-60.41666666666667,4.750000000000003,ssp585,0.029548870399594307
-60.25,4.750000000000003,ssp126,0.025479581207036972
-60.25,4.750000000000003,ssp245,0.02002807892858982
-60.25,4.750000000000003,ssp370,0.022858478128910065
-60.25,4.750000000000003,ssp585,0.03406096622347832
-60.75,4.583333333333336,ssp126,0.03621545806527138
-60.75,4.583333333333336,ssp245,0.03132651001214981
-60.75,4.583333333333336,ssp370,0.02538648433983326
-60.75,4.583333333333336,ssp585,0.04000340774655342
-60.583333333333336,4.583333333333336,ssp126,0.03147288039326668
-60.583333333333336,4.583333333333336,ssp245,0.026468954980373383
-60.583333333333336,4.583333333333336,ssp370,0.01888113282620907
-60.583333333333336,4.583333333333336,ssp585,0.023996377363801003
-60.41666666666667,4.583333333333336,ssp126,0.025900177657604218
-60.41666666666667,4.583333333333336,ssp245,0.01783992350101471
-60.41666666666667,4.583333333333336,ssp370,0.02468157559633255
-60.41666666666667,4.583333333333336,ssp585,0.04057026654481888
-60.25,4.583333333333336,ssp126,0.024674443528056145
-60.25,4.583333333333336,ssp245,0.02564218081533909
-60.25,4.583333333333336,ssp370,0.030031805858016014
-60.25,4.583333333333336,ssp585,0.0337243489921093
-61.083333333333336,4.416666666666669,ssp126,0.04204288870096207
-61.083333333333336,4.416666666666669,ssp245,0.03693193197250366
-61.083333333333336,4.416666666666669,ssp370,0.05292230099439621
-61.083333333333336,4.416666666666669,ssp585,0.05057146027684212
-60.91666666666667,4.416666666666669,ssp126,0.06366448104381561
-60.91666666666667,4.416666666666669,ssp245,0.07483188062906265
-60.91666666666667,4.416666666666669,ssp370,0.0689433142542839
-60.91666666666667,4.416666666666669,ssp585,0.06219236180186272
-60.75,4.416666666666669,ssp126,0.04706301540136337
-60.75,4.416666666666669,ssp245,0.06034227833151817
-60.75,4.416666666666669,ssp370,0.059948138892650604
-60.75,4.416666666666669,ssp585,0.05640137195587158
-60.583333333333336,4.416666666666669,ssp126,0.06849322468042374
-60.583333333333336,4.416666666666669,ssp245,0.06353617459535599
-60.583333333333336,4.416666666666669,ssp370,0.06799206137657166
-60.583333333333336,4.416666666666669,ssp585,0.06767553091049194
-60.41666666666667,4.416666666666669,ssp126,0.04019680619239807
-60.41666666666667,4.416666666666669,ssp245,0.04240090399980545
-60.41666666666667,4.416666666666669,ssp370,0.0509202741086483
-60.41666666666667,4.416666666666669,ssp585,0.059484925121068954
-60.25,4.416666666666669,ssp126,0.031227877363562584
-60.25,4.416666666666669,ssp245,0.03508783131837845
-60.25,4.416666666666669,ssp370,0.04574659839272499
-60.25,4.416666666666669,ssp585,0.05553726851940155
-60.083333333333336,4.416666666666669,ssp126,0.022965185344219208
-60.083333333333336,4.416666666666669,ssp245,0.02168542705476284
-60.083333333333336,4.416666666666669,ssp370,0.03158826753497124
-60.083333333333336,4.416666666666669,ssp585,0.04248596355319023
-61.41666666666667,4.250000000000003,ssp126,0.09371212869882584
-61.41666666666667,4.250000000000003,ssp245,0.08844732493162155
-61.41666666666667,4.250000000000003,ssp370,0.08567642420530319
-61.41666666666667,4.250000000000003,ssp585,0.0751117616891861
-61.25,4.250000000000003,ssp126,0.14186951518058777
-61.25,4.250000000000003,ssp245,0.13607218861579895
-61.25,4.250000000000003,ssp370,0.11649245768785477
-61.25,4.250000000000003,ssp585,0.1027284562587738
-61.083333333333336,4.250000000000003,ssp126,0.1637500375509262
-61.083333333333336,4.250000000000003,ssp245,0.14460468292236328
-61.083333333333336,4.250000000000003,ssp370,0.12271720170974731
-61.083333333333336,4.250000000000003,ssp585,0.11293461173772812
-60.91666666666667,4.250000000000003,ssp126,0.16573934257030487
-60.91666666666667,4.250000000000003,ssp245,0.14272959530353546
-60.91666666666667,4.250000000000003,ssp370,0.13999579846858978
-60.91666666666667,4.250000000000003,ssp585,0.17808610200881958
-60.75,4.250000000000003,ssp126,0.12372392416000366
-60.75,4.250000000000003,ssp245,0.10769706964492798
-60.75,4.250000000000003,ssp370,0.09905347228050232
-60.75,4.250000000000003,ssp585,0.12388768792152405
-60.583333333333336,4.250000000000003,ssp126,0.12390085309743881
-60.583333333333336,4.250000000000003,ssp245,0.11021494120359421
-60.583333333333336,4.250000000000003,ssp370,0.10799211263656616
-60.583333333333336,4.250000000000003,ssp585,0.12888583540916443
-60.41666666666667,4.250000000000003,ssp126,0.09522557258605957
-60.41666666666667,4.250000000000003,ssp245,0.08381903916597366
-60.41666666666667,4.250000000000003,ssp370,0.07985390722751617
-60.41666666666667,4.250000000000003,ssp585,0.085117243230342865
-60.25,4.250000000000003,ssp126,0.04344050586223602
-60.25,4.250000000000003,ssp245,0.05409073829650879
-60.25,4.250000000000003,ssp370,0.05253512039780617
-60.25,4.250000000000003,ssp585,0.05660540238022804
-60.083333333333336,4.250000000000003,ssp126,0.03833320364356041
-60.083333333333336,4.250000000000003,ssp245,0.04009607061743736
-60.083333333333336,4.250000000000003,ssp370,0.0475129671394825
-60.083333333333336,4.250000000000003,ssp585,0.05432655289769173
-59.91666666666667,4.250000000000003,ssp126,0.03045695647597313
-59.91666666666667,4.250000000000003,ssp245,0.03442518785595894
-59.91666666666667,4.250000000000003,ssp370,0.045307278633117676
-59.91666666666667,4.250000000000003,ssp585,0.05661637336015701
-61.75,4.083333333333336,ssp126,0.08483218401670456
-61.75,4.083333333333336,ssp245,0.0717509388923645
-61.75,4.083333333333336,ssp370,0.061350513249635696
-61.75,4.083333333333336,ssp585,0.06512612104415894
-61.583333333333336,4.083333333333336,ssp126,0.18276861310005188
-61.583333333333336,4.083333333333336,ssp245,0.15723998844623566
-61.583333333333336,4.083333333333336,ssp370,0.1408286988735199
-61.583333333333336,4.083333333333336,ssp585,0.13002604246139526
-61.41666666666667,4.083333333333336,ssp126,0.2591468393802643
-61.41666666666667,4.083333333333336,ssp245,0.21399134397506714
-61.41666666666667,4.083333333333336,ssp370,0.1905316561460495
-61.41666666666667,4.083333333333336,ssp585,0.20823562145233154
-61.25,4.083333333333336,ssp126,0.19462551176548004
-61.25,4.083333333333336,ssp245,0.17620602250099182
-61.25,4.083333333333336,ssp370,0.18011751770973206
-61.25,4.083333333333336,ssp585,0.2325197160243988
-61.083333333333336,4.083333333333336,ssp126,0.21385160088539124
-61.083333333333336,4.083333333333336,ssp245,0.19540314376354218
-61.083333333333336,4.083333333333336,ssp370,0.21639208495616913
-61.083333333333336,4.083333333333336,ssp585,0.30102238059043884
-60.91666666666667,4.083333333333336,ssp126,0.21143099665641785
-60.91666666666667,4.083333333333336,ssp245,0.20345403254032135
-60.91666666666667,4.083333333333336,ssp370,0.21873967349529266
-60.91666666666667,4.083333333333336,ssp585,0.25254932045936584
-60.75,4.083333333333336,ssp126,0.21963775157928467
-60.75,4.083333333333336,ssp245,0.20429910719394684
-60.75,4.083333333333336,ssp370,0.2175404280424118
-60.75,4.083333333333336,ssp585,0.24114051461219788
-60.583333333333336,4.083333333333336,ssp126,0.15452446043491364
-60.583333333333336,4.083333333333336,ssp245,0.151865616440773
-60.583333333333336,4.083333333333336,ssp370,0.17061984539031982
-60.583333333333336,4.083333333333336,ssp585,0.21900461614131927
-60.41666666666667,4.083333333333336,ssp126,0.1669527292251587
-60.41666666666667,4.083333333333336,ssp245,0.15682247281074524
-60.41666666666667,4.083333333333336,ssp370,0.17570999264717102
-60.41666666666667,4.083333333333336,ssp585,0.21871981024742126
-60.25,4.083333333333336,ssp126,0.1052880808711052
-60.25,4.083333333333336,ssp245,0.09146179258823395
-60.25,4.083333333333336,ssp370,0.09330331534147263
-60.25,4.083333333333336,ssp585,0.11479679495096207
-60.083333333333336,4.083333333333336,ssp126,0.09936816990375519
-60.083333333333336,4.083333333333336,ssp245,0.08883240073919296
-60.083333333333336,4.083333333333336,ssp370,0.08919057250022888
-60.083333333333336,4.083333333333336,ssp585,0.10928171873092651
-59.91666666666667,4.083333333333336,ssp126,0.04347943887114525
-59.91666666666667,4.083333333333336,ssp245,0.051831331104040146
-59.91666666666667,4.083333333333336,ssp370,0.053286537528038025
-59.91666666666667,4.083333333333336,ssp585,0.05867469683289528
-51.41666666666667,4.083333333333336,ssp126,0.4147699773311615
-51.41666666666667,4.083333333333336,ssp245,0.4381093978881836
-51.41666666666667,4.083333333333336,ssp370,0.4933233857154846
-51.41666666666667,4.083333333333336,ssp585,0.5887684226036072
-64.25,3.916666666666669,ssp126,0.024247797206044197
-64.25,3.916666666666669,ssp245,0.026476353406906128
-64.25,3.916666666666669,ssp370,0.02866346389055252
-64.25,3.916666666666669,ssp585,0.02445913478732109
-62.583333333333336,3.916666666666669,ssp126,0.07866880297660828
-62.583333333333336,3.916666666666669,ssp245,0.07683591544628143
-62.583333333333336,3.916666666666669,ssp370,0.0679900050163269
-62.583333333333336,3.916666666666669,ssp585,0.07058173418045044
-62.41666666666667,3.916666666666669,ssp126,0.12259519100189209
