especie,lon,lat,bio1_temp_media_anual,bio4_sazonalidade_temp,bio12_precipitacao_anual,bio15_sazonalidade_prec
Dinizia excelsa Ducke,-56.126789,-9.839442,26.710052490234375,66.635986328125,2235,70.444000244140625
Dinizia excelsa Ducke,-59.9413,-3.003583,26.864030838012695,52.35820007324219,2323,46.38768768310547
Dinizia excelsa Ducke,-53.837778,-3.389167,25.265968322753906,52.688655853271484,1674,66.39571380615234
Dinizia excelsa Ducke,-62.944722,-9.116111,25.230594635009766,47.546852111816406,2410,68.5280532836914
Dinizia excelsa Ducke,-57.846944,-9.122222,25.779260635375977,38.75631332397461,1959,70.09632873535156
Dinizia excelsa Ducke,-52.380833,-1.3825,26.44378089904785,56.890464782714844,2087,57.86923599243164
Dinizia excelsa Ducke,-52.369917,1.190722,25.871551513671875,65.26290130615234,2393,49.0374641418457
Dinizia excelsa Ducke,-53.244722,-0.764722,24.913312911987305,62.30110549926758,2163,57.88737106323242
Dinizia excelsa Ducke,-51.658889,0.9675,26.13059425354004,70.84114837646484,2319,57.501220703125
Dinizia excelsa Ducke,-48.583333,-3.794722,26.26490592956543,42.444908142089844,2044,76.6100082397461
Dinizia excelsa Ducke,-61.645,-9.635555,24.98058319091797,43.337486267089844,2157,71.1414794921875
Dinizia excelsa Ducke,-63.251111,-8.915278,25.424531936645508,45.38854217529297,2287,67.673004150390625
Dinizia excelsa Ducke,-62.903789,-9.251911,25.193927764892578,47.678924560546875,2391,69.288238525390625
Dinizia excelsa Ducke,-61.6469,-9.3592,25.007448196411133,42.09244918823242,2187,69.711090087890625
Dinizia excelsa Ducke,-59.2,-8.983333,25.928186416625977,36.85495376586914,1994,69.942291259765625
Dinizia excelsa Ducke,-56.306111,-1.655278,26.796791076660156,64.2703628540039,2413,57.50569152832031
Dinizia excelsa Ducke,-61.595136,-7.948514,25.85019874572754,37.34532165527344,2446,62.44919204711914
Dinizia excelsa Ducke,-51.954722,-3.227222,25.68779182434082,56.432159423828125,2133,71.53489685058594
Dinizia excelsa Ducke,-64.34889,-9.244167,26.065073013305664,50.661773681640625,1996,60.584510803222656
Dinizia excelsa Ducke,-63.99,-8.971389,25.78587532043457,47.810035705566406,2185,62.8021125793457
Dinizia excelsa Ducke,-64.205556,-9.143889,25.925426483154297,48.799835205078125,2064,61.759033203125
Dinizia excelsa Ducke,-63.591667,-8.581667,25.711301803588867,44.630950927734375,2232,65.57728576660156
Dinizia excelsa Ducke,-64.591356,-9.411556,26.072250366210938,52.54551696777344,1920,59.1875114440918
Dinizia excelsa Ducke,-64.654939,-9.620525,26.019906997680664,53.68148422241211,1884,59.66237258911133
Dinizia excelsa Ducke,-60.285058,-2.439172,26.484540939331055,43.416080474853516,2389,39.64595413208008
Dinizia excelsa Ducke,-56,-4,26.691957473754883,61.41438293457031,2019,52.074066162109375
Dinizia excelsa Ducke,-56.46425,-4.66725,26.718509674072266,54.63097381591797,2134,48.758567810058594
Dinizia excelsa Ducke,-51.972222,-0.973889,26.409488677978516,56.55431365966797,2500,51.1754264831543
Dinizia excelsa Ducke,-64.048055,-9.081667,25.791624069213867,48.65624237060547,2112,62.32127380371094
Dinizia excelsa Ducke,-64.735833,-9.444722,26.11184310913086,52.480735778808594,1857,59.013877868652344
