lon,lat,classe,periodo,periodo_legenda,ordem,classe_nome,area_km2
-60.41666666666667,5.083333333333336,0,lig,Último Interglacial,1,Inadequado em ambos,340.60978262789536
-60.25,5.083333333333336,0,lig,Último Interglacial,1,Inadequado em ambos,340.60978262789536
-60.41666666666667,4.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,340.6941730867405
-60.25,4.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,340.6941730867405
-60.583333333333336,4.750000000000003,0,lig,Último Interglacial,1,Inadequado em ambos,340.77575567166707
-60.41666666666667,4.750000000000003,0,lig,Último Interglacial,1,Inadequado em ambos,340.77575567166707
-60.25,4.750000000000003,0,lig,Último Interglacial,1,Inadequado em ambos,340.77575567166707
-60.75,4.583333333333336,0,lig,Último Interglacial,1,Inadequado em ambos,340.85452985940935
-60.583333333333336,4.583333333333336,0,lig,Último Interglacial,1,Inadequado em ambos,340.85452985940935
-60.41666666666667,4.583333333333336,0,lig,Último Interglacial,1,Inadequado em ambos,340.85452985940935
-60.25,4.583333333333336,0,lig,Último Interglacial,1,Inadequado em ambos,340.85452985940935
-61.083333333333336,4.416666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,340.93049514479446
-60.91666666666667,4.416666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,340.93049514479446
-60.75,4.416666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,340.93049514479446
-60.583333333333336,4.416666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,340.93049514479446
-60.41666666666667,4.416666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,340.93049514479446
-60.25,4.416666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,340.93049514479446
-60.083333333333336,4.416666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,340.93049514479446
-61.41666666666667,4.250000000000003,0,lig,Último Interglacial,1,Inadequado em ambos,341.0036510407877
-61.25,4.250000000000003,0,lig,Último Interglacial,1,Inadequado em ambos,341.0036510407877
-61.083333333333336,4.250000000000003,0,lig,Último Interglacial,1,Inadequado em ambos,341.0036510407877
-60.91666666666667,4.250000000000003,0,lig,Último Interglacial,1,Inadequado em ambos,341.0036510407877
-60.75,4.250000000000003,0,lig,Último Interglacial,1,Inadequado em ambos,341.0036510407877
-60.583333333333336,4.250000000000003,0,lig,Último Interglacial,1,Inadequado em ambos,341.0036510407877
-60.41666666666667,4.250000000000003,0,lig,Último Interglacial,1,Inadequado em ambos,341.0036510407877
-60.25,4.250000000000003,0,lig,Último Interglacial,1,Inadequado em ambos,341.0036510407877
-60.083333333333336,4.250000000000003,0,lig,Último Interglacial,1,Inadequado em ambos,341.0036510407877
-59.91666666666667,4.250000000000003,0,lig,Último Interglacial,1,Inadequado em ambos,341.0036510407877
-61.75,4.083333333333336,0,lig,Último Interglacial,1,Inadequado em ambos,341.07399707843683
-61.583333333333336,4.083333333333336,1,lig,Último Interglacial,1,Adequado apenas atual,341.07399707843683
-61.41666666666667,4.083333333333336,3,lig,Último Interglacial,1,Estável adequado,341.07399707843683
-61.25,4.083333333333336,3,lig,Último Interglacial,1,Estável adequado,341.07399707843683
-61.083333333333336,4.083333333333336,3,lig,Último Interglacial,1,Estável adequado,341.07399707843683
-60.91666666666667,4.083333333333336,3,lig,Último Interglacial,1,Estável adequado,341.07399707843683
-60.75,4.083333333333336,3,lig,Último Interglacial,1,Estável adequado,341.07399707843683
-60.583333333333336,4.083333333333336,0,lig,Último Interglacial,1,Inadequado em ambos,341.07399707843683
-60.41666666666667,4.083333333333336,1,lig,Último Interglacial,1,Adequado apenas atual,341.07399707843683
-60.25,4.083333333333336,0,lig,Último Interglacial,1,Inadequado em ambos,341.07399707843683
-60.083333333333336,4.083333333333336,0,lig,Último Interglacial,1,Inadequado em ambos,341.07399707843683
-59.91666666666667,4.083333333333336,0,lig,Último Interglacial,1,Inadequado em ambos,341.07399707843683
-51.41666666666667,4.083333333333336,3,lig,Último Interglacial,1,Estável adequado,341.07399707843683
-64.25,3.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,341.14153280690095
-62.583333333333336,3.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,341.14153280690095
-62.41666666666667,3.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,341.14153280690095
-62.25,3.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,341.14153280690095
-62.083333333333336,3.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,341.14153280690095
-61.91666666666667,3.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,341.14153280690095
-61.75,3.916666666666669,1,lig,Último Interglacial,1,Adequado apenas atual,341.14153280690095
-61.583333333333336,3.916666666666669,3,lig,Último Interglacial,1,Estável adequado,341.14153280690095
-61.41666666666667,3.916666666666669,3,lig,Último Interglacial,1,Estável adequado,341.14153280690095
-61.25,3.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,341.14153280690095
-61.083333333333336,3.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,341.14153280690095
-60.91666666666667,3.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,341.14153280690095
-60.75,3.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,341.14153280690095
-60.583333333333336,3.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,341.14153280690095
-60.41666666666667,3.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,341.14153280690095
-60.25,3.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,341.14153280690095
-60.083333333333336,3.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,341.14153280690095
-59.91666666666667,3.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,341.14153280690095
-59.75,3.916666666666669,0,lig,Último Interglacial,1,Inadequado em ambos,341.14153280690095
-51.583333333333336,3.916666666666669,3,lig,Último Interglacial,1,Estável adequado,341.14153280690095
-51.41666666666667,3.916666666666669,3,lig,Último Interglacial,1,Estável adequado,341.14153280690095
-63.91666666666667,3.5833333333333357,0,lig,Último Interglacial,1,Inadequado em ambos,341.2681716232605
-63.75,3.5833333333333357,0,lig,Último Interglacial,1,Inadequado em ambos,341.2681716232605
-63.583333333333336,3.5833333333333357,0,lig,Último Interglacial,1,Inadequado em ambos,341.2681716232605
-63.41666666666667,3.5833333333333357,0,lig,Último Interglacial,1,Inadequado em ambos,341.2681716232605
-63.25,3.5833333333333357,0,lig,Último Interglacial,1,Inadequado em ambos,341.2681716232605
-63.083333333333336,3.5833333333333357,0,lig,Último Interglacial,1,Inadequado em ambos,341.2681716232605
-62.91666666666667,3.5833333333333357,0,lig,Último Interglacial,1,Inadequado em ambos,341.2681716232605
