lon,lat,consenso_medio,incerteza_algoritmos,incerteza_cenarios,incerteza_dados,incerteza_escala,inc_alg_n,inc_cen_n,inc_dados_n,inc_escala_n,incerteza_integrada
-79.83333333333333,9.8,0.5795962985481714,0.02267987114181353,0.01504557350758691,0.0608021535385446,0.03428108181920764,0.1959829153105873,0.08565290331219812,0.48991851337932907,0.3950002987789703,0.2916386576952712
-79.5,9.8,0.5886813005136113,0.04708538214711449,0.01783296205186684,0.07236906939021924,0.02805100745680533,0.42190467729590014,0.1036777809690273,0.6459609661982468,0.32321073979540793,0.37368854106464555
-79.16666666666667,9.8,0.5657301456246142,0.03441285993334871,0.03263251284998271,0.05923157020988908,0.01428029675414266,0.30459516688613536,0.19938029544606065,0.4687306982259556,0.16452992946665693,0.28430902250620216
-78.83333333333333,9.8,0.5541638470922209,0.04512892651712606,0.02210180403374551,0.07039526436184977,0.02214803162681566,0.4037937718091408,0.1312825993276306,0.6193335244529614,0.2551903588376788,0.3524000636068529
-78.5,9.8,0.5512714045692793,0.03444383877430328,0.02366619099159398,0.06412491738590212,0.02242358279428469,0.30488193794908086,0.14139883647046575,0.5347439644786922,0.258365553167523,0.30984757301644045
-78.16666666666667,9.8,0.5760605047991219,0.04837734301647076,0.02460407227713642,0.05797618849066157,0.01329581337347174,0.43386435623717073,0.14746372306950975,0.451795082440013,0.1531856623497939,0.29657720602412185
-77.83333333333333,9.8,0.5374116334866689,0.0586161853812306,0.04046343182752739,0.06930036665483949,0.01836728499357431,0.5286452976087315,0.25001957815404363,0.6045629040059424,0.21162456529483478,0.3987130862658881
-77.5,9.8,0.4888283447185354,0.06330447560168842,0.03478934669379316,0.07568913641384241,0.06041698231041509,0.5720447899231633,0.213327639184906,0.690750036036112,0.696166008971001,0.5430721185287956
-77.16666666666667,9.8,0.5101871775190676,0.04761984080691537,0.02328851634702269,0.08578860705564487,0.04623491239627653,0.42685215994046755,0.13895657226712965,0.8269960493492755,0.5327450792379138,0.48138746519869663
-76.83333333333333,9.8,0.5209518501755419,0.03160477106669013,0.02394880749094971,0.06768119857674668,0.04155632418920291,0.2786006943905973,0.14322639934652842,0.5827196605976214,0.47883339784957185,0.3708450380460797
-76.5,9.8,0.5090750327443877,0.04193985913445785,0.02377334599871878,0.07793775602064301,6.912538172090255e-4,0.37427258202434993,0.1420917631518589,0.7210848394877232,0.007942488819321324,0.3113479183708133
-76.16666666666667,9.8,0.4807741109669785,0.04148393288431065,0.00942125003928278,0.08169613652458442,0.02250577566648476,0.3700520737241451,0.049282752252111865,0.7717869384726406,0.25931266707076056,0.3626086078799145
-75.83333333333333,9.8,0.4872819151661737,0.04760136975492928,0.01355848083460603,0.07170414843630976,0.02238793648155801,0.42668117345264056,0.07603649603024457,0.6369909090188556,0.25795479834804896,0.3494158442124474
-75.5,9.8,0.4518252840941018,0.0449328717181317,0.01397104316386672,0.07746619204623899,0.0309953885227836,0.4019788929637496,0.07870436432079947,0.7147232474980669,0.35713903758295235,0.3881363855913921
-75.16666666666667,9.8,0.4229601050951356,0.04427273979195246,0.0119188804231366,0.06854805143196652,0.0471076983460047,0.39586805316724716,0.06543388489321063,0.5944138621891375,0.5428022494694862,0.39962951242977035
-74.83333333333333,9.8,0.4274339871344404,0.04772906779347356,0.02188745430150709,0.0784716350509891,0.01259752986151624,0.42786327391608603,0.12989648912519747,0.7282870872149536,0.14513929525162517,0.35779653637696557
-74.5,9.8,0.3980417853210719,0.032536938482233053,0.01052174112315569,0.06901631835662009,0.01730688139529496,0.2872297661170205,0.05639916850844861,0.600730975621439,0.19940546448851582,0.285941343683856
