lon,lat,adequabilidade,incerteza,periodo,periodo_legenda
-60.41666666666667,5.083333333333336,0.03308662867092292,0.03531944515713063,lig,Último Interglacial
-60.25,5.083333333333336,0.10691373029364973,0.12607952953543167,lig,Último Interglacial
-60.41666666666667,4.916666666666669,0.020263495046475503,0.023391920985831125,lig,Último Interglacial
-60.25,4.916666666666669,0.02807191255196817,0.03297542419961362,lig,Último Interglacial
-60.583333333333336,4.750000000000003,0.0331763111721224,0.038855586637853545,lig,Último Interglacial
-60.41666666666667,4.750000000000003,0.029564243213562047,0.036145956573994886,lig,Último Interglacial
-60.25,4.750000000000003,0.02915920519477664,0.038636192927206305,lig,Último Interglacial
-60.75,4.583333333333336,0.040725568763494445,0.04287645943050242,lig,Último Interglacial
-60.583333333333336,4.583333333333336,0.03459772235952947,0.03854339405521525,lig,Último Interglacial
-60.41666666666667,4.583333333333336,0.02968378050363345,0.03527335791418804,lig,Último Interglacial
-60.25,4.583333333333336,0.025573593895182968,0.02665262991097586,lig,Último Interglacial
-61.083333333333336,4.416666666666669,0.04385531671096543,0.044021249724916355,lig,Último Interglacial
-60.91666666666667,4.416666666666669,0.07563584189521322,0.10985091194061282,lig,Último Interglacial
-60.75,4.416666666666669,0.05675011624579742,0.06959257583959831,lig,Último Interglacial
-60.583333333333336,4.416666666666669,0.07741119986181957,0.10665911832762837,lig,Último Interglacial
-60.41666666666667,4.416666666666669,0.045180282857108976,0.048461032135042485,lig,Último Interglacial
-60.25,4.416666666666669,0.033259102355805224,0.03708653115437491,lig,Último Interglacial
-60.083333333333336,4.416666666666669,0.022193209144097635,0.027215721293247914,lig,Último Interglacial
-61.41666666666667,4.250000000000003,0.1037245056762913,0.16382215604058029,lig,Último Interglacial
-61.25,4.250000000000003,0.16825687806704082,0.26126660712411626,lig,Último Interglacial
-61.083333333333336,4.250000000000003,0.19404349364340306,0.2646037714058764,lig,Último Interglacial
-60.91666666666667,4.250000000000003,0.18895355369895697,0.23898549418697038,lig,Último Interglacial
-60.75,4.250000000000003,0.14212162457406521,0.18007513121651922,lig,Último Interglacial
-60.583333333333336,4.250000000000003,0.14548025727272035,0.1533742308364052,lig,Último Interglacial
-60.41666666666667,4.250000000000003,0.10875376295298338,0.12109763602126589,lig,Último Interglacial
-60.25,4.250000000000003,0.04501335982349701,0.04906323992073913,lig,Último Interglacial
-60.083333333333336,4.250000000000003,0.0397552111215191,0.04389219707338564,lig,Último Interglacial
-59.91666666666667,4.250000000000003,0.02992427503631916,0.03572492348014048,lig,Último Interglacial
-61.75,4.083333333333336,0.09081919533200562,0.09942415786449714,lig,Último Interglacial
-61.583333333333336,4.083333333333336,0.20030920691788195,0.27334618331029686,lig,Último Interglacial
-61.41666666666667,4.083333333333336,0.2890865601599216,0.2578482355133442,lig,Último Interglacial
-61.25,4.083333333333336,0.23286149576306342,0.16454681880539007,lig,Último Interglacial
-61.083333333333336,4.083333333333336,0.2531214952468872,0.1264810149516491,lig,Último Interglacial
-60.91666666666667,4.083333333333336,0.2799231559038162,0.13427502550576348,lig,Último Interglacial
-60.75,4.083333333333336,0.2759141489863396,0.15349536538404734,lig,Último Interglacial
-60.583333333333336,4.083333333333336,0.1763804480433464,0.08276391246956939,lig,Último Interglacial
-60.41666666666667,4.083333333333336,0.18961787074804307,0.11552148783807276,lig,Último Interglacial
-60.25,4.083333333333336,0.1203755047172308,0.10988420877106386,lig,Último Interglacial
-60.083333333333336,4.083333333333336,0.1101600967347622,0.10229809570777802,lig,Último Interglacial
-59.91666666666667,4.083333333333336,0.048263310291804376,0.05233882482751753,lig,Último Interglacial
-51.41666666666667,4.083333333333336,0.4056939423084259,0.275852315861337,lig,Último Interglacial
-64.25,3.916666666666669,0.030042416634863713,0.05944656831020072,lig,Último Interglacial
-62.583333333333336,3.916666666666669,0.10811955891549588,0.0880020024209464,lig,Último Interglacial
-62.41666666666667,3.916666666666669,0.1271730862557888,0.10723037488490975,lig,Último Interglacial
-62.25,3.916666666666669,0.09543760656379163,0.07946040283039187,lig,Último Interglacial
-62.083333333333336,3.916666666666669,0.1283299842849374,0.1057699534952158,lig,Último Interglacial
-61.91666666666667,3.916666666666669,0.1423141196370125,0.1401386406826759,lig,Último Interglacial
-61.75,3.916666666666669,0.17349940426647664,0.13272148064622485,lig,Último Interglacial
-61.583333333333336,3.916666666666669,0.3282100334763527,0.18747092319805858,lig,Último Interglacial
-61.41666666666667,3.916666666666669,0.28112769722938535,0.11181104253453773,lig,Último Interglacial
-61.25,3.916666666666669,0.17861739099025725,0.11251473624873096,lig,Último Interglacial
-61.083333333333336,3.916666666666669,0.15567498803138732,0.10503971575922193,lig,Último Interglacial
-60.91666666666667,3.916666666666669,0.1313241221010685,0.10528502298679071,lig,Último Interglacial
-60.75,3.916666666666669,0.14492932409048082,0.10286684089621165,lig,Último Interglacial
