lon,lat,temperatura,precipitacao,solo,glm,gam,rf,brt,maxent,consenso_medio,incerteza_sd,incerteza_cv
-79.83333333333333,9.8,25.612628415153896,1447.6204158572052,5.576748194097922,0.5585279396537233,0.6125880719443132,0.5668420067121419,0.5665552104922494,0.593468263938429,0.5795962985481714,0.02267987114181353,0.039130462355650396
-79.5,9.8,25.696778024563525,1450.9537491905385,5.557257574412257,0.5647580140161256,0.6375319589565424,0.6412070296235064,0.558643211602939,0.5412662883689434,0.5886813005136113,0.047085382147114496,0.07998450452907804
-79.16666666666667,9.8,25.7848254645475,1454.2870825238715,5.537512570855281,0.6050184144489974,0.5776625121992962,0.5856403115179803,0.522264741063004,0.5380647488937933,0.5657301456246142,0.034412859933348715,0.060829107657598816
-78.83333333333333,9.8,25.87649905363556,1457.6204158572052,5.5176009065011105,0.5644483977211763,0.6198480949038667,0.5457652715779299,0.5465787743533362,0.49417869690479543,0.5541638470922209,0.045128926517126064,0.08143607121598453
-78.5,9.8,25.97151592141746,1460.9537491905385,5.497611044864219,0.5600310986021997,0.6081187825139387,0.5298202348208635,0.5302256755471663,0.5281612313622281,0.5512714045692793,0.034443838774303286,0.062480728165494145
-78.16666666666667,9.8,26.069582881375307,1464.2870825238715,5.477631796873855,0.5916088064230933,0.6223444029477464,0.6167864395397974,0.5302510408273655,0.5193118342576066,0.5760605047991219,0.04837734301647076,0.08397962126103478
-77.83333333333333,9.8,26.170397335547467,1467.6204158572052,5.457751926304972,0.5524761135774401,0.5406210869873707,0.6253023900934528,0.47578722238891014,0.4928713543861709,0.5374116334866689,0.0586161853812306,0.10907129977990072
-77.5,9.8,26.273648208232707,1470.9537491905385,5.438059755418661,0.4996290348595373,0.592774226541054,0.47247100974133965,0.43906720857148673,0.4402002438792593,0.4888283447185354,0.06330447560168842,0.12950246499748042
-77.16666666666667,9.8,26.379016905853497,1474.2870825238715,5.41864277256412,0.5030136637679691,0.5756923566947433,0.5358138198041009,0.4516704052747632,0.4847456420537616,0.5101871775190676,0.04761984080691537,0.09333798046136829
-76.83333333333333,9.8,26.486178300016604,1477.6204158572052,5.3995872434855485,0.4968948705739807,0.5395498830378327,0.5443109820000932,0.5463889919661127,0.4776145232996901,0.5209518501755419,0.03160477106669013,0.06066735544953044
